מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25,סוף מידע
1328,2196.0,HELIOGEN INC,14185,פנימי,Heliogen Inc,US42329E1139,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US42329E1055,Electric Utilities,2028-03-31,לא,USD,402.5,1.0,1.33,3.306,0.71,0.0,8.7e-05,0.0,,
1328,2196.0,SATELLOGIC INC-A,14211,פנימי,Satellogic Inc,US80401C1181,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,VGG7823S1011,Aerospace & Defense,2027-01-25,לא,USD,11.5,1.0,2.94,3.306,35.0,0.003,0.009584,0.0,,
1328,2196.0,TABOOLA.COM LTD,984500F5945AFAFFCB30,LEI,Taboola.com Ltd,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Trading Companies & Distributors,2026-06-29,לא,USD,11.5,1.0,3.26,3.306,8.5,0.001,0.002577,0.0,,
1328,2196.0,Athena Technology Acquisition,5493008CK2CE7TGDP465,LEI,Athena Technology Acquisition,US04687C1137,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US04687C1053,Financial Services,2028-10-17,לא,USD,11.5,1.0,7.44,3.306,2.7,0.001,0.001865,0.0,,
1328,2196.0,FALCON'S BEYOND GLOBAL INC-A,14460,פנימי,Falcon's Beyond Global Inc,US3061211120,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US3061211047,Entertainment,2027-09-01,לא,USD,11.5,1.0,0.94,3.306,168.0,0.005,0.01469,0.0,,
1328,2196.0,Terran Orbital Corp,14335,פנימי,Terran Orbital Corp,US88105P1113,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US88105P1030,Aerospace & Defense,2027-03-25,לא,USD,11.5,1.0,7.02,3.306,0.69,0.0,0.000449,0.0,,
1328,2196.0,ATLANTIC COAST ACQUISITION-A,70422,פנימי,Abpro Holdings Inc,US0008471114,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US04845A1088,Biotechnology,2029-11-12,לא,USD,11.5,1.0,1.99,3.306,2.36,0.0,0.000437,0.0,,
1328,2196.0,PAPAYA GROWTH OPPORTUNI-CL A,549300U6L3FU6EKJUM40,LEI,Papaya Growth Opportunity Corp,US69882P1104,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US69882P1021,Financial Services,2028-12-31,לא,USD,11.5,1.0,1.99,3.306,1.06,0.0,0.000196,0.0,,
1328,2196.0,ECARX HOLDINGS INC-CL A,70625,פנימי,ECARX Holdings Inc,KYG292011114,ISIN,"חו""ל",קנדה,סחיר,NASDAQ,KYG292011031,Automobile Components,2027-12-21,לא,USD,11.5,1.0,10.89,3.306,6.0,0.002,0.006068,0.0,,
1328,2196.0,NIOCORP DEVELOPMENTS LTD,5299001QL26XJPOD3A17,LEI,NioCorp Developments Ltd,CA6544841530,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,CA6544846091,Metals & Mining,2028-03-17,לא,USD,8.942,1.0,8.17,3.306,184.0,0.05,0.13957,4e-06,,
1328,2196.0,JAWS MUSTANG ACQUISITION C-A,13839,פנימי,Jaws Mustang Acquisition Corp,KYG507371246,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG507371089,Financial Services,2026-01-30,לא,USD,11.5,1.0,0.54,3.306,3.38,0.0,0.000169,0.0,,
1328,2196.0,AIRSHIP AI HOLDINGS INC,14482,פנימי,Airship AI Holdings Inc,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31,לא,USD,11.5,1.0,12.07,3.306,167.0,0.067,0.187198,5e-06,,
1328,2196.0,DHC Acquisition Corp,13677,פנימי,Brand Engagement Network Inc,US1049321169,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1049321086,Software,2029-03-14,לא,USD,11.5,1.0,1.21,3.306,1.53,0.0,0.000171,0.0,,
1328,2196.0,EVe Mobility Acquisition Corp,14175,פנימי,EVe Mobility Acquisition Corp,KYG3218G1174,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG3218G1091,Financial Services,2028-12-31,לא,USD,11.5,1.0,6.53,3.306,4.5,0.001,0.00273,0.0,,
1328,9757.0,"אלוני-חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31,לא,ILS,120.0,1.0,79693.63,1.0,944.9,753.025,0.192656,3.9e-05,,
1328,9757.0,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11641.04,1.0,27927.95,1.0,1609.0,449.361,0.114965,2.3e-05,,
1328,9757.0,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אפ 2,IL0012039918,ISIN,ישראל,ישראל,סחיר,TASE,IL0011759342,השקעה ואחזקות,2026-02-11,לא,ILS,5.9858,1.0,417984.73,1.0,403.0,1684.478,0.430961,8.8e-05,,
1328,9757.0,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים  אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,0.375,1.0,92302.9,1.0,134.3,123.963,0.031715,6e-06,,
1328,9757.0,SEMANTIX INC-CL A,70523,פנימי,Semantix Inc,KYG6332A1141,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,STIXF US Equity,Software,2027-08-04,לא,USD,11.5,1.0,46630.99,3.306,0.0001,0.0,0.0,0.0,,
1328,9757.0,Investcorp Europe Acquisition,14180,פנימי,Investcorp Europe Acquisition,KYG4923T1132,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG4923T1058,Financial Services,2028-11-23,לא,USD,11.5,1.0,34809.76,3.306,1.0,1.151,0.000294,0.0,,
1328,9757.0,Plum Acquisition Corp I,13801,פנימי,Veea Inc,US6934891143,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US6934891226,Diversified Telecommunication Services,2029-09-17,לא,USD,11.5,1.0,11822.57,3.306,7.0,2.736,0.000699,0.0,,
1328,9757.0,CLASSOVER HOLDINGS INC-CL B,96899,פנימי,Classover Holdings Inc,US1827441106,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1827441023,Interactive Media & Services,2030-04-07,לא,USD,11.5,1.0,59237.83,3.306,8.02,15.706,0.004018,0.0,,
1328,9757.0,Terran Orbital Corp,14335,פנימי,Terran Orbital Corp,US88105P1113,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US88105P1030,Aerospace & Defense,2027-03-25,לא,USD,11.5,1.0,47227.28,3.306,0.69,1.077,0.000275,0.0,,
1328,9757.0,FALCON'S BEYOND GLOBAL INC-A,14460,פנימי,Falcon's Beyond Global Inc,US3061211120,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US3061211047,Entertainment,2027-09-01,לא,USD,11.5,1.0,6336.03,3.306,168.0,35.191,0.009003,1e-06,,
1328,9757.0,Athena Technology Acquisition,5493008CK2CE7TGDP465,LEI,Athena Technology Acquisition,US04687C1137,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US04687C1053,Financial Services,2028-10-17,לא,USD,11.5,1.0,50077.43,3.306,2.7,4.47,0.001143,0.0,,
1328,9757.0,TABOOLA.COM LTD,984500F5945AFAFFCB30,LEI,Taboola.com Ltd,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Trading Companies & Distributors,2026-06-29,לא,USD,11.5,1.0,21968.04,3.306,8.5,6.173,0.001579,0.0,,
1328,9757.0,SATELLOGIC INC-A,14211,פנימי,Satellogic Inc,US80401C1181,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,VGG7823S1011,Aerospace & Defense,2027-01-25,לא,USD,11.5,1.0,19841.94,3.306,35.0,22.959,0.005873,1e-06,,
1328,9757.0,SLAM CORP-A,13860,פנימי,Slam Corp,KYG8210L1216,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG8210L1059,Financial Services,2026-02-23,לא,USD,11.5,1.0,17174.64,3.306,0.5,0.284,7.2e-05,0.0,,
1328,9757.0,HELIOGEN INC,14185,פנימי,Heliogen Inc,US42329E1139,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US42329E1055,Electric Utilities,2028-03-31,לא,USD,402.5,1.0,8956.67,3.306,0.71,0.21,5.3e-05,0.0,,
1328,9757.0,Ginkgo Bioworks Holdings Inc,254900B6L3GN956CY454,LEI,Ginkgo Bioworks Holdings Inc,US37611X1182,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US37611X2099,Biotechnology,2026-09-16,לא,USD,11.5,1.0,69173.59,3.306,0.73,1.669,0.000427,0.0,,
1328,9757.0,EVe Mobility Acquisition Corp,14175,פנימי,EVe Mobility Acquisition Corp,KYG3218G1174,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG3218G1091,Financial Services,2028-12-31,לא,USD,11.5,1.0,43970.29,3.306,4.5,6.541,0.001673,0.0,,
1328,9757.0,DHC Acquisition Corp,13677,פנימי,Brand Engagement Network Inc,US1049321169,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1049321086,Software,2029-03-14,לא,USD,11.5,1.0,8142.61,3.306,1.53,0.412,0.000105,0.0,,
1328,9757.0,AIRSHIP AI HOLDINGS INC,14482,פנימי,Airship AI Holdings Inc,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31,לא,USD,11.5,1.0,81223.22,3.306,167.0,448.435,0.114728,2.3e-05,,
1328,9757.0,NIOCORP DEVELOPMENTS LTD,5299001QL26XJPOD3A17,LEI,NioCorp Developments Ltd,CA6544841530,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,CA6544846091,Metals & Mining,2028-03-17,לא,USD,8.942,1.0,54963.04,3.306,184.0,334.342,0.085539,1.7e-05,,
1328,9757.0,JAWS MUSTANG ACQUISITION C-A,13839,פנימי,Jaws Mustang Acquisition Corp,KYG507371246,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG507371089,Financial Services,2026-01-30,לא,USD,11.5,1.0,3636.97,3.306,3.38,0.406,0.000103,0.0,,
1328,9757.0,ECARX HOLDINGS INC-CL A,70625,פנימי,ECARX Holdings Inc,KYG292011114,ISIN,"חו""ל",קנדה,סחיר,NASDAQ,KYG292011031,Automobile Components,2027-12-21,לא,USD,11.5,1.0,73283.24,3.306,6.0,14.536,0.003719,0.0,,
1328,9757.0,PAPAYA GROWTH OPPORTUNI-CL A,549300U6L3FU6EKJUM40,LEI,Papaya Growth Opportunity Corp,US69882P1104,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US69882P1021,Financial Services,2028-12-31,לא,USD,11.5,1.0,13435.19,3.306,1.06,0.471,0.00012,0.0,,
1328,9757.0,ATLANTIC COAST ACQUISITION-A,70422,פנימי,Abpro Holdings Inc,US0008471114,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US04845A1088,Biotechnology,2029-11-12,לא,USD,11.5,1.0,13435.19,3.306,2.36,1.048,0.000268,0.0,,
1328,9758.0,"אלוני-חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31,לא,ILS,120.0,1.0,17879.67,1.0,944.9,168.945,0.186825,3.2e-05,,
1328,9758.0,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים  אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,0.375,1.0,20708.63,1.0,134.3,27.812,0.030755,5e-06,,
1328,9758.0,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אפ 2,IL0012039918,ISIN,ישראל,ישראל,סחיר,TASE,IL0011759342,השקעה ואחזקות,2026-02-11,לא,ILS,5.9858,1.0,93777.02,1.0,403.0,377.921,0.417918,7.3e-05,,
1328,9758.0,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11641.04,1.0,6265.77,1.0,1609.0,100.816,0.111486,1.9e-05,,
1328,9758.0,SEMANTIX INC-CL A,70523,פנימי,Semantix Inc,KYG6332A1141,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,STIXF US Equity,Software,2027-08-04,לא,USD,11.5,1.0,11883.42,3.306,0.0001,0.0,0.0,0.0,,
1328,9758.0,Plum Acquisition Corp I,13801,פנימי,Veea Inc,US6934891143,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US6934891226,Diversified Telecommunication Services,2029-09-17,לא,USD,11.5,1.0,3012.85,3.306,7.0,0.697,0.000771,0.0,,
1328,9758.0,CLASSOVER HOLDINGS INC-CL B,96899,פנימי,Classover Holdings Inc,US1827441106,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1827441023,Interactive Media & Services,2030-04-07,לא,USD,11.5,1.0,15096.14,3.306,8.02,4.003,0.004426,0.0,,
1328,9758.0,Investcorp Europe Acquisition,14180,פנימי,Investcorp Europe Acquisition,KYG4923T1132,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG4923T1058,Financial Services,2028-11-23,לא,USD,11.5,1.0,8870.9,3.306,1.0,0.293,0.000324,0.0,,
1328,9758.0,Ginkgo Bioworks Holdings Inc,254900B6L3GN956CY454,LEI,Ginkgo Bioworks Holdings Inc,US37611X1182,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US37611X2099,Biotechnology,2026-09-16,לא,USD,11.5,1.0,17628.16,3.306,0.73,0.425,0.00047,0.0,,
1328,9758.0,SLAM CORP-A,13860,פנימי,Slam Corp,KYG8210L1216,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG8210L1059,Financial Services,2026-02-23,לא,USD,11.5,1.0,4376.77,3.306,0.5,0.072,8e-05,0.0,,
1328,9758.0,HELIOGEN INC,14185,פנימי,Heliogen Inc,US42329E1139,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US42329E1055,Electric Utilities,2028-03-31,לא,USD,402.5,1.0,2282.51,3.306,0.71,0.054,5.9e-05,0.0,,
1328,9758.0,SATELLOGIC INC-A,14211,פנימי,Satellogic Inc,US80401C1181,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,VGG7823S1011,Aerospace & Defense,2027-01-25,לא,USD,11.5,1.0,5056.51,3.306,35.0,5.851,0.00647,1e-06,,
1328,9758.0,Athena Technology Acquisition,5493008CK2CE7TGDP465,LEI,Athena Technology Acquisition,US04687C1137,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US04687C1053,Financial Services,2028-10-17,לא,USD,11.5,1.0,12761.7,3.306,2.7,1.139,0.001259,0.0,,
1328,9758.0,TABOOLA.COM LTD,984500F5945AFAFFCB30,LEI,Taboola.com Ltd,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Trading Companies & Distributors,2026-06-29,לא,USD,11.5,1.0,5598.32,3.306,8.5,1.573,0.001739,0.0,,
1328,9758.0,Terran Orbital Corp,14335,פנימי,Terran Orbital Corp,US88105P1113,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US88105P1030,Aerospace & Defense,2027-03-25,לא,USD,11.5,1.0,12035.37,3.306,0.69,0.275,0.000303,0.0,,
1328,9758.0,ATLANTIC COAST ACQUISITION-A,70422,פנימי,Abpro Holdings Inc,US0008471114,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US04845A1088,Biotechnology,2029-11-12,לא,USD,11.5,1.0,3423.81,3.306,2.36,0.267,0.000295,0.0,,
1328,9758.0,FALCON'S BEYOND GLOBAL INC-A,14460,פנימי,Falcon's Beyond Global Inc,US3061211120,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US3061211047,Entertainment,2027-09-01,לא,USD,11.5,1.0,1614.67,3.306,168.0,8.968,0.009917,1e-06,,
1328,9758.0,PAPAYA GROWTH OPPORTUNI-CL A,549300U6L3FU6EKJUM40,LEI,Papaya Growth Opportunity Corp,US69882P1104,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US69882P1021,Financial Services,2028-12-31,לא,USD,11.5,1.0,3423.81,3.306,1.06,0.12,0.000132,0.0,,
1328,9758.0,ECARX HOLDINGS INC-CL A,70625,פנימי,ECARX Holdings Inc,KYG292011114,ISIN,"חו""ל",קנדה,סחיר,NASDAQ,KYG292011031,Automobile Components,2027-12-21,לא,USD,11.5,1.0,18675.46,3.306,6.0,3.704,0.004096,0.0,,
1328,9758.0,NIOCORP DEVELOPMENTS LTD,5299001QL26XJPOD3A17,LEI,NioCorp Developments Ltd,CA6544841530,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,CA6544846091,Metals & Mining,2028-03-17,לא,USD,8.942,1.0,14006.75,3.306,184.0,85.204,0.094221,1.6e-05,,
1328,9758.0,JAWS MUSTANG ACQUISITION C-A,13839,פנימי,Jaws Mustang Acquisition Corp,KYG507371246,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG507371089,Financial Services,2026-01-30,לא,USD,11.5,1.0,926.84,3.306,3.38,0.104,0.000114,0.0,,
1328,9758.0,AIRSHIP AI HOLDINGS INC,14482,פנימי,Airship AI Holdings Inc,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31,לא,USD,11.5,1.0,20698.88,3.306,167.0,114.279,0.126373,2.2e-05,,
1328,9758.0,DHC Acquisition Corp,13677,פנימי,Brand Engagement Network Inc,US1049321169,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1049321086,Software,2029-03-14,לא,USD,11.5,1.0,2075.05,3.306,1.53,0.105,0.000116,0.0,,
1328,9758.0,EVe Mobility Acquisition Corp,14175,פנימי,EVe Mobility Acquisition Corp,KYG3218G1174,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,KYG3218G1091,Financial Services,2028-12-31,לא,USD,11.5,1.0,11205.36,3.306,4.5,1.667,0.001843,0.0,,
1328,9759.0,"אלוני-חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31,לא,ILS,120.0,1.0,3864.88,1.0,944.9,36.519,0.186399,1.6e-05,,
1328,9759.0,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11641.04,1.0,1354.41,1.0,1609.0,21.793,0.111232,9e-06,,
1328,9759.0,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אפ 2,IL0012039918,ISIN,ישראל,ישראל,סחיר,TASE,IL0011759342,השקעה ואחזקות,2026-02-11,לא,ILS,5.9858,1.0,20270.88,1.0,403.0,81.692,0.416966,3.5e-05,,
1328,9759.0,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים  אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,0.375,1.0,4476.38,1.0,134.3,6.012,0.030685,2e-06,,
1328,9759.0,CLASSOVER HOLDINGS INC-CL B,96899,פנימי,Classover Holdings Inc,US1827441106,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1827441023,Interactive Media & Services,2030-04-07,לא,USD,11.5,1.0,3292.62,3.306,8.02,0.873,0.004455,0.0,,
1328,9759.0,Investcorp Europe Acquisition,14180,פנימי,Investcorp Europe Acquisition,KYG4923T1132,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG4923T1058,Financial Services,2028-11-23,לא,USD,11.5,1.0,1934.83,3.306,1.0,0.064,0.000326,0.0,,
1328,9759.0,Plum Acquisition Corp I,13801,פנימי,Veea Inc,US6934891143,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US6934891226,Diversified Telecommunication Services,2029-09-17,לא,USD,11.5,1.0,657.13,3.306,7.0,0.152,0.000776,0.0,,
1328,9759.0,SEMANTIX INC-CL A,70523,פנימי,Semantix Inc,KYG6332A1141,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,STIXF US Equity,Software,2027-08-04,לא,USD,11.5,1.0,2591.89,3.306,0.0001,0.0,0.0,0.0,,
1328,9759.0,FALCON'S BEYOND GLOBAL INC-A,14460,פנימי,Falcon's Beyond Global Inc,US3061211120,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US3061211047,Entertainment,2027-09-01,לא,USD,11.5,1.0,352.17,3.306,168.0,1.956,0.009983,0.0,,
1328,9759.0,ATLANTIC COAST ACQUISITION-A,70422,פנימי,Abpro Holdings Inc,US0008471114,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US04845A1088,Biotechnology,2029-11-12,לא,USD,11.5,1.0,746.77,3.306,2.36,0.058,0.000297,0.0,,
1328,9759.0,Terran Orbital Corp,14335,פנימי,Terran Orbital Corp,US88105P1113,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US88105P1030,Aerospace & Defense,2027-03-25,לא,USD,11.5,1.0,2625.04,3.306,0.69,0.06,0.000305,0.0,,
