מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 30,סוף מידע
1328,9760.0,TAURUS CMBS,12489.0,פנימי,TAURS 2020-NL1X (NL CMBS),70514757.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל",הולנד,לא,משכנתאות או תיקי משכנתאות,2020-03-03,A+,Fitch,נייר ערך,EUR,0.39,0.0342,0.0467,מומחה בלתי תלוי,אי-תלות,2025-09-30,24000.0,3.8807,51.192226,47.679,0.073147,0.000162,,
1328,9760.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2021-3X A (CLO),70109369.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-10,AAA,Moodys,נייר ערך,USD,3.23,0.0540639,0.069,מומחה בלתי תלוי,אי-תלות,2025-09-02,39000.0,3.306,100.22,129.218,0.198242,0.00044,,
1328,9760.0,Octagon Investment Partners 46 LLC,70236.0,פנימי,Oct46 2020-2X AR MT (CLO),70109107.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-05,AAA,S&P,נייר ערך,USD,3.5,0.0539799,0.0537,מומחה בלתי תלוי,אי-תלות,2025-09-30,45000.0,3.306,100.249,149.14,0.228807,0.000507,,
1328,9760.0,Sound Point XXIV LTD,70350.0,פנימי,SNDPT 2019-3X AR (CLO),70117567.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-10-27,AAA,Moodys,נייר ערך,USD,3.38,0.0541639,0.0704,מומחה בלתי תלוי,אי-תלות,2024-09-30,44000.0,3.306,99.98,145.435,0.223122,0.000495,,
1328,9760.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2020-1X AR MTGE (CLO),70105862.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-07-02,AAA,S&P,נייר ערך,USD,3.25,0.0540639,0.0538,מומחה בלתי תלוי,אי-תלות,2025-01-30,54415.0,3.306,100.25,180.346,0.276681,0.000614,,
1329,9761.0,Octagon Investment Partners 46 LLC,70236.0,פנימי,Oct46 2020-2X AR MT (CLO),70109107.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-05,AAA,S&P,נייר ערך,USD,3.5,0.0539799,0.0537,מומחה בלתי תלוי,אי-תלות,2025-09-30,53000.0,3.306,100.249,175.654,0.187,0.000373,,
1329,9761.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2020-1X AR MTGE (CLO),70105862.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-07-02,AAA,S&P,נייר ערך,USD,3.25,0.0540639,0.0538,מומחה בלתי תלוי,אי-תלות,2025-01-30,57037.0,3.306,100.25,189.036,0.201246,0.000401,,
1329,9761.0,Sound Point XXIV LTD,70350.0,פנימי,SNDPT 2019-3X AR (CLO),70117567.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-10-27,AAA,Moodys,נייר ערך,USD,3.38,0.0541639,0.0704,מומחה בלתי תלוי,אי-תלות,2024-09-30,41000.0,3.306,99.98,135.519,0.144272,0.000288,,
1329,9761.0,"Sound Point CLO XXXI, Ltd",70239.0,פנימי,SNDPT 2021-3X A (CLO),70109369.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2021-08-10,AAA,Moodys,נייר ערך,USD,3.23,0.0540639,0.069,מומחה בלתי תלוי,אי-תלות,2025-09-02,36000.0,3.306,100.22,119.278,0.126982,0.000253,,
1329,9761.0,ARES CLO Ltd,12623.0,פנימי,ARES 2017-43X A1R2 Mtge (CLO),70206307.0,פנימי,שכבת חוב (Tranche) בדרוג AA- ומעלה,"חו""ל","ארה""ב",לא,אחר,2024-12-13,AAA,S&P,נייר ערך,USD,4.94,0.0555,0.0524,מומחה בלתי תלוי,אי-תלות,2025-09-30,74000.0,3.306,100.39,245.598,0.261461,0.000522,,
