מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי,Unnamed: 20,סוף מידע
1329,9763.0,,ח.פ.,,29994390.0,2021-10-26,ישראל,,לא,A1,מידרוג Moodys,הלוואה,EUR,3.8807,0.006,קבועה,24.250458293336,94.108753498949,0.00163667,,
1329,9763.0,,ח.פ.,,28999230.0,2020-11-05,ישראל,,לא,A2,מידרוג Moodys,הלוואה,ILS,1.0,0.006,קבועה,36.514272152932,36.514272152932,0.26257,,
1329,9763.0,,ח.פ.,,29993932.0,2020-11-30,ישראל,,לא,A2,מידרוג Moodys,הלוואה,ILS,1.0,0.006,קבועה,41.4295962049696,41.4295962049696,0.277283,,
1329,9763.0,,פנימי,,29994314.0,2021-07-19,"חו""ל",,לא,NR,NR,NR,GBP,4.4409,0.0135,קבועה,22.4797381090062,99.8302689682858,0.0307286,,
1329,9763.0,,פנימי,,28999145.0,2022-04-04,"חו""ל",,לא,NR,NR,NR,NOK,0.3311,0.015,קבועה,288.770493970142,95.6119105535139,0.11454,,
1328,2196.0,,,,,,,,,,,,,,,,,,,,
1329,8580.0,,,,,,,,,,,,,,,,,,,,
1328,12138.0,,,,,,,,,,,,,,,,,,,,
1329,12139.0,,,,,,,,,,,,,,,,,,,,
1328,12419.0,,,,,,,,,,,,,,,,,,,,
1329,13212.0,,,,,,,,,,,,,,,,,,,,
1329,13211.0,,,,,,,,,,,,,,,,,,,,
1328,13819.0,,,,,,,,,,,,,,,,,,,,
1329,13820.0,,,,,,,,,,,,,,,,,,,,
1329,14304.0,,,,,,,,,,,,,,,,,,,,
1329,14305.0,,,,,,,,,,,,,,,,,,,,
1328,14302.0,,,,,,,,,,,,,,,,,,,,
1328,14303.0,,,,,,,,,,,,,,,,,,,,
1329,14854.0,,,,,,,,,,,,,,,,,,,,
1328,14850.0,,,,,,,,,,,,,,,,,,,,
1328,15314.0,,,,,,,,,,,,,,,,,,,,
1329,15313.0,,,,,,,,,,,,,,,,,,,,
סוף מידע,,,,,,,,,,,,,,,,,,,,,
