מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 23,סוף מידע
1329,14854.0,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם S&P 500 ETF,IL0011464711,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,10125.0,1.0,24260.0,,2456.325,3.449051127711e-06,0.034114,0.022998,,
1329,14854.0,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל י S&P 500,IL0011658106,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,124944.0,1.0,10950.0,,13681.368,1.824e-05,0.190012,0.128098,,
1329,14854.0,"אי.בי.אי ניהול קרנות נאמנות (1978) בע""מ",510791031,ח.פ.,אי.בי.אי. סל י S&P 500,IL0011481624,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,11265.0,1.0,21730.0,,2447.885,1.130934234803e-06,0.033997,0.022919,,
1329,14854.0,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל (S&P 500 (4D,IL0011503336,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,46115.0,1.0,9467.0,,4365.707,5.282359679266e-06,0.060632,0.040876,,
1329,14854.0,Lyxor S&P 500 UCITS ETF,549300JWBW5ZYYLO6033,LEI,Amundi S&P 500 II UCITS ETF,LU1135865084,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",LSE,Index Funds,לא,USD,9811.0,3.306,47917.0,,15541.958,2.112569816895e-06,0.215853,0.145519,,
1329,14854.0,iShares S&P 500 Swap UCITS ETF,549300QKN7I8BYECLG85,LEI,iShares S&P 500 Swap UCITS ETF,IE00BMTX1Y45,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",EURONEXT,Index Funds,לא,USD,425810.0,3.306,1103.41,,15533.01,3.614670997893e-06,0.215728,0.145435,,
1329,14854.0,Invesco S&P 500 UCITS ETF,635400KZRKKKNVCJXD85,LEI,Invesco S&P 500 UCITS ETF,IE00B3YCGJ38,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",LSE,Index Funds,לא,USD,3552.0,3.306,132232.0,,15527.887,9.82031713213e-07,0.215657,0.145387,,
1329,15313.0,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל י NASDAQ 100,IL0011658361,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,0.0,1.0,12290.0,,0.0,0.0,9e-06,0.0,,
1329,15313.0,"מיטב קרנות נאמנות בע""מ",513534974,ח.פ.,תכלית סל ‏‏‏NASDAQ 100,IL0011444010,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,0.0,1.0,42380.0,,0.0,0.0,8e-06,0.0,,
1329,15313.0,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל י S&P 500,IL0011658106,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,0.0,1.0,10950.0,,0.001,0.0,1.1e-05,0.0,,
