מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 28,סוף מידע
1329,9762.0,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה - אופציה לא סחירה 31.01.2026,28999301.0,פנימי,ישראל,ישראל,לא סחיר,1100007,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,67000.0,1.0,72.52,5699.720814,1.0,4.134,0.701967,2.2e-05,,
1329,9763.0,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה - אופציה לא סחירה 31.01.2026,28999301.0,פנימי,ישראל,ישראל,לא סחיר,1100007,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,67000.0,1.0,13.3,5699.720814,1.0,0.759,0.519219,1.1e-05,,
1329,9763.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,אופציה Solo Gelato Ltd,28999224.0,פנימי,ישראל,קנדה,לא סחיר,IL001081165,ביוטכנולוגיה,2028-10-31,לא,2021-06-15,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,25.65,1.0,4.33,252.253041,3.306,0.036,0.024708,0.0,,
1329,9763.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,כתב אופציה סולאטו עד 23/08/2026,28999290.0,פנימי,ישראל,קנדה,לא סחיר,28999292,ביוטכנולוגיה,2026-08-23,לא,2025-05-05,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,0.0,1.0,7.0,69.609261,3.306,0.016,0.011019,0.0,,
1329,9763.0,"סולו ג'לטו בע""מ",515229409.0,ח.פ.,אופציה Solo Gelato Ltd,29994290.0,פנימי,ישראל,קנדה,לא סחיר,29994289,ביוטכנולוגיה,2028-10-31,לא,2021-06-15,USD,גורם תלוי/פנימי,קיימת תלות,2025-09-30,25.65,1.0,77.97,252.2532,3.306,0.65,0.445051,9e-06,,
1329,12139.0,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה - אופציה לא סחירה 31.01.2026,28999301.0,פנימי,ישראל,ישראל,לא סחיר,1100007,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,67000.0,1.0,22.88,5699.720814,1.0,1.304,1.0,1.1e-05,,
1329,13211.0,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה - אופציה לא סחירה 31.01.2026,28999301.0,פנימי,ישראל,ישראל,לא סחיר,1100007,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,67000.0,1.0,159.2,5699.720814,1.0,9.074,1.0,4.5e-05,,
1329,14304.0,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה - אופציה לא סחירה 31.01.2026,28999301.0,פנימי,ישראל,ישראל,לא סחיר,1100007,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,67000.0,1.0,0.18,5699.720814,1.0,0.011,1.0,2.3e-05,,
1329,13212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,13819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,13820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,14305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,14303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,14854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,14850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,15314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,15313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סוף מידע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
