מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 38,סוף מידע
1328,9759.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,37974610.41,0.022332,95.65,811.159,,,שווי הוגן,0.167677,0.000356,,
1328,9759.0,"אורמת טכנולוגיות, אינק",880326081.0,ח.פ.,אורמת אגח 4 -רמ,1167212.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אנרגיה מתחדשת,לא,2020-07-01,AA-,S&P מעלות,נייר ערך,ILS,2.95,2031-06-15,0.0518,0.0335,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,921600.06,1.0,95.91,883.907,,,שווי הוגן,0.182715,0.000388,,
1328,9759.0,"רפאל מערכות לחימה מתקדמות בע""מ",520042185.0,ח.פ.,רפאל אגח ג-רמ,1140276.0,פנימי,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטחוניות,לא,2021-05-04,Aaa,מידרוג Moodys,נייר ערך,ILS,4.65,2034-09-15,0.0245,0.0214,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,1746396.0,1.0,118.75,2073.845,,,שווי הוגן,0.428691,0.000912,,
1328,9759.0,"ביטוח ישיר - השקעות פיננסיות בע""מ",520044439.0,ח.פ.,ביט ישיראגיא-רמ,1138825.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2016-07-21,A2,מידרוג Moodys,נייר ערך,ILS,2.0,2028-06-30,0.0529,0.046,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,18240.0,1.0,99.93,18.227,,,שווי הוגן,0.003767,8e-06,,
1328,9759.0,"מתם מרכז תעשיות מדע חיפה בע""מ",510687403.0,ח.פ.,מתם  אגח א -רמ,1138999.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2016-08-16,Aa2,מידרוג Moodys,נייר ערך,ILS,1.22,2027-06-30,0.0464,0.031,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,202755.55,1.0,98.25,199.207,,,שווי הוגן,0.041178,8.7e-05,,
1328,9760.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,2218815.51,0.022332,95.65,47.395,,,שווי הוגן,0.487935,0.000161,,
1328,9760.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,2218815.51,0.022332,100.38,49.739,,,שווי הוגן,0.512064,0.000169,,
1328,12138.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,45860592.26,0.022332,95.65,979.608,,,שווי הוגן,0.487935,0.000343,,
1328,12138.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,45860592.26,0.022332,100.38,1028.051,,,שווי הוגן,0.512064,0.00036,,
1328,14302.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,285059.87,0.022332,100.38,6.39,,,שווי הוגן,0.512064,0.000321,,
1328,14302.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,285059.87,0.022332,95.65,6.089,,,שווי הוגן,0.487935,0.000305,,
1329,8580.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,13862.35,0.022332,95.65,0.296,,,שווי הוגן,0.487935,0.001174,,
1329,8580.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,13862.35,0.022332,100.38,0.311,,,שווי הוגן,0.512064,0.001232,,
1329,9761.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,10797997.81,0.022332,100.38,242.057,,,שווי הוגן,0.334243,0.000514,,
1329,9761.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,10797997.81,0.022332,95.65,230.651,,,שווי הוגן,0.318493,0.00049,,
1329,9761.0,"מתם מרכז תעשיות מדע חיפה בע""מ",510687403.0,ח.פ.,מתם  אגח א -רמ,1138999.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2016-08-16,Aa2,מידרוג Moodys,נייר ערך,ILS,1.22,2027-06-30,0.0464,0.031,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,78888.88,1.0,98.25,77.508,,,שווי הוגן,0.107026,0.000164,,
1329,9761.0,"אורמת טכנולוגיות, אינק",880326081.0,ח.פ.,אורמת אגח 4 -רמ,1167212.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אנרגיה מתחדשת,לא,2020-07-01,AA-,S&P מעלות,נייר ערך,ILS,2.95,2031-06-15,0.0518,0.0335,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,164400.01,1.0,95.91,157.676,,,שווי הוגן,0.217725,0.000335,,
1329,9761.0,"ביטוח ישיר - השקעות פיננסיות בע""מ",520044439.0,ח.פ.,ביט ישיראגיא-רמ,1138825.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2016-07-21,A2,מידרוג Moodys,נייר ערך,ILS,2.0,2028-06-30,0.0529,0.046,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,11400.0,1.0,99.93,11.392,,,שווי הוגן,0.01573,2.4e-05,,
1329,9761.0,"נתיבי הגז הטבעי לישראל בע""מ",513436394.0,ח.פ.,נתיבי גז אגח א-רמ,1103084.0,פנימי,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2009-03-15,Aaa,מידרוג Moodys,נייר ערך,ILS,0.58,2026-12-29,0.0283,0.056,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,3325.28,1.0,147.67,4.91,,,שווי הוגן,0.00678,1e-05,,
1329,9762.0,"נתיבי הגז הטבעי לישראל בע""מ",513436394.0,ח.פ.,נתיבי גז אגח א-רמ,1103084.0,פנימי,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2009-03-15,Aaa,מידרוג Moodys,נייר ערך,ILS,0.58,2026-12-29,0.0283,0.056,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,3829.65,1.0,147.67,5.655,,,שווי הוגן,0.016714,3.1e-05,,
1329,9762.0,"ביטוח ישיר - השקעות פיננסיות בע""מ",520044439.0,ח.פ.,ביט ישיראגיא-רמ,1138825.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2016-07-21,A2,מידרוג Moodys,נייר ערך,ILS,2.0,2028-06-30,0.0529,0.046,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,8740.0,1.0,99.93,8.734,,,שווי הוגן,0.025813,4.8e-05,,
1329,9762.0,"מתם מרכז תעשיות מדע חיפה בע""מ",510687403.0,ח.פ.,מתם  אגח א -רמ,1138999.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2016-08-16,Aa2,מידרוג Moodys,נייר ערך,ILS,1.22,2027-06-30,0.0464,0.031,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,40666.67,1.0,98.25,39.955,,,שווי הוגן,0.118089,0.00022,,
1329,9762.0,"אורמת טכנולוגיות, אינק",880326081.0,ח.פ.,אורמת אגח 4 -רמ,1167212.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,אנרגיה מתחדשת,לא,2020-07-01,AA-,S&P מעלות,נייר ערך,ILS,2.95,2031-06-15,0.0518,0.0335,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,47400.0,1.0,95.91,45.461,,,שווי הוגן,0.134363,0.000251,,
