מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 38,סוף מידע
1329,12139.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,5875094.74,0.022332,95.65,125.495,,,שווי הוגן,0.487935,0.001111,,
1329,13212.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,225430.93,0.022332,100.38,5.053,,,שווי הוגן,0.512064,0.001528,,
1329,13212.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,225430.93,0.022332,95.65,4.815,,,שווי הוגן,0.487935,0.001456,,
1329,14304.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,15164.11,0.022332,100.38,0.34,,,שווי הוגן,0.512064,0.000746,,
1329,14304.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,15164.11,0.022332,95.65,0.324,,,שווי הוגן,0.487935,0.000711,,
1329,15313.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4 06/19/28,70716105.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2015-08-04,BBB+,S&P,נייר ערך,JPY,2.58,2028-06-19,0.0433,0.0425,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,31294.15,0.022332,100.38,0.702,,,שווי הוגן,0.512064,0.001218,,
1329,15313.0,"חברת החשמל לישראל בע""מ",520000472.0,ח.פ.,ISRELE 4.1 01/14/32,70551049.0,פנימי,"צמוד למט""ח",ישראל,ישראל,לא סחיר,חשמל,לא,2020-09-24,BBB+,S&P,נייר ערך,JPY,5.54,2032-01-14,0.0513,0.0375,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,,31294.15,0.022332,95.65,0.668,,,שווי הוגן,0.487935,0.00116,,
1328,12419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,13211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,13819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329,13820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
