מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 18,סוף מידע
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8849 01.04.2032,71123731.0,2017-04-01,5.528463659857552,צמוד למדד המחירים לצרכן,2032-04-01,0.048,0.0485,30200.31,123.17763,37.2,37.2,עלות מופחתת,0.002461,0.000674,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8825 01.04.2030,71122501.0,2015-04-01,4.006417817008313,צמוד למדד המחירים לצרכן,2030-04-01,0.048,0.0485,8394.55,123.430488,10.361,10.361,עלות מופחתת,0.000685,0.000187,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8855 01.10.2032,71124093.0,2017-10-01,5.886830285241915,צמוד למדד המחירים לצרכן,2032-10-01,0.048,0.0485,42900.66,122.685902,52.633,52.633,עלות מופחתת,0.003482,0.000954,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8820 01.11.2029,71121776.0,2014-11-01,3.686031050443114,צמוד למדד המחירים לצרכן,2029-11-01,0.048,0.0485,4882.35,121.110588,5.913,5.913,עלות מופחתת,0.000391,0.000107,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8823 01.02.2030,71122410.0,2015-02-01,3.9360310504431135,צמוד למדד המחירים לצרכן,2030-02-01,0.048,0.0485,6838.54,119.556818,8.176,8.176,עלות מופחתת,0.000541,0.000148,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8815 01.06.2029,71121685.0,2014-06-01,3.355918110192216,צמוד למדד המחירים לצרכן,2029-06-01,0.048,0.0485,6455.99,120.744908,7.795,7.795,עלות מופחתת,0.000515,0.000141,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8802 01.05.2028,71121016.0,2013-05-01,2.415587454544398,צמוד למדד המחירים לצרכן,2028-05-01,0.048,0.0485,3067.24,122.918209,3.77,3.77,עלות מופחתת,0.000249,6.8e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8799 01.02.2028,71120612.0,2013-02-01,2.221560037135377,צמוד למדד המחירים לצרכן,2028-02-01,0.048,0.0485,2178.67,121.490087,2.647,2.647,עלות מופחתת,0.000175,4.7e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8813 01.04.2029,71121669.0,2014-04-01,3.18925144352555,צמוד למדד המחירים לצרכן,2029-04-01,0.048,0.0485,4261.03,122.177942,5.206,5.206,עלות מופחתת,0.000344,9.4e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8777 01.04.2026,71118822.0,2011-04-01,0.49105623382604097,צמוד למדד המחירים לצרכן,2026-04-01,0.048,0.0485,963.17,127.526063,1.228,1.228,עלות מופחתת,8.1e-05,2.2e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8793 01.08.2027,71119846.0,2012-08-01,1.766853486630857,צמוד למדד המחירים לצרכן,2027-08-01,0.048,0.0485,2601.93,122.300021,3.182,3.182,עלות מופחתת,0.00021,5.7e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8788 01.03.2027,71116727.0,2012-03-01,1.384549207576438,צמוד למדד המחירים לצרכן,2027-03-01,0.048,0.0485,1813.75,122.976548,2.23,2.23,עלות מופחתת,0.000147,4e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8898 01.06.2036,71126445.0,2021-06-01,8.336184120226578,צמוד למדד המחירים לצרכן,2036-06-01,0.048,0.0485,410645.29,119.325448,490.004,490.004,עלות מופחתת,0.032424,0.008882,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8905 01.01.2037,71126981.0,2022-01-01,8.715549420098617,צמוד למדד המחירים לצרכן,2037-01-01,0.048,0.0485,280041.35,117.235403,328.308,328.308,עלות מופחתת,0.021724,0.005951,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8884 01.03.2035,71125512.0,2020-03-01,7.654415125189185,צמוד למדד המחירים לצרכן,2035-03-01,0.048,0.0485,147005.06,118.847034,174.711,174.711,עלות מופחתת,0.01156,0.003167,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8890 01.10.2035,71126106.0,2020-10-01,7.8663214173770095,צמוד למדד המחירים לצרכן,2035-10-01,0.048,0.0485,168257.33,121.471191,204.384,204.384,עלות מופחתת,0.013524,0.003705,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8882 01.01.2035,71125454.0,2020-01-01,7.48774845852252,צמוד למדד המחירים לצרכן,2035-01-01,0.048,0.0485,252873.01,119.336917,301.771,301.771,עלות מופחתת,0.019968,0.00547,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8879 01.10.2034,71125389.0,2019-10-01,7.2377484585225185,צמוד למדד המחירים לצרכן,2034-10-01,0.048,0.0485,160806.96,120.509043,193.787,193.787,עלות מופחתת,0.012823,0.003513,,
