מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
414,414,התחייבות להשקעה,Greenfield Partners,ריק במקור,ריק במקור,GP CO INV Cynet,8302,פנימי,USD,2021-02-28 00:00:00,33.57865219570125,111.01102415898833,0.7182387698887501,2.374497373252208,0.02138974386770352,2031-02-28 00:00:00
414,414,התחייבות להשקעה,Insight Partners,ריק במקור,ריק במקור,Insight XII,8473,פנימי,USD,2021-05-21 00:00:00,726.2145099999999,2400.86517006,46.47726,153.65382156,0.06399935468102945,2031-05-19 00:00:00
414,414,התחייבות להשקעה,LS POWER FUND,ריק במקור,ריק במקור,LS POWER F2,6161,פנימי,USD,2018-04-01 00:00:00,880.483,2910.876798,85.11634999999998,281.39465309999997,0.09667006631587434,2028-04-01 00:00:00
414,414,התחייבות להשקעה,ISQ,ריק במקור,ריק במקור,ISQ III,8456,פנימי,USD,2020-09-11 00:00:00,826.595,2732.72307,223.428,738.652968,0.2702992396518246,2030-09-09 00:00:00
414,414,התחייבות להשקעה,Copenhagen Infrastructure,ריק במקור,ריק במקור,CIP ETF I,9028,פנימי,EUR,2022-04-10 00:00:00,370.192,1436.6040944000001,263.57803,1022.8672610210001,0.7120035819250551,2035-04-28 00:00:00
414,414,התחייבות להשקעה,APOLLO,ריק במקור,ריק במקור,apollo,5193,פנימי,USD,2016-08-21 00:00:00,879.999,2909.276694,62.68707,207.24345342,0.0712353877674861,2026-12-15 00:00:00
414,414,התחייבות להשקעה,DIF Management B.V,ריק במקור,ריק במקור,SAUR,9648,פנימי,EUR,2022-07-01 00:00:00,53.464765931332785,207.48071714972315,0.39234470800175997,1.52257210834243,0.007338378858810791,2034-07-01 00:00:00
414,414,התחייבות להשקעה,Greenfield Partners II L.P,ריק במקור,ריק במקור,FloLIVE Co-Inve,9721,פנימי,USD,2023-07-09 00:00:00,21.992448544426253,72.70703488787319,1.23322015058,4.07702581781748,0.056074708920601124,2033-12-31 00:00:00
414,414,התחייבות להשקעה,Greenfield Cities III LLC,ריק במקור,ריק במקור,Greenfield III,9616,פנימי,USD,2023-06-16 00:00:00,197.39940847412498,652.6024444154572,106.17631209311499,351.01888777983817,0.5378755332340954,2033-06-30 00:00:00
414,414,התחייבות להשקעה,DIF Management B.V,ריק במקור,ריק במקור,DIF VII,9649,פנימי,EUR,2022-07-01 00:00:00,187.12668086123682,726.1825104182018,73.92069682550446,286.8640481707352,0.3950302355884788,2034-07-22 00:00:00
414,414,התחייבות להשקעה,Accelmed,ריק במקור,ריק במקור,Accelmed,4626,פנימי,USD,2015-12-14 00:00:00,171.54953749999999,567.142770975,1.8080782909200002,5.977506829781521,0.010539686187845307,2025-12-31 00:00:00
414,414,התחייבות להשקעה,Ares Capital Europe VI GP S.a.r.l,ריק במקור,ריק במקור,ACE VI,9817,פנימי,EUR,2022-08-03 00:00:00,453.67003793619307,1760.5573162189844,285.6719758192646,1108.6072365618202,0.6296910792672697,2032-03-31 00:00:00
414,414,התחייבות להשקעה,Israel Secondary fund III L.P,ריק במקור,ריק במקור,ISFIII Overflow,9457,פנימי,USD,2022-11-28 00:00:00,180.10747109152877,595.4352994285941,142.28680704552875,470.40018409251803,0.7900105763698168,2031-11-28 00:00:00
414,414,התחייבות להשקעה,DAC Pantheon Ventures IRLAND,ריק במקור,ריק במקור,PGSF VII,9828,פנימי,USD,2021-03-01 00:00:00,535.171275,1769.27623515,252.81145674272815,835.7946759914593,0.47239354679999995,2033-12-31 00:00:00
414,414,התחייבות להשקעה,Arcmont,ריק במקור,ריק במקור,DLF IV Co-inves,9907,פנימי,EUR,2023-12-20 00:00:00,455.30505876499194,1766.9023415493043,261.4844932156889,1014.7428728221238,0.5743061452577786,2030-07-01 00:00:00
414,414,התחייבות להשקעה,Vintage Investment Partners,ריק במקור,ריק במקור,Vintage Growth,9924,פנימי,USD,2022-11-01 00:00:00,135.452491367875,447.80593646219484,124.61624011968999,411.9812898356951,0.919999616553712,2028-06-29 00:00:00
414,414,התחייבות להשקעה,PERMIRA,ריק במקור,ריק במקור,Permira VII,7252,פנימי,EUR,2019-10-16 00:00:00,466.99999999999994,1812.2868999999998,75.27278999999999,292.11111615299995,0.161183704496788,2029-10-16 00:00:00
414,414,התחייבות להשקעה,PERMIRA,ריק במקור,ריק במקור,Permira VIII,9128,פנימי,EUR,2022-06-01 00:00:00,353.85200000000003,1373.1934564,118.70778,460.669281846,0.33547296609882093,2032-01-21 00:00:00
414,414,התחייבות להשקעה,HarbourVest,ריק במקור,ריק במקור,harbourvest A,6083,פנימי,USD,2016-07-04 00:00:00,856.2740400000001,2830.8419762400003,80.5828017836247,266.4067426966633,0.09410865916666665,2028-07-04 00:00:00
414,414,התחייבות להשקעה,Bessemer Venture Partners,ריק במקור,ריק במקור,BVP Forge,9239,פנימי,USD,2022-06-30 00:00:00,166.48955020437904,550.4144529756771,48.08299138074534,158.9623695047441,0.2888048608559497,2032-06-30 00:00:00
414,414,התחייבות להשקעה,Global Infrastructure Partners,ריק במקור,ריק במקור,GIP IV,7180,פנימי,USD,2019-03-01 00:00:00,616.5579665876016,2038.340637538611,121.2039981521124,400.7004178908836,0.19658167556073824,2029-03-01 00:00:00
414,414,התחייבות להשקעה,SVB,ריק במקור,ריק במקור,SVB IX,6333,פנימי,USD,2018-05-24 00:00:00,427.88000000000005,1414.5712800000001,41.92989,138.62021634,0.09799450780592689,2033-05-24 00:00:00
414,414,התחייבות להשקעה,SVB,ריק במקור,ריק במקור,SIF X,7915,פנימי,USD,2020-02-24 00:00:00,293.891,971.603646,25.1412,83.11680720000001,0.08554600174894773,2032-02-24 00:00:00
