מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
659,9455,"אלוני חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31 00:00:00,לא,ILS,3192,1,563.221,1,944.9,5.322,0.18111897631364007,1.576013778356074e-05
659,9455,"אפי נכסים בע""מ",510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",2025-11-20 00:00:00,לא,ILS,17000,1,199.585,1,3900,7.784,0.26490607133133676,2.305090426667358e-05
659,9455,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אפ 7,IL0012143454,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972607,"נדל""ן מניב בישראל",2026-06-01 00:00:00,לא,ILS,57284.8,1,57.79,1,12600,7.282,0.2478219439150558,2.156432231114042e-05
659,9455,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31 00:00:00,לא,ILS,2768.75,1,725.575,1,169.8,1.232,0.041927579635175606,3.6483445601929407e-06
659,9455,נאוויטס פטרוליום  שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31 00:00:00,לא,ILS,12000,1,109.668,1,1609,1.765,0.06006670296760141,5.2267273934582304e-06
659,9455,"ווישור גלובלטק בע""מ",515559169,ח.פ.,ווישור אפ 1,IL0012292517,ISIN,ישראל,ישראל,סחיר,TASE,IL0011732281,ביטוח,2028-10-01 00:00:00,לא,ILS,1325,1,625.973,1,162.1,1.015,0.034542608222161715,3.0057384160680475e-06
659,9455,AIRSHIP AI HOLDINGS INC,254900B47YHDWK85HP13,LEI,AISPW,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31 00:00:00,לא,USD,11.5,1,280.631,3.306,167,1.549,0.05271576368091478,4.587082567969858e-06
659,12152,"מניבים קרן הריט החדשה בע""מ",515327120,ח.פ.,מניבים ריט אפ 4,IL0011993222,ISIN,ישראל,ישראל,סחיר,TASE,IL0011405730,"נדל""ן מניב בישראל",2025-12-07 00:00:00,לא,ILS,175.13,1,8768.942,1,43.8,3.841,0.10807540799099609,8.649856728223447e-06
659,12152,"אלומיי קפיטל בע""מ",520039868,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05 00:00:00,לא,ILS,8000,1,48.578,1,646.6,0.314,0.008835115362971302,7.071218465665614e-07
659,12152,"אלוני חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ אפ 16,IL0012084047,ISIN,ישראל,ישראל,סחיר,TASE,IL0003900136,"נדל""ן מניב בישראל",2025-12-31 00:00:00,לא,ILS,3192,1,681.26,1,944.9,6.437,0.1811198649409117,1.449599785461451e-05
659,12152,"אפי נכסים בע""מ",510560188,ח.פ.,אפי נכס אופ 3,IL0012137191,ISIN,ישראל,ישראל,סחיר,TASE,IL0010913544,"נדל""ן מניב בחו""ל",2025-11-20 00:00:00,לא,ILS,17000,1,241.414,1,3900,9.415,0.26491277433877325,2.120239549498145e-05
659,12152,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אפ 7,IL0012143454,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972607,"נדל""ן מניב בישראל",2026-06-01 00:00:00,לא,ILS,57284.8,1,69.901,1,12600,8.808,0.24783342712436696,1.9835443390312973e-05
659,12152,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31 00:00:00,לא,ILS,2768.75,1,877.641,1,169.8,1.49,0.04192459200900395,3.3554508005865493e-06
659,12152,נאוויטס פטרוליום  שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31 00:00:00,לא,ILS,12000,1,132.653,1,1609,2.134,0.060045019696117065,4.805726180168924e-06
659,12152,"ווישור גלובלטק בע""מ",515559169,ח.פ.,ווישור אפ 1,IL0012292517,ISIN,ישראל,ישראל,סחיר,TASE,IL0011732281,ביטוח,2028-10-01 00:00:00,לא,ILS,1325,1,757.164,1,162.1,1.227,0.034524479459763655,2.7631799545769777e-06
659,12152,AIRSHIP AI HOLDINGS INC,254900B47YHDWK85HP13,LEI,AISPW,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31 00:00:00,לא,USD,11.5,1,339.445,3.306,167,1.874,0.05272931907709624,4.220211275368587e-06
659,14244,"מניבים קרן הריט החדשה בע""מ",515327120,ח.פ.,מניבים ריט אפ 4,IL0011993222,ISIN,ישראל,ישראל,סחיר,TASE,IL0011405730,"נדל""ן מניב בישראל",2025-12-07 00:00:00,לא,ILS,175.13,1,313.826,1,43.8,0.137,0.1078740157480315,1.5845485008320613e-05
659,14244,"אלומיי קפיטל בע""מ",520039868,ח.פ.,אלומיי אפ 2,IL0012030826,ISIN,ישראל,ישראל,סחיר,TASE,IL0010826357,אנרגיה מתחדשת,2028-01-05 00:00:00,לא,ILS,8000,1,1.739,1,646.6,0.011,0.008661417322834646,1.2722652196461805e-06
