מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",סוג הצמדה,ריבית עוגן,מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,שם גורם משערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
347,347.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,408667.64,1.0,103.49,422.93014,,,,0.999999,0.000213
389,389.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,82894.76,1.0,103.49,85.78779,,,,1.0,0.000109
671,12120.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,108425.23,1.0,103.49,112.20927,,,,1.0,0.000299
671,14288.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,1920.59,1.0,103.49,1.98762,,,,1.0,0.00065
671,15220.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,4456.86,1.0,103.49,4.6124,,,,1.0,0.001927
671,15224.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,2047.29,1.0,103.49,2.11874,,,,1.0,0.000619
671,7234.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,724387.37,1.0,103.49,749.66849,,,,1.0,0.000265
671,7235.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,213759.85,1.0,103.49,221.22007,,,,1.0,0.000351
671,7236.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,23791.81,1.0,103.49,24.62215,,,,1.0,0.000118
671,8319.0,"שיכון ובינוי נדל""ן (נכסים) בע""מ",515092609.0,ח.פ.,"שיכון ובינוי נע""מ 3 2.6% בי 30.05.26",1512315.0,פנימי,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,"נדל""ן מניב בישראל",לא,2023-05-31,A1.il,מידרוג Moodys,נייר ערך,ILS,0.663,לא צמוד,ריבית בנק ישראל,2026-05-30,0.071,-0.0128,החוב לא נחות,,מומחה בלתי תלוי,אי-תלות,,2025-09-30,2025-09-30,9410.69,1.0,103.49,9.73912,,,,1.0,0.001092
