מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,,,,10049945.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-03-18,A1.il,מידרוג Moodys,הלוואה,ILS,0.903,משתנה,0.066,,,,0.0133,2026-08-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,46837.43,100.74,1.0,47.18403,47.18403,,,,,0.000162,4e-06
209,12119.0,,,,10049944.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-03-18,A1.il,מידרוג Moodys,הלוואה,ILS,0.903,משתנה,0.066,,,,0.0133,2026-08-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,49289.18,100.74,1.0,49.65392,49.65392,,,,,0.00017,4e-06
209,12119.0,,,,10049943.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-01-15,A1.il,מידרוג Moodys,הלוואה,ILS,0.903,משתנה,0.066,,,,0.0109,2026-08-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,75393.42,100.95,1.0,76.10966,76.10966,,,,,0.000261,6e-06
209,12119.0,,,,10049942.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2023-11-28,A1.il,מידרוג Moodys,הלוואה,ILS,0.903,משתנה,0.066,,,,0.0098,2026-08-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,113090.13,101.05,1.0,114.27757,114.27757,,,,,0.000392,1e-05
209,12119.0,,,,10049941.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2023-11-02,A1.il,מידרוג Moodys,הלוואה,ILS,0.903,משתנה,0.066,,,,0.0151,2026-08-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,129076.44,100.57,1.0,129.81218,129.81218,,,,,0.000446,1.1e-05
209,12119.0,,,,10049940.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2023-08-17,A1.il,מידרוג Moodys,הלוואה,ILS,0.903,משתנה,0.066,,,,0.016,2026-08-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,75393.42,100.49,1.0,75.76285,75.76285,,,,,0.00026,6e-06
209,12119.0,,,,10049957.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-02-17,A1.il,מידרוג Moodys,הלוואה,ILS,3.3035,משתנה,0.066,,,,0.0237,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,120435.28,99.27,1.0,119.5561,119.5561,,,,,0.00041,1e-05
209,12119.0,,,,10049873.0,תאגיד,,ישראל,,"נדל""ן מניב בישראל",לא,לא,,2025-07-27,NR,NR,NR,ILS,2.5381,קבועה,0.0835,,,,0.0968,2028-07-27,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,789512.13,97.77,1.0,771.90601,771.90601,,,,,0.002652,6.8e-05
209,12119.0,,,,10049958.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-02-17,A1.il,מידרוג Moodys,הלוואה,ILS,3.3032,משתנה,0.066,,,,0.0247,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,10059.1,98.96,1.0,9.95449,9.95449,,,,,3.4e-05,0.0
209,12119.0,,,,10049960.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-03-17,A1.il,מידרוג Moodys,הלוואה,ILS,3.3037,משתנה,0.066,,,,0.0212,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,14320.29,99.73,1.0,14.28163,14.28163,,,,,4.9e-05,1e-06
209,12119.0,,,,1650646.0,תאגיד,,ישראל,,בנקים,לא,לא,,2020-02-29,NR,NR,NR,ILS,6.8461,קבועה,0.0507,,,,0.0341,2048-04-30,החוב לא נחות,,,,2020-03-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,257022.97,135.55,1.0,348.39464,348.39464,,,,,0.001197,3.1e-05
209,12119.0,,,,1680646.0,תאגיד,,ישראל,,בנקים,לא,לא,,2019-06-30,NR,NR,NR,ILS,5.3422,קבועה,0.0427,,,,0.0304,2046-04-30,החוב לא נחות,,,,2019-04-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,357912.28,127.59,1.0,456.66027,456.66027,,,,,0.001569,4e-05
209,12119.0,,,,1680647.0,תאגיד,,ישראל,,בנקים,לא,לא,,2019-06-30,NR,NR,NR,ILS,4.7455,משתנה,0.023,,,,0.0116,2036-12-31,החוב לא נחות,,,,2019-04-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,885.29,137.84,1.0,1.22028,1.22028,,,,,4e-06,0.0
209,12119.0,,,,1680648.0,תאגיד,,ישראל,,בנקים,לא,לא,,2019-06-30,NR,NR,NR,ILS,4.5353,משתנה,0.031,,,,0.0076,2038-01-31,החוב לא נחות,,,,2019-04-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,4571.36,144.44,1.0,6.60287,6.60287,,,,,2.2e-05,0.0
209,12119.0,,,,1680649.0,תאגיד,,ישראל,,בנקים,לא,לא,,2019-06-30,NR,NR,NR,ILS,9.0664,משתנה,0.0473,,,,0.0231,2048-03-31,החוב לא נחות,,,,2019-04-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,254754.93,149.34,1.0,380.45101,380.45101,,,,,0.001307,3.3e-05
209,12119.0,,,,1680650.0,תאגיד,,ישראל,,בנקים,לא,לא,,2019-06-30,NR,NR,NR,ILS,4.0028,קבועה,0.0479,,,,0.0603,2041-02-28,החוב לא נחות,,,,2019-04-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,172038.33,96.34,1.0,165.74172,165.74172,,,,,0.000569,1.4e-05
209,12119.0,,,,10049981.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-09-15,A1.il,מידרוג Moodys,הלוואה,ILS,3.1453,משתנה,0.066,,,,0.022,2028-12-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,151138.35,99.83,1.0,150.88142,150.88142,,,,,0.000518,1.3e-05
209,12119.0,,,,10049980.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-09-15,A1.il,מידרוג Moodys,הלוואה,ILS,3.3039,משתנה,0.066,,,,0.022,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,21640.18,99.81,1.0,21.59907,21.59907,,,,,7.4e-05,1e-06
209,12119.0,,,,10049969.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-08-14,A1.il,מידרוג Moodys,הלוואה,ILS,3.3031,משתנה,0.066,,,,0.0254,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,9705.62,98.73,1.0,9.58236,9.58236,,,,,3.2e-05,0.0
209,12119.0,,,,10049968.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-08-14,A1.il,מידרוג Moodys,הלוואה,ILS,3.1447,משתנה,0.066,,,,0.0251,2028-12-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,102123.98,98.87,1.0,100.96997,100.96997,,,,,0.000346,9e-06
209,12119.0,,,,10049967.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-07-15,A1.il,מידרוג Moodys,הלוואה,ILS,3.1447,משתנה,0.066,,,,0.025,2028-12-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,149715.48,98.9,1.0,148.06861,148.06861,,,,,0.000508,1.3e-05
209,12119.0,,,,10049966.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-06-17,A1.il,מידרוג Moodys,הלוואה,ILS,3.145,משתנה,0.066,,,,0.0236,2028-12-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,116015.13,99.34,1.0,115.24943,115.24943,,,,,0.000396,1e-05
209,12119.0,,,,10049965.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-06-17,A1.il,מידרוג Moodys,הלוואה,ILS,3.3035,משתנה,0.066,,,,0.0238,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,18442.9,99.25,1.0,18.30457,18.30457,,,,,6.2e-05,1e-06
209,12119.0,,,,10049964.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-05-15,A1.il,מידרוג Moodys,הלוואה,ILS,3.1451,משתנה,0.066,,,,0.0228,2028-12-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,28086.44,99.57,1.0,27.96567,27.96567,,,,,9.6e-05,2e-06
209,12119.0,,,,10049963.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-05-15,A1.il,מידרוג Moodys,הלוואה,ILS,2.3587,משתנה,0.066,,,,0.0231,2028-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,78552.75,99.63,1.0,78.2621,78.2621,,,,,0.000268,6e-06
209,12119.0,,,,10049962.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-05-15,A1.il,מידרוג Moodys,הלוואה,ILS,3.3036,משתנה,0.066,,,,0.0231,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,9298.56,99.45,1.0,9.24741,9.24741,,,,,3.1e-05,0.0
209,12119.0,,,,10049961.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-04-10,A1.il,מידרוג Moodys,הלוואה,ILS,2.359,משתנה,0.066,,,,0.0199,2028-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,126183.27,100.36,1.0,126.63753,126.63753,,,,,0.000435,1.1e-05
209,12119.0,,,,10049959.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-03-17,A1.il,מידרוג Moodys,הלוואה,ILS,3.3039,משתנה,0.066,,,,0.022,2029-02-28,החוב לא נחות,,,,2022-02-06 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,67054.82,99.82,1.0,66.93412,66.93412,,,,,0.00023,5e-06
209,12119.0,,,,1650645.0,תאגיד,,ישראל,,בנקים,לא,לא,,2020-02-29,NR,NR,NR,ILS,7.5548,משתנה,0.0473,,,,0.0215,2048-04-30,החוב לא נחות,,,,2020-03-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,156399.23,146.16,1.0,228.59311,228.59311,,,,,0.000785,2e-05
209,12119.0,,,,10049872.0,תאגיד,,ישראל,,"נדל""ן מניב בישראל",לא,לא,,2025-07-27,NR,NR,NR,ILS,2.5384,קבועה,0.0834,,,,0.0967,2028-07-27,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,700117.68,97.77,1.0,684.50505,684.50505,,,,,0.002352,6.1e-05
209,12119.0,,,,10049868.0,תאגיד,,ישראל,,תשתיות,לא,לא,,2025-07-27,NR,NR,NR,ILS,6.9581,קבועה,0.0404,,,,0.0469,2035-04-30,החוב לא נחות,,,,2022-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,163594.09,97.76,1.0,159.92958,159.92958,,,,,0.000549,1.4e-05
209,12119.0,,,,10049420.0,תאגיד,,ישראל,,תשתיות,לא,לא,,2024-04-30,AA-,פנימי,הלוואה,ILS,0.0493,משתנה,0.057,,,,0.0107,2025-12-26,החוב לא נחות,,,,2022-08-22 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,306894.41,100.01,1.0,306.9251,306.9251,,,,,0.001054,2.7e-05
209,12119.0,,,,10049419.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-04-17,A1.il,מידרוג Moodys,הלוואה,ILS,5.9557,קבועה,0.041073,,,,0.0262,2038-09-08,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,92268.41,108.33,1.0,99.95437,99.95437,,,,,0.000343,8e-06
209,12119.0,,,,10049418.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-01-02,A1.il,מידרוג Moodys,הלוואה,ILS,5.8627,קבועה,0.034403,,,,0.035,2038-09-08,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,182031.65,109.16,1.0,198.70575,198.70575,,,,,0.000682,1.7e-05
209,12119.0,,,,10049417.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2023-11-30,A1.il,מידרוג Moodys,הלוואה,ILS,5.8304,קבועה,0.038269,,,,0.0347,2038-09-08,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,148756.4,111.43,1.0,165.75925,165.75925,,,,,0.000569,1.4e-05
209,12119.0,,,,10049416.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2023-10-26,A1.il,מידרוג Moodys,הלוואה,ILS,5.884,קבועה,0.041322,,,,0.0313,2038-09-08,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,82053.82,113.51,1.0,93.13929,93.13929,,,,,0.00032,8e-06
209,12119.0,,,,10049415.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2023-07-21,A1.il,מידרוג Moodys,הלוואה,ILS,5.9809,קבועה,0.031939,,,,0.0308,2038-09-08,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,85456.32,108.56,1.0,92.77138,92.77138,,,,,0.000318,8e-06
209,12119.0,,,,10049414.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2023-03-30,A1.il,מידרוג Moodys,הלוואה,ILS,5.9044,קבועה,0.036297,,,,0.0334,2038-09-08,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,162038.61,111.26,1.0,180.28415,180.28415,,,,,0.000619,1.6e-05
209,12119.0,,,,10049413.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2022-09-22,A1.il,מידרוג Moodys,הלוואה,ILS,5.9451,קבועה,0.0296,,,,0.0353,2038-09-08,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,402888.37,107.83,1.0,434.43453,434.43453,,,,,0.001492,3.8e-05
209,12119.0,,,,10049412.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2022-08-22,A,פנימי,הלוואה,ILS,0.0493,משתנה,0.0715,,,,0.0118,2025-12-26,החוב לא נחות,,,,2022-08-22 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,2201517.63,100.08,1.0,2203.27884,2203.27884,,,,,0.007571,0.000196
209,12119.0,,,,10049411.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2022-08-22,AA-,פנימי,הלוואה,ILS,0.0493,משתנה,0.057,,,,0.0107,2025-12-26,החוב לא נחות,,,,2022-08-22 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,924275.59,100.01,1.0,924.36802,924.36802,,,,,0.003176,8.2e-05
209,12119.0,,,,1004941.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2022-08-22,A1.il,מידרוג Moodys,הלוואה,ILS,6.0064,קבועה,0.024462,,,,0.0348,2038-09-08,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,7884283.69,104.41,1.0,8231.9806,8231.9806,,,,,0.028289,0.000734
209,12119.0,,,,1680653.0,תאגיד,,ישראל,,בנקים,לא,לא,,2019-06-30,NR,NR,NR,ILS,5.8593,משתנה,0.0694,,,,0.041,2048-03-31,החוב לא נחות,,,,2019-04-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,338216.75,118.93,1.0,402.24118,402.24118,,,,,0.001382,3.5e-05
209,12119.0,,,,1680655.0,תאגיד,,ישראל,,בנקים,לא,לא,,2021-11-30,NR,NR,NR,ILS,7.6724,משתנה,0.0806,,,,0.071,2051-08-31,החוב לא נחות,,,,2021-12-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,815433.34,111.18,1.0,906.59878,906.59878,,,,,0.003115,8e-05
209,12119.0,,,,10049196.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2025-09-29,NR,NR,NR,ILS,4.6052,קבועה,0.03943,,,,0.0399,2031-03-20,החוב לא נחות,,,,2023-10-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,46262.72,100.11,1.0,46.31361,46.31361,,,,,0.000159,4e-06
209,12119.0,,,,10049195.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-06-30,Aa1.il,מידרוג Moodys,הלוואה,ILS,0.9766,קבועה,0.051695,,,,0.0256,2027-06-30,החוב לא נחות,,,,2004-06-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,274363.87,157.9,1.0,433.22055,433.22055,,,,,0.001488,3.8e-05
209,12119.0,,,,10049194.0,תאגיד,,ישראל,,תשתיות,לא,כן,,2024-06-30,Aa1.il,מידרוג Moodys,הלוואה,ILS,0.9804,קבועה,0.038451,,,,0.0255,2027-06-30,החוב לא נחות,,,,2004-06-01 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,357988.53,155.43,1.0,556.42157,556.42157,,,,,0.001912,4.9e-05
