מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
671,7234.0,Silverstein DF I GP LLC,,,Silverstein (SCP),33936,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2022-02-01,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,342.1735,1131.22558,0.000588,0.005544,0.000401
671,7234.0,Presidio Inc,,,RTS (Presidio Co-invest),39003,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2021-06-09,USD,דיווח מנהל הקרן,אי-תלות,2025-03-31,3.306,707.95102,2340.48608,0.003336,0.011471,0.000829
671,7234.0,CVC Credit Partners European Direct Lending General Partner II S. r.l.,,,CVC EUDL II COINV,33895,פנימי,קרן חוב,,"חו""ל",,,בריטניה,לא,2021-06-14,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,143.8679,558.30815,0.001106,0.002736,0.000197
671,7234.0,MCL I (EMERALD – GSA IV,,,EMCL I (EMERALD - GROVE STREET IV),39076,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2025-02-19,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,756.89954,2502.30987,0.0,0.012264,0.000887
671,7234.0,TDL VI,,,TDL VI,39025,פנימי,קרן חוב,,"חו""ל",,,צרפת,לא,2024-12-11,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,267.29072,1037.27512,0.000532,0.005084,0.000367
671,7234.0,G Square Capital (GP) III LLP,,,G Square IV,33969,פנימי,קרן השקעה אחרת,,"חו""ל",,,בריטניה,לא,2023-06-28,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,408.6694,1585.92337,0.00112,0.007773,0.000562
671,7234.0,Israel Infrastructure G.P. Management II L.P.,,,Schroders Julie II,33903,פנימי,קרן חוב,,"חו""ל",,,בריטניה,לא,2021-08-23,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,474.61442,1841.83619,0.000921,0.009027,0.000653
671,7234.0,"Arclight fund VIII-B , L.P Pension",,,"Arclight fund VIII-B , L.P Pension",39074,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,"ארה""ב",לא,2025-05-12,USD,דיווח מנהל הקרן,אי-תלות,2025-05-31,3.306,120.58717,398.66119,0.000136,0.001953,0.000141
671,7234.0,New Mountain,,,New Mountain VII,34114,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2024-11-04,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,449.70627,1486.72895,0.000143,0.007286,0.000527
671,7234.0,Gatewood Capital GP II LLC,,,Gatewood  II,33934,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2022-01-19,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,130.33671,430.89319,0.00112,0.002111,0.000152
