מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,14285.0,M&Gַַ  LUX INVESTMENT FUNDS 1 - M,549300OR1ZG2XAP7AU07,LEI,M&G Lux Investment Funds 1 - M,LU2486835627,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,991.48,3.306,1656.53,54.29817,4.7e-05,0.090498,0.001183
209,14285.0,Threadneedle Lux,549300L2D2ETS27INO14,LEI,CT Lux Global Technology,LU0444971666,ISIN,מניות,"חו""ל","ארה""ב",סחיר,אחר,Equity Funds,לא,USD,311.6,3.306,17186.9,177.05097,0.000109,0.295091,0.003858
209,14285.0,FULLGOAL INTERNATIONALFUNDS,549300BD5XZL0OCXC245,LEI,Fullgoal International Funds S,LU1171460493,ISIN,מניות,"חו""ל",סין,סחיר,אחר,Equity Funds,לא,USD,0.8,3.306,565649.3,14.88813,1.9e-05,0.024814,0.000324
209,14285.0,INDIA DYNAMIC BOND FUND,25490082RF6XVDE85Z82,LEI,India Dynamic Bond Fund,MU0395S00048,ISIN,"אג""ח ממשלתי","חו""ל",הודו,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,23.33,3.306,12121.0,9.34857,0.0,0.015581,0.000203
209,14285.0,TOTAL CAPITAL INTL SA,5493009VJSAE25SFXL78,LEI,Capital Group Emerging Markets,LU0532993937,ISIN,"אג""ח ממשלתי","חו""ל",סין,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,473.41,3.306,1401.0,21.92679,2.8e-05,0.036545,0.000477
209,14285.0,Kotak Funds - India Midcap,4408,פנימי,Kotak Bond Feeder Fund,MU0381S00022,ISIN,"אג""ח ממשלתי","חו""ל",הודו,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,234.34,3.306,1401.76,10.85993,4e-06,0.0181,0.000236
209,14285.0,CT Lux Japan Equities,6ZLKQF7QB6JAEKQS5388,LEI,THRLXIU LX,LU2656573974,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,835.8,3.306,1370.82,37.87766,8e-06,0.06313,0.000825
209,14285.0,Colchis Capital Management,4441,פנימי,Colchester Local Markets Bond,IE00BQZJ1775,ISIN,"אג""ח ממשלתי","חו""ל",אירלנד,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,377.17,3.306,1176.7651,14.67337,5e-06,0.024456,0.000319
209,14285.0,CVC Credit Partners Ltd,2588,פנימי,CVC INCOME & GROWTH LTD,JE00B9G79F59,ISIN,מניות,"חו""ל",אירופה,סחיר,LSE,Bond/Fixed Income Funds,לא,EUR,10574.05,3.8807,109.0,44.72785,0.000127,0.074547,0.000974
209,14285.0,Colchis Capital Management,4441,פנימי,COLCHIS P2P INCOME FUND,555888222,פנימי,מניות,"חו""ל","ארה""ב",לא סחיר,אחר,Bond/Fixed Income Funds,לא,USD,307.4,3.306,93.0571,0.94571,0.0,0.001576,2e-05
