מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
671,14288.0,"סולאיר אנרגיות מתחדשות בע""מ",516046307,ח.פ.,סולאיר אפ 1,IL0012179185,ISIN,ישראל,ישראל,סחיר,TASE,IL0011722878,אנרגיה מתחדשת,2026-08-31,לא,ILS,4152.0,0.01,6.66,1.0,492.0,0.03277,0.059608,1e-05
671,14288.0,"אפולו פאוור בע""מ",520043928,ח.פ.,אפולו פאוור אפ8,IL0012147414,ISIN,ישראל,ישראל,סחיר,TASE,IL0010821143,קלינטק,2026-03-10,לא,ILS,835.0,0.01,0.91,1.0,251.6,0.00228,0.004147,0.0
671,14288.0,"פאי סיאם בע""מ",513154617,ח.פ.,פאי סיאם   אפ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,2028-01-12,לא,ILS,4900.0,0.01,4.89,1.0,480.1,0.02346,0.042673,7e-06
671,14288.0,"חג'ג' אירופה דיוולופמנט צ.ש בע""מ",515682292,ח.פ.,חגג אירופה אפ 1,IL0012188418,ISIN,ישראל,ישראל,סחיר,TASE,IL0011436354,בנייה,2027-09-01,לא,ILS,950.0,0.01,18.33,1.0,125.0,0.02292,0.041691,7e-06
671,14288.0,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אפ 7,IL0012143454,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972607,"נדל""ן מניב בישראל",2026-06-01,לא,ILS,58000.0,0.01,1.11,1.0,12600.0,0.14034,0.255278,4.5e-05
671,14288.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,ח.פ.,נאוויטס פט אפ 6,1228824,פנימי,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,1.83,1.0,1609.0,0.02951,0.053678,9e-06
671,14288.0,"אמות השקעות בע""מ",520026683,ח.פ.,אמות אפ 12,1225036,פנימי,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,לא,ILS,2800.0,0.01,7.91,1.0,169.8,0.01343,0.024429,4e-06
671,14288.0,"מגידו י.ק. ישראל בע""מ",510542855,ח.פ.,מגידו אפ 1,1225184,פנימי,ישראל,ישראל,סחיר,TASE,1216605,בנייה,2029-07-12,לא,ILS,850.0,0.01,18.13,1.0,215.8,0.03912,0.071159,1.2e-05
671,14288.0,Taboola.com Ltd,984500F5945AFAFFCB30,LEI,Taboola.com Ltd,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US4576791085,Commercial Services & Supplies,2027-12-31,לא,USD,11.5,1.0,0.69,3.306,8.5,0.00019,0.000345,0.0
671,14288.0,TALON METALS CORP,9845003F1E9496A9MA60,LEI,WTS TALON,TLO,ISIN,"חו""ל",קנדה,סחיר,אחר,0,Multi-Utilities,2026-06-29,לא,CAD,0.0,1.0,48.71,2.3745,0.0,0.0,0.0,0.0
671,14288.0,HOMETOGO SE,2221001IK1TS34BCHL37,LEI,HTGW GR 11.5 31/12/25,LU2290524383,ISIN,"חו""ל",גרמניה,סחיר,FWB,LU2290523658,Wireless Telecommunication Services,2025-12-31,לא,EUR,11.5,1.0,2.89,3.8807,0.1,1e-05,1.8e-05,0.0
671,14288.0,2MX ORGANIC SA,969500HQ6PWNILD1HE63,LEI,Teract SA,FR0014000TB2,ISIN,"חו""ל",צרפת,סחיר,אחר,FR001400BMH7,Diversified Consumer Services,2025-11-16,לא,EUR,11.5,0.25,8.37,3.8807,0.1,3e-05,5.4e-05,0.0
671,14288.0,ארקו קורפ.,1834,פנימי,Arko Corp,US0412421168,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0412421085,Retail REITs,2025-12-31,לא,USD,11.5,0.82,8.21,3.306,0.93,0.00025,0.000454,0.0
671,14288.0,Taboola.com Ltd,984500F5945AFAFFCB30,LEI,Taboola.com Ltd,IL0011754210,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,IL0011754137,Commercial Services & Supplies,2026-06-29,לא,USD,11.5,1.0,4.44,3.306,8.5,0.00125,0.002273,0.0
671,14288.0,LEO HOLDINGS III,7044,פנימי,Local Bounti Corp,US53960E1148,ISIN,"חו""ל","ארה""ב",סחיר,אחר,969743458,Industrial Conglomerates,2028-03-02,לא,USD,11.5,1.0,0.32,3.306,0.66,1e-05,1.8e-05,0.0
671,15220.0,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,ביג אפ 7,IL0012143454,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972607,"נדל""ן מניב בישראל",2026-06-01,לא,ILS,58000.0,0.01,1.34,1.0,12600.0,0.16932,0.20368,7e-05
