מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,נכס עכו - פנסיה,"נדל""ן לא מניב",ישראל,לא,2023-09-27,לוגיסטיקה ותעשייה,שלבים התחלתיים,אזור התעשייה החדש עכו,7.100%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,5653.688,5653.68843,,,,0.962%,0.010%
170,2002,איינשטיין 2-4 פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-05-21,מסחר,בתכנון/בהיתרים,רחוב איינשטיין  2-4 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,15076.527,15076.52739,,,,2.565%,0.027%
170,2002,עסקת איינשטיין מרכז 15-17 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-05-21,מסחר,בתכנון/בהיתרים,רחוב איינשטיין  15-17 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,7304.994,7304.99447,,,,1.243%,0.013%
170,2002,איינשטיין 6-8 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2024-06-16,מסחר,בתכנון/בהיתרים,רחוב איינשטיין 6-8 תל אביב,6.500%,,אחר,,אי-תלות,2024-06-30,ILS,666.143,666.14319,,,,0.113%,0.001%
170,2002,ברמינגהם CR115 - מקיפה כללי,"נדל""ן מניב",בריטניה,לא,2012-06-27,משרדים,בשימוש,115 Colmore Row Birmingham,5.190%,,מומחה בלתי תלוי,,אי-תלות,2025-01-31,GBP,3354.611,14897.49328,,,,2.534%,0.027%
170,2002,הארפר קורט (א. שיקגו) - מקיפה כללי,"נדל""ן מניב","ארה""ב",לא,2014-07-16,משרדים,בשימוש,Harper Court 5235  South Harper Court Chicago,5.380%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,USD,12073.404,39914.67375,,,,6.790%,0.072%
170,2002,סווינדון - מקיפה כללי,"נדל""ן מניב",בריטניה,לא,2014-12-15,משרדים,בשימוש,Wakefield House Pipers Way Swindon SN3 1SA,8.490%,,מומחה בלתי תלוי,,אי-תלות,2025-01-31,GBP,2780.672,12348.68628,,,,2.101%,0.022%
170,9654,פארק אפק - מקיפה בני 50 ומטה,"נדל""ן מניב",ישראל,לא,2018-01-30,לוגיסטיקה ותעשייה,בשימוש,רחוב העמל 7 פארק תעסוקה אפק ראש העין,7.315%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1007.529,1007.52911,,,,0.445%,0.003%
170,9654,חניון שוק הפשפשים - פנסיה,"נדל""ן מניב",ישראל,לא,2018-08-07,חניון,בשימוש,רבי פנחס 4 תל אביב,6.235%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,2059.433,2059.43313,,,,0.910%,0.006%
170,9654,טוטנאוור הר טוב בית שמש - פנסיה,"נדל""ן מניב",ישראל,לא,2019-08-25,לוגיסטיקה ותעשייה,בשימוש,איזור תעשיה הר טוב בית שמש,5.885%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,14071.198,14071.19775,,,,6.218%,0.039%
170,9654,מגדלי הארבעה - פנסיה,"נדל""ן מניב",ישראל,לא,2020-01-15,משרדים,בשימוש,רחוב הארבעה תל אביב-יפו,5.099%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,17416.793,17416.79335,,,,7.696%,0.048%
170,9654,עמק חפר - פנסיה,"נדל""ן מניב",ישראל,לא,2018-03-07,לוגיסטיקה ותעשייה,בשימוש,עמק חפר,5.748%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,3935.466,3935.46551,,,,1.739%,0.011%
170,9654,SKY TOWER - פנסיה,"נדל""ן מניב",ישראל,לא,2022-03-30,משרדים,בשימוש,"רחוב המסגר 35, מתחם חסן עראפה, תל אביב",6.364%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,16391.251,16391.25143,,,,7.243%,0.045%
170,9654,סטודיו טאוור - פנסיה,"נדל""ן מניב",ישראל,לא,2018-12-23,משרדים,בשימוש,בר כוכבא 10-12 בני ברק,6.922%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,5712.932,5712.9322,,,,2.524%,0.016%
