מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
667,12251,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM NQZ5 Index משתנה,557001082,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,3.87074101,3.306,2490175.0,6373.18943,1589.112%,1.074%
667,12251,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM NQZ5 Index התחייבות,557001083,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,-1903812.69243216,3.306,100.0,-6294.00476,-1569.367%,-1.061%
667,12251,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM GXZ5 Index משתנה,DE000C7GEVL3,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,0.271210166,3.8807,2401100.0,631.78061,157.530%,0.106%
667,12251,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM GXZ5 Index התחייבות,557001085,פנימי,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,-161058.15713342,3.8807,100.0,-625.01839,-155.844%,-0.105%
667,12251,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM VGZ5 Index משתנה,DE000C7GEHQ1,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,27.731700725,3.8807,554100.0,5963.13615,1486.868%,1.005%
667,12251,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM VGZ5 Index התחייבות,557001087,פנימי,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,-1505955.59692369,3.8807,100.0,-5844.16188,-1457.202%,-0.985%
667,12251,Chicago Board of Trade,549300EX04Q2QBFQTQ27,LEI,UXYZ5 Comdty,70235490,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,9.257579524,3.306,11507.8125,32.51841,8.108%,0.005%
667,9635,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM NKZ5 Index משתנה,557001076,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,0.513946577,0.022332,4499000.0,516.3707,169.243%,0.110%
667,9635,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM NKZ5 Index התחייבות,557001077,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,-22478546.8676388,0.022332,100.0,-501.99091,-164.530%,-0.107%
667,9635,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM TPZ5 Index משתנה,557001078,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,2.588667761,0.022332,314100.0,1815.81613,595.144%,0.386%
667,9635,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM TPZ5 Index התחייבות,557001079,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,-81017307.6987124,0.022332,100.0,-1809.27852,-593.001%,-0.385%
667,9635,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index משתנה,557001080,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,9.72170526,3.306,673875.0,10829.15696,3549.317%,2.303%
667,9635,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index התחייבות,557001081,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,-3245654.49201726,3.306,100.0,-10730.13375,-3516.861%,-2.282%
667,9635,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM NQZ5 Index משתנה,557001082,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,2.837526104,3.306,2490175.0,4671.99726,1531.273%,0.993%
667,9635,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM NQZ5 Index התחייבות,557001083,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,-1395628.95007105,3.306,100.0,-4613.94931,-1512.248%,-0.981%
667,9635,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM GXZ5 Index משתנה,DE000C7GEVL3,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,0.198816176,3.8807,2401100.0,463.13974,151.797%,0.098%
667,9635,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM GXZ5 Index התחייבות,557001085,פנימי,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,-118066.986124215,3.8807,100.0,-458.18255,-150.172%,-0.097%
667,9635,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM VGZ5 Index משתנה,DE000C7GEHQ1,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,20.32929212,3.8807,554100.0,4371.39929,1432.751%,0.930%
667,9635,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM VGZ5 Index התחייבות,557001087,פנימי,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,-1103971.64434448,3.8807,100.0,-4284.18276,-1404.165%,-0.911%
667,9635,Chicago Board of Trade,549300EX04Q2QBFQTQ27,LEI,UXYZ5 Comdty,70235490,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,9.947862957,3.306,11507.8125,34.94311,11.453%,0.007%
667,14238,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,ESZ5 Index,79965109,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,11.56273053,3.306,673875.0,178.42166,100.000%,0.487%
667,14231,Chicago Board of Trade,549300EX04Q2QBFQTQ27,LEI,UXYZ5 Comdty,70235490,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,0.380848487,3.306,11507.8125,1.33778,100.000%,0.007%
667,15435,Chicago Board of Trade,549300EX04Q2QBFQTQ27,LEI,UXYZ5 Comdty,70235490,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,0.039857628,3.306,11507.8125,0.14,100.000%,0.009%
667,15434,,,,,,,,,,,,,,,,0.0,,
667,13214,,,,,,,,,,,,,,,,0.0,,
667,2206,,,,,,,,,,,,,,,,0.0,,
