מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9647,"הבורסה לניירות ערך בתל-אביב בע""מ",520020033,ח.פ.,הבורסה לניע בתא,IL0011590291,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותים פיננסיים,לא,ILS,208516.323,1.0,7639.0,0.0,15928.56191,0.225%,0.684%,0.183%
170,9647,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פטר יהש,IL0011419699,ISIN,יחידות השתתפות,ישראל,ישראל,סחיר,TASE,חיפושי נפט וגז,לא,ILS,99347.204,1.0,11190.0,0.0,11116.95218,0.085%,0.477%,0.128%
170,9647,"אאורה השקעות בע""מ",520038274,ח.פ.,אאורה,IL0003730194,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,773012.635,1.0,2195.0,0.0,16967.62733,0.271%,0.728%,0.195%
170,9647,איסתא,520042763,ח.פ.,איסתא,IL0010810740,ISIN,מניות,ישראל,ישראל,חסום,TASE,מלונאות ותיירות,לא,ILS,8324.501,1.0,8799.6918,0.0,732.53043,0.047%,0.031%,0.008%
170,9647,משק אנרגיה -אנרגייות מתחדשות בעמ,516167343,ח.פ.,משק אנרגיה,IL0011669749,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה מתחדשת,לא,ILS,3197313.581,1.0,549.0,0.0,17553.25156,0.450%,0.753%,0.202%
170,9647,"לפידות קפיטל בע""מ",520022971,ח.פ.,לפידות קפיטל,IL0006420173,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,71289.063,1.0,8060.0,0.0,5745.89844,0.119%,0.247%,0.066%
170,9647,"אחים דוניץ בע""מ",520038605,ח.פ.,דוניץ,IL0004000100,ISIN,מניות,ישראל,ישראל,סחיר,TASE,בנייה,לא,ILS,7476.738,1.0,24800.0,0.0,1854.23111,0.083%,0.080%,0.021%
170,9647,קנון הולדינגס בעמ (דואלי),201406588,"מספר תאגיד או שותפות בחו""ל",קנון,SG9999012629,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ILS,125666.375,1.0,14830.0,0.0,18636.32343,0.241%,0.800%,0.214%
170,9647,נקסט ויז'ן מערכות מיוצבות בעמ,514259019,ח.פ.,נקסט ויזן,IL0011765935,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטחוניות,לא,ILS,166933.458,1.0,15000.0,0.0,25040.01877,0.183%,1.075%,0.288%
170,9647,תעשיות מספנות ישראל בעמ,516084753,ח.פ.,מספנות ישראל,IL0011685331,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,21449.956,1.0,12610.0,0.0,2704.83946,0.086%,0.116%,0.031%
170,9647,"קבוצת אקרשטיין בע""מ",512714494,ח.פ.,קבוצת אקרשטיין,IL0011762056,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מתכת ומוצרי בניה,לא,ILS,684450.832,1.0,875.3,0.0,5990.99813,0.237%,0.257%,0.069%
170,9647,"מלם - תים בע""מ",520034620,ח.פ.,מלם תים,IL0001560189,ISIN,מניות,ישראל,ישראל,סחיר,TASE,שירותי מידע,לא,ILS,5.669,1.0,12090.0,0.0,0.68538,0.000%,0.000%,0.000%
170,9647,"טלסיס בע""מ",520038100,ח.פ.,טלסיס,IL0003540197,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אלקטרוניקה ואופטיקה,לא,ILS,7404.144,1.0,19120.0,0.0,1415.67235,0.082%,0.061%,0.016%
170,9647,"אלוני-חץ נכסים והשקעות בע""מ",520038506,ח.פ.,אלוני חץ,IL0003900136,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,21731.042,1.0,3926.0,0.0,853.16072,0.010%,0.037%,0.010%
