מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,AIRSHIP AI HOLDINGS INC,8940116,"מספר תאגיד או שותפות בחו""ל",AISPW US Equity,US0089401162,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US0089401089,Software,2028-12-31,לא,USD,4.5,1.0,140815.669256348,3.306,167.0,777.44612,1.738%,0.001%
170,9654,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים אפ 1,IL0011903056,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,37.5,1.0,264.019545965,1.0,134.3,0.35458,0.001%,0.000%
170,9654,"מפעלים פטרוכימיים בישראל בע""מ",520029315,ח.פ.,פטרוכימים אפ 2,IL0011903130,ISIN,ישראל,ישראל,סחיר,TASE,IL0007560159,אנרגיה,2026-10-25,לא,ILS,600.0,1.0,29.305326337,1.0,8.1,0.00237,0.000%,0.000%
170,9654,זפירוס ווינג אנרגיס בעמ,516537560,ח.פ.,זפירוס אופ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,לא,ILS,1650.0,1.0,280290.391061517,1.0,464.5,1301.94887,4.262%,0.004%
170,9654,מיטב טרייד השקעות בעמ,516854239,ח.פ.,מיטב טרייד אפ 1,IL0012031998,ISIN,ישראל,ישראל,סחיר,TASE,IL0012031816,שירותים פיננסיים,2028-01-18,לא,ILS,699.03,1.0,146770.241137667,1.0,1568.0,2301.35738,7.534%,0.006%
170,9654,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אופ 2,IL0012039918,ISIN,ישראל,ישראל,סחיר,TASE,IL0011759342,השקעה ואחזקות,2026-02-11,לא,ILS,541.82,1.0,254809.446419561,1.0,403.0,1026.88207,3.362%,0.003%
170,9654,"אל על נתיבי אויר לישראל בע""מ",520017146,ח.פ.,אל על אפ 3,IL0012054677,ISIN,ישראל,ישראל,סחיר,TASE,IL0010878242,שירותים,2026-03-31,לא,ILS,510.4,1.0,2237228.08620625,1.0,1000.0,22372.28086,73.239%,0.062%
170,9654,רותם שני יזמות והשקעות בעמ,512287517,ח.פ.,רותם שני אופ 2,IL0012093030,ISIN,ישראל,ישראל,סחיר,TASE,IL0011715294,בנייה,2027-10-24,לא,ILS,2600.0,1.0,1174.05,1.0,1802.0,21.15638,0.069%,0.000%
170,9654,"ארי נדל""ן(ארנה) השקעות בעמ",520038332,ח.פ.,ארי נדלן אפ 1,IL0012123498,ISIN,ישראל,ישראל,סחיר,TASE,IL0003660136,"נדל""ן מניב בישראל",2027-09-27,לא,ILS,285.24,1.0,543928.857394793,1.0,59.6,324.1816,1.061%,0.001%
170,9654,פאי סיאם בעמ,513978635,ח.פ.,פאי סיאם אפ 1,IL0012162827,ISIN,ישראל,ישראל,סחיר,TASE,IL0011865271,מלונאות ותיירות,2028-01-12,לא,ILS,4900.0,1.0,72556.98986797,1.0,480.1,348.34611,1.140%,0.001%
170,9654,נאייקס בעמ דואלי,513639013,ח.פ.,נאייקס אפ 1,IL0012189812,ISIN,ישראל,ישראל,סחיר,TASE,IL0011751166,תוכנה ואינטרנט,2027-03-31,לא,ILS,16225.0,1.0,82.397009294,1.0,2797.0,2.30464,0.008%,0.000%
170,9654,מגידו י.ק. בעמ,510542855,ח.פ.,מגידו אפ 1,IL0012251844,ISIN,ישראל,ישראל,סחיר,TASE,IL0012166059,בנייה,2029-07-12,לא,ILS,850.0,1.0,388314.307776626,1.0,215.8,837.98228,2.743%,0.002%
170,9654,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,1.0,81574.059153142,1.0,1609.0,1312.52661,4.297%,0.004%
170,9654,BLUERIVER ACQUISITION CORP,G1261Q115,"מספר תאגיד או שותפות בחו""ל",BLUAW US Equity,KYG1261Q1156,ISIN,"חו""ל","ארה""ב",סחיר,אחר,KYG1261Q1073,Other,2026-01-04,לא,USD,11.5,1.0,14676.683597453,3.306,0.01,0.00485,0.000%,0.000%
