מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
162,8803,AWI ASH WO INDIA OPP FD DUSD,213800M3HXZ3RG189568,LEI,AWI ASH WO INDIA OPP FD DUSD,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,1569.787,3.306,25948,1346.628,0.000189,0.04511059067180888,0.000215070790854643
162,8803,Cheyne Capital,B239044,"מספר תאגיד או שותפות בחו""ל",Cheyne Real Estate Debt Fund Class X,KYG210181668,ISIN,"אג""ח קונצרני","חו""ל",בריטניה,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,GBP,1000.819,4.4409,17785.47,790.482,0.015031,0.026480297406138015,0.0001262483691831448
162,8803,Moneda International,549300Q46JVJZTGJRL07,LEI,MONEDA LATAM CORP DEBT D,KYG620101306,ISIN,"אג""ח קונצרני","חו""ל",אמריקה הדרומית,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,USD,1459.255,3.306,161816,7806.482,0.002241,0.2615087567530483,0.0012467780690231713
162,8803,GOLDMAN SACHS GROUP INC,5493008F1XGBJITK4N13,LEI,GS INDIA EQ IUSDA,LU0333811072,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,17248.086,3.306,4638,2644.688,0.00017,0.08859420554350933,0.00042238475638690427
162,8803,AMUNDI INVESTMENT SOLUTIONS,549300WFFU01S3XDX018,LEI,AMUNDI PLANET,LU1688575437,ISIN,"אג""ח קונצרני","חו""ל",גלובלי,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,USD,138.535,3.306,1024722,4693.183,0.000909,0.1572165863630431,0.0007495511599607063
162,8803,SCHRODER INVESTMENTS (LUX),W98SM5I2EG2S17ELT606,LEI,SCHRODER INTL GLB EQTY  IZUA,LU2016217478,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,10704.909,3.306,6956.81,2462.045,0.00022,0.08247586134446461,0.0003932147298806497
162,8803,KOTAK,549300P1V22EKK1UCL34,LEI,KOTAK INDIA MIDCAP,LU2126068639,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,30307.276,3.306,1433.42,1436.227,0.000125,0.04811206087263896,0.00022938070256729503
162,8803,THREADNEEDLE MANAGEMENT,5493000LMPLEZ8VQSU41,LEI,CTLX JAPAN EQS LJ JPY,LU2656573388,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,JPY,4593.525,0.022332,1434491.23,1471.538,0.000787,0.049294941421099435,0.00023502024421938328
162,12145,REAL ESTATE CREDIT INVES,549300QRGEEMB5OOLX86,LEI,REAL ESTATE CREDIT INV,GB00B0HW5366,ISIN,"אג""ח קונצרני","חו""ל",אירופה,סחיר,LSE,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,GBP,184410.338,4.4409,125.5,1027.78,0.000453,0.02370604194302726,7.740049775739801e-05
162,12145,LAZARD FUND MANAGERS IRELAND,549300SUR2UP5JCRR148,LEI,LAZARD JAPANESE STRATEGIC EQUITY FUND,IE000935MXF3,ISIN,מניות,"חו""ל",יפן,סחיר,ISE,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,JPY,7689.99,0.022332,1123244,1928.979,0.000308,0.0444924566358742,0.0001452683791896786
162,12145,M&G Investments,969500Q2MA9VBQ8BG884,LEI,LION III EUR C3 ACC,IE00B804LV55,ISIN,"אג""ח קונצרני","חו""ל",אירופה,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,EUR,681.726,3.8807,292058,7726.615,0.002457,0.17821660206233197,0.000581879241646829
162,12145,AWI ASH WO INDIA OPP FD DUSD,213800M3HXZ3RG189568,LEI,AWI ASH WO INDIA OPP FD DUSD,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,2084.253,3.306,25948,1787.957,0.000252,0.04123974355828017,0.00013464823383294488
162,12145,Cheyne Capital,B239044,"מספר תאגיד או שותפות בחו""ל",Cheyne Real Estate Debt Fund Class X,KYG210181668,ISIN,"אג""ח קונצרני","חו""ל",בריטניה,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,GBP,1524.389,4.4409,17785.47,1204.016,0.022895,0.02777097608055801,9.067255415348745e-05
162,12145,Moneda International,549300Q46JVJZTGJRL07,LEI,MONEDA LATAM CORP DEBT D,KYG620101306,ISIN,"אג""ח קונצרני","חו""ל",אמריקה הדרומית,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,USD,2222.651,3.306,161816,11890.377,0.003413,0.2742549727377519,0.0008954456190265591
162,12145,GOLDMAN SACHS GROUP INC,5493008F1XGBJITK4N13,LEI,GS INDIA EQ IUSDA,LU0333811072,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,22900.791,3.306,4638,3511.431,0.000225,0.08099216813524894,0.0002644403542010526
162,12145,AMUNDI INVESTMENT SOLUTIONS,549300WFFU01S3XDX018,LEI,AMUNDI PLANET,LU1688575437,ISIN,"אג""ח קונצרני","חו""ל",גלובלי,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,USD,211.008,3.306,1024722,7148.381,0.001385,0.16487946818457175,0.000538333347175005
162,12145,SCHRODER INVESTMENTS (LUX),W98SM5I2EG2S17ELT606,LEI,SCHRODER INTL GLB EQTY  IZUA,LU2016217478,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,14213.223,3.306,6956.81,3268.93,0.000292,0.07539881267277053,0.0002461779847186081
162,12145,KOTAK,549300P1V22EKK1UCL34,LEI,KOTAK INDIA MIDCAP,LU2126068639,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,40239.863,3.306,1433.42,1906.921,0.000166,0.043983682507968136,0.0001436072258499243
162,12145,THREADNEEDLE MANAGEMENT,5493000LMPLEZ8VQSU41,LEI,CTLX JAPAN EQS LJ JPY,LU2656573388,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,JPY,6098.958,0.022332,1434491.23,1953.805,0.001045,0.045065075481617055,0.0001471379862625202
162,13572,"קסם קרנות נאמנות בע""מ",510938608,ח.פ.,קסם SP500 KTF,IL0051244825,ISIN,מניות,ישראל,"ארה""ב",סחיר,TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,21471210.274,1,299.07,64213.949,0.014729,1.0,0.0031236716203698433
162,14242,REAL ESTATE CREDIT INVES,549300QRGEEMB5OOLX86,LEI,REAL ESTATE CREDIT INV,GB00B0HW5366,ISIN,"אג""ח קונצרני","חו""ל",אירופה,סחיר,LSE,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,GBP,2700.124,4.4409,125.5,15.049,7e-06,0.017845834944110957,0.00014066201758483564
162,14242,LAZARD FUND MANAGERS IRELAND,549300SUR2UP5JCRR148,LEI,LAZARD JAPANESE STRATEGIC EQUITY FUND,IE000935MXF3,ISIN,מניות,"חו""ל",יפן,סחיר,ISE,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,JPY,224.252,0.022332,1123244,56.252,9e-06,0.06670635306506277,0.0005257837605942039
162,14242,M&G Investments,969500Q2MA9VBQ8BG884,LEI,LION III EUR C3 ACC,IE00B804LV55,ISIN,"אג""ח קונצרני","חו""ל",אירופה,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,EUR,9.982,3.8807,292058,113.133,3.6e-05,0.1341586048728889,0.00105744674300121
162,14242,AWI ASH WO INDIA OPP FD DUSD,213800M3HXZ3RG189568,LEI,AWI ASH WO INDIA OPP FD DUSD,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,60.78,3.306,25948,52.14,7e-06,0.0618301437959961,0.00048734916584977937
162,14242,Cheyne Capital,B239044,"מספר תאגיד או שותפות בחו""ל",Cheyne Real Estate Debt Fund Class X,KYG210181668,ISIN,"אג""ח קונצרני","חו""ל",בריטניה,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,GBP,22.32,4.4409,17785.47,17.629,0.000335,0.020905324222854148,0.00016477710864529655
162,14242,Moneda International,549300Q46JVJZTGJRL07,LEI,MONEDA LATAM CORP DEBT D,KYG620101306,ISIN,"אג""ח קונצרני","חו""ל",אמריקה הדרומית,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,USD,32.544,3.306,161816,174.098,5e-05,0.20645386219016743,0.0016272826059860932
162,14242,GOLDMAN SACHS GROUP INC,5493008F1XGBJITK4N13,LEI,GS INDIA EQ IUSDA,LU0333811072,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,667.822,3.306,4638,102.399,7e-06,0.12142970645504804,0.0009571167478682693
162,14242,AMUNDI INVESTMENT SOLUTIONS,549300WFFU01S3XDX018,LEI,AMUNDI PLANET,LU1688575437,ISIN,"אג""ח קונצרני","חו""ל",גלובלי,סחיר,אחר,"אג""ח בחו""ל - אג""ח נקובת מט""ח",לא,USD,3.09,3.306,1024722,104.666,2e-05,0.12411802513524602,0.0009783062484241083
162,14242,SCHRODER INVESTMENTS (LUX),W98SM5I2EG2S17ELT606,LEI,SCHRODER INTL GLB EQTY  IZUA,LU2016217478,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,414.479,3.306,6956.81,95.327,9e-06,0.11304338545533027,0.0008910152269459516
162,14242,KOTAK,549300P1V22EKK1UCL34,LEI,KOTAK INDIA MIDCAP,LU2126068639,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,1173.455,3.306,1433.42,55.609,5e-06,0.06594385244249228,0.0005197736816981278
162,14242,THREADNEEDLE MANAGEMENT,5493000LMPLEZ8VQSU41,LEI,CTLX JAPAN EQS LJ JPY,LU2656573388,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,JPY,177.855,0.022332,1434491.23,56.976,3e-05,0.06756490742080311,0.0005325509411863642
414,414,LAZARD FUND MANAGERS IRELAND,549300SUR2UP5JCRR148,LEI,LAZARD JAPANESE STRATEGIC EQUITY FUND,IE000935MXF3,ISIN,מניות,"חו""ל",יפן,סחיר,ISE,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,JPY,1161.634,0.022332,1123244,291.388,4.7e-05,0.1302224061479663,0.00013878328288866536
414,414,LAZARD FUND MANAGERS IRELAND,549300SUR2UP5JCRR148,LEI,LAZARD JAPANESE STRATEGIC EQUITY FUND,IE000935MXF3,ISIN,מניות,"חו""ל",יפן,סחיר,ISE,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,JPY,36.808,0.022332,1123244,9.233,1e-06,0.004126262838429081,4.397525124270895e-06
414,414,AWI ASH WO INDIA OPP FD DUSD,213800M3HXZ3RG189568,LEI,AWI ASH WO INDIA OPP FD DUSD,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,314.843,3.306,25948,270.085,3.8e-05,0.12070201437421403,0.00012863701648312622
414,414,AWI ASH WO INDIA OPP FD DUSD,213800M3HXZ3RG189568,LEI,AWI ASH WO INDIA OPP FD DUSD,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,9.976,3.306,25948,8.558,1e-06,0.003824602769552266,4.076033793296904e-06
414,414,GOLDMAN SACHS GROUP INC,5493008F1XGBJITK4N13,LEI,GS INDIA EQ IUSDA,LU0333811072,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,3459.346,3.306,4638,530.429,3.4e-05,0.2370507387766813,0.0002526345558477078
414,414,GOLDMAN SACHS GROUP INC,5493008F1XGBJITK4N13,LEI,GS INDIA EQ IUSDA,LU0333811072,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-חו""ל גיאוגרפי אחר - מדד אחר",לא,USD,109.614,3.306,4638,16.807,1e-06,0.007511112263129812,8.004895999525713e-06
414,414,SCHRODER INVESTMENTS (LUX),W98SM5I2EG2S17ELT606,LEI,SCHRODER INTL GLB EQTY  IZUA,LU2016217478,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,2147.02,3.306,6956.81,493.798,4.4e-05,0.2206802054684938,0.00023518781667006597
414,414,SCHRODER INVESTMENTS (LUX),W98SM5I2EG2S17ELT606,LEI,SCHRODER INTL GLB EQTY  IZUA,LU2016217478,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,68.031,3.306,6956.81,15.647,1e-06,0.006992703848467435,7.452407193703746e-06
414,414,KOTAK,549300P1V22EKK1UCL34,LEI,KOTAK INDIA MIDCAP,LU2126068639,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל חשופת מט""ח",לא,USD,6078.55,3.306,1433.42,288.056,2.5e-05,0.1287333226672292,0.00013719630642228709
