מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,"מח""מ",שיעור ריבית,תשואה לפדיון,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,9823,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,329311.48,1.0,116.95,385.12977,0.68161,9e-06
214,9823,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,163887.76,1.0,109.77,179.89959,0.318389,4e-06
214,9827,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,3675785.04,1.0,109.77,4034.90924,0.758011,0.000313
214,9827,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,1101419.87,1.0,116.95,1288.11054,0.241988,9.9e-05
214,9829,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,4727552.85,1.0,109.77,5189.43476,0.727393,0.0009
214,9829,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,1662979.37,1.0,116.95,1944.85437,0.272606,0.000337
283,283,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,5563764.65,1.0,109.77,6107.34446,0.86759,0.000347
283,283,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,796995.22,1.0,116.95,932.08591,0.132408,5.3e-05
662,12140,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,327199.0,1.0,109.77,359.16634,0.657163,0.001067
662,12140,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,160216.87,1.0,116.95,187.37363,0.342836,0.000557
