מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
283,283,גיתם נדלן מניב,"נדל""ן מניב",ישראל,לא,2021-10-01,משרדים,בשימוש,"ראול ולנברג 8, תל אביב , ישראל",0.06358,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-09-25,ILS,17806.40004,17806.40004,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.239925,0.001016
662,2164,מגדלי אלון הארגז תא,"נדל""ן מניב",ישראל,לא,2010-12-31,משרדים,בשימוש,"יגאל אלון  94, תל אביב , ישראל",0.06044,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2024-12-31,ILS,1851.07935,1851.07935,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.637127,0.001859
662,2164,בית עורק רמת גן,"נדל""ן מניב",ישראל,לא,2020-06-18,משרדים,בשימוש,"אבא הלל סילבר 16, רמת גן , ישראל",0.07164,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-05-25,ILS,1054.27396,1054.27396,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.362872,0.001058
662,9862,בית עורק רמת גן,"נדל""ן מניב",ישראל,לא,2020-06-18,משרדים,בשימוש,"אבא הלל סילבר 16, רמת גן , ישראל",0.07164,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,"תא ללא תוכן, המשך בתא הבא",אי-תלות,2025-05-25,ILS,1041.20757,1041.20757,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1.0,0.0006
214,12027,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,12028,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,13415,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,14198,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,14199,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,14200,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,15038,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
214,15276,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,
