מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,9829,Comgest Growth PLC - Europe,635400JYB1RHBTRDH390,LEI,COMEEIA ID,IE00B5WN3467,ISIN,מניות,"חו""ל",Developed Markets - Europe,סחיר,אחר,Equity Funds,לא,EUR,10015.86,3.8807,4271.0,1660.07589,0.000259,0.01014,0.000287
214,9829,PIMCO GIS US High Yield Bond F,H77EL1W1M92QDZ004K92,LEI,PIMCO HIGH YIELD BO,IE0002460974,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,127693.88,3.306,4668.0,19706.24053,0.00872,0.120382,0.003418
214,9829,Neuberger Berman Global Flexib,549300XIWEKOTC8HO652,LEI,NB GLB FLEX CRE,IE00BMD7Z621,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,691442.18,3.306,1380.0,31545.52849,0.036473,0.192706,0.005471
214,9829,Fidelity Funds - Asia Pacific,5493007KIU6LS4KZ1387,LEI,FIDELITY FDS-ASIA P OP-IAUSD,LU2045877524,ISIN,מניות,"חו""ל",Developed Markets - Pacific,סחיר,אחר,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,USD,41899.85,3.306,1773.0,2455.97563,0.002849,0.015003,0.000426
214,9829,Fidelity Funds - Global Focus,549300F4JJCOV7BCT788,LEI,FIDELITY FDS-GL FOCUS-IAUSD,LU1366333257,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,Equity Funds,לא,USD,18141.98,3.306,3055.0,1832.3094,0.005771,0.011193,0.000317
214,9829,Fidelity Funds - US High Yield,5493009BXYOCIRTXRS63,LEI,FIDELITY-US HIGH YD-I ACC,LU0891474172,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,307150.04,3.306,1847.0,18755.14052,0.011294,0.114572,0.003253
214,9829,PIMCO Global Investors Series,I4F80UDLONU55HEJTV77,LEI,PIMCO GBL INV,IE0034085260,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,294574.25,3.306,2255.0,21960.59887,0.003432,0.134153,0.003809
214,9829,UTI INDIA DYNAMIC EQUITY FUND,549300ACH7GWORVJDB13,LEI,UTIIDEI ID,IE00BYPC7R45,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",לא,USD,58684.61,3.306,2348.33,4556.02581,0.003363,0.027832,0.00079
283,283,"אי.בי.אי קרנות נאמנות בע""מ",513765339,ח.פ.,איביאי טכנולוגיה עילית 5D,IL0011425381,ISIN,מניות,ישראל,ישראל,סחיר,TASE,קרן סגורה-קרן טכנולוגיה עילית,כן,ILS,729250.18,1.0,84.7,617.6749,0.002355,0.013318,3.5e-05
283,283,UBAM - Swiss Equity,549300JRDP7MWQWUOI82,LEI,UBAM-SWISS EQUITY-IC,LU0132668087,ISIN,מניות,"חו""ל",שוויץ,סחיר,אחר,Equity Funds,לא,CHF,1218.33,4.1427,49496.0,2498.15109,0.001978,0.053868,0.000142
283,283,Pictet CH Institutional - Swis,549300SSQUL8NSW2ZU66,LEI,PICTET CH IN SWISS E-IINSCAP,CH0180952241,ISIN,מניות,"חו""ל",שוויץ,סחיר,אחר,Equity Funds,לא,CHF,237.29,4.1427,305423.0,3002.40611,0.010985,0.06474,0.000171
283,283,SPARX Jupan Fund,635400BTSWMY84SXPB33,LEI,SPARX JAPAN FUND PLC-JPY I G,IE00BD6HM324,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה יפן",לא,JPY,12518.86,0.022332,2189400.0,6120.93286,0.002536,0.131987,0.000348
283,283,KBI Fund ICAV - KBI Energy Sol,635400UCQYVGO94KDT51,LEI,KBI ENERGY SOLUTIONS-AUSDACC,IE00BNGJJ156,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,Equity Funds,לא,USD,104022.79,3.306,1119.7,3850.64089,0.006244,0.083031,0.000218
283,283,Nomura Funds Ireland - Nomura,549300B3CEAHYG7K8164,LEI,NUSHYIU ID,IE00B3RW8498,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,190.51,3.306,43065.06,271.22689,3.7e-05,0.005845,1.4e-05
283,283,Fidelity Funds - Asia Pacific,5493007KIU6LS4KZ1387,LEI,FIDELITY FDS-ASIA P OP-IAUSD,LU2045877524,ISIN,מניות,"חו""ל",Developed Markets - Pacific,סחיר,אחר,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,USD,69540.27,3.306,1773.0,4076.12893,0.004729,0.087893,0.000231
283,283,PIMCO GIS US High Yield Bond F,H77EL1W1M92QDZ004K92,LEI,PIMCO HIGH YIELD BO,IE0002460974,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,1203.98,3.306,4668.0,185.80371,8.2e-05,0.004005,1e-05
283,283,Kotak Funds - India Midcap Fun,549300P1V22EKK1UCL34,LEI,KOTAK INDIA MIDCAP-S,LU2126068639,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",לא,USD,63212.93,3.306,1433.42,2995.58918,0.002403,0.064594,0.00017
283,283,Neuberger Berman Global Flexib,549300XIWEKOTC8HO652,LEI,NB GLB FLEX CRE,IE00BMD7Z621,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,6519.39,3.306,1380.0,297.43249,0.000343,0.006411,1.5e-05
283,283,Fidelity Funds - US High Yield,5493009BXYOCIRTXRS63,LEI,FIDELITY-US HIGH YD-I ACC,LU0891474172,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,2896.02,3.306,1847.0,176.83609,0.000106,0.003812,9e-06
283,283,Comgest Growth PLC - Europe,635400JYB1RHBTRDH390,LEI,COMEEIA ID,IE00B5WN3467,ISIN,מניות,"חו""ל",Developed Markets - Europe,סחיר,אחר,Equity Funds,לא,EUR,16623.11,3.8807,4271.0,2755.19157,0.000431,0.059409000000000003,0.000156
283,283,Fidelity Funds - Global Focus,549300F4JJCOV7BCT788,LEI,FIDELITY FDS-GL FOCUS-IAUSD,LU1366333257,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,Equity Funds,לא,USD,30109.85,3.306,3055.0,3041.04375,0.009578,0.065573,0.000173
283,283,PIMCO Global Investors Series,I4F80UDLONU55HEJTV77,LEI,PIMCO GBL INV,IE0034085260,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,2777.44,3.306,2255.0,207.05931,3.2e-05,0.004463,1e-05
283,283,UTI INDIA DYNAMIC EQUITY FUND,549300ACH7GWORVJDB13,LEI,UTIIDEI ID,IE00BYPC7R45,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",לא,USD,97397.55,3.306,2348.33,7561.53619,0.005582,0.163051,0.000431
283,283,PIMCO GIS GLOBAL HIGH YIELD BD,QXVFC9ZCZF8S0XG3RS45,LEI,PIMCO Global High Yield,IE0002420739,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,1343.52,3.306,3352.0,148.88502,7.7e-05,0.003209,7e-06
283,283,Artemis Funds Lux - SmartGARP,5493003UWC387B8GNF45,LEI,ARTEMIS LUX-SG GL EM E-IAUSD,LU1846577242,ISIN,מניות,"חו""ל","גלובלי ללא ארה""ב",סחיר,אחר,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,USD,1402433.77,3.306,184.81,8568.61592,0.00949,0.184767,0.000488
662,12140,"אי.בי.אי קרנות נאמנות בע""מ",513765339,ח.פ.,איביאי טכנולוגיה עילית 5D,IL0011425381,ISIN,מניות,ישראל,ישראל,סחיר,TASE,קרן סגורה-קרן טכנולוגיה עילית,כן,ILS,31465.04,1.0,84.7,26.65089,0.000101,0.002165,7.9e-05
662,12140,UTI INDIA DYNAMIC EQUITY FUND,549300ACH7GWORVJDB13,LEI,UTIIDEI ID,IE00BYPC7R45,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",לא,USD,4080.98,3.306,2348.33,316.83006,0.000233,0.025743,0.000942
662,12140,PIMCO GIS US High Yield Bond F,H77EL1W1M92QDZ004K92,LEI,PIMCO HIGH YIELD BO,IE0002460974,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,9743.57,3.306,4668.0,1503.66749,0.000665,0.122176,0.00447
662,12140,UBAM - Swiss Equity,549300JRDP7MWQWUOI82,LEI,UBAM-SWISS EQUITY-IC,LU0132668087,ISIN,מניות,"חו""ל",שוויץ,סחיר,אחר,Equity Funds,לא,CHF,51.05,4.1427,49496.0,104.67309,8.2e-05,0.008504,0.000311
662,12140,Fidelity Funds - Global Focus,549300F4JJCOV7BCT788,LEI,FIDELITY FDS-GL FOCUS-IAUSD,LU1366333257,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,Equity Funds,לא,USD,1261.61,3.306,3055.0,127.42041,0.000401,0.010353,0.000378
662,12140,Pictet CH Institutional - Swis,549300SSQUL8NSW2ZU66,LEI,PICTET CH IN SWISS E-IINSCAP,CH0180952241,ISIN,מניות,"חו""ל",שוויץ,סחיר,אחר,Equity Funds,לא,CHF,9.94,4.1427,305423.0,125.80149,0.00046,0.010221,0.000374
662,12140,Fidelity Funds - US High Yield,5493009BXYOCIRTXRS63,LEI,FIDELITY-US HIGH YD-I ACC,LU0891474172,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,23436.82,3.306,1847.0,1431.09463,0.000861,0.116279,0.004255
662,12140,Neuberger Berman Global Flexib,549300XIWEKOTC8HO652,LEI,NB GLB FLEX CRE,IE00BMD7Z621,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,52759.89,3.306,1380.0,2407.05402,0.002783,0.195578,0.007156
662,12140,Kotak Funds - India Midcap Fun,549300P1V22EKK1UCL34,LEI,KOTAK INDIA MIDCAP-S,LU2126068639,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,"CNX NIFTY - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה הודו",לא,USD,2648.64,3.306,1433.42,125.51586,0.0001,0.010198,0.000373
662,12140,SPARX Jupan Fund,635400BTSWMY84SXPB33,LEI,SPARX JAPAN FUND PLC-JPY I G,IE00BD6HM324,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה יפן",לא,JPY,524.54,0.022332,2189400.0,256.46846,0.000106,0.020838,0.000762
662,12140,Comgest Growth PLC - Europe,635400JYB1RHBTRDH390,LEI,COMEEIA ID,IE00B5WN3467,ISIN,מניות,"חו""ל",Developed Markets - Europe,סחיר,אחר,Equity Funds,לא,EUR,696.51,3.8807,4271.0,115.44314,1.8e-05,0.009379,0.000343
662,12140,KBI Fund ICAV - KBI Energy Sol,635400UCQYVGO94KDT51,LEI,KBI ENERGY SOLUTIONS-AUSDACC,IE00BNGJJ156,ISIN,מניות,"חו""ל",גלובלי,סחיר,אחר,Equity Funds,לא,USD,4358.58,3.306,1119.7,161.34272,0.000261,0.013109,0.000479
662,12140,Artemis Funds Lux - SmartGARP,5493003UWC387B8GNF45,LEI,ARTEMIS LUX-SG GL EM E-IAUSD,LU1846577242,ISIN,מניות,"חו""ל","גלובלי ללא ארה""ב",סחיר,אחר,"MSCI EMERGING MARKETS - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-שווקים מתעוררים כללי",לא,USD,58762.29,3.306,184.81,359.02693,0.000397,0.029171,0.001067
662,12140,PIMCO Global Investors Series,I4F80UDLONU55HEJTV77,LEI,PIMCO GBL INV,IE0034085260,ISIN,"אג""ח קונצרני","חו""ל","ארה""ב",סחיר,אחר,Bond/Fixed Income Funds,לא,USD,22477.23,3.306,2255.0,1675.68433,0.000261,0.136153,0.004982
