מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
214,9827,התחייבות להשקעה,CVC Credit Capital Solutions III General Partner Sarl,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CVC Capital Solutions III Co-Invest Fund,12551496.0,פנימי,EUR,2023-12-13,358.98297,1393.105212,261.730914,1015.69916,0.72909,2029-01-31 00:00:00
214,9827,התחייבות להשקעה,טנא הון צמיחה 4 (ג'.פי) שותפות מוגבלת,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Tene Growth Capital IV,12751033.0,פנימי,USD,2018-01-11,1416.36713,4682.509732,351.40428,1161.74255,0.248102,2027-08-31 00:00:00
214,9827,התחייבות להשקעה,CVC Credit Capital Solutions Co-invest (GP) Sarl,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CVC Credit Capital Solutions Co-Invest Feeder,12551419.0,פנימי,USD,2022-03-28,697.94793,2307.415857,94.577307,312.67258,0.135507,2031-12-31 00:00:00
214,9827,התחייבות להשקעה,CVC European Direct Lending General Partner III Sarl,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",CVC EU DL III Co-Invest Fund,12551473.0,פנימי,EUR,2022-07-26,1267.0,4916.8469,668.377419,2593.77225,0.527527,2030-02-28 00:00:00
214,9827,התחייבות להשקעה,Breakthrough Properties Allston (GP) LLC,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ERC פנסיה ישיר,12561082.0,פנימי,USD,2021-03-24,1701.045,5623.65477,0.0,0.0,0.0,2030-10-31 00:00:00
214,9827,התחייבות להשקעה,Ares US Real Estate Opportunity Advisors IV LP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Ares RE Opportunity Fund IV QFPF,12561136.0,פנימי,USD,2024-07-19,8242.0,27248.052,6337.575272,20952.02385,0.768936,2032-06-30 00:00:00
214,9827,התחייבות להשקעה,ICG Strategic Equity Advisors LLC,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ICG Strategic Equity Fund IV,12551464.0,פנימי,USD,2022-03-16,7258.23688,23995.731125,1395.161046,4612.40242,0.192217,2031-12-31 00:00:00
214,9827,התחייבות להשקעה,Harel-Hamilton Lane LP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Harel-Hamilton Lane LP SMA 2,12551221.0,פנימי,USD,2020-04-27,9361.58728,30949.407548,2038.614773,6739.66044,0.217763,2028-12-29 00:00:00
214,9827,התחייבות להשקעה,"Insight Venture Management, LLC(Delaware limited liability company)","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Insight Venture Partners Cayman X,12595009.0,פנימי,USD,2021-10-01,142.97396,472.671912,20.065163,66.33543,0.140341,2028-03-30 00:00:00
214,9827,התחייבות להשקעה,S.H. SKY 3 Investment Management L.P.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",SKY III,12593007.0,פנימי,USD,2017-01-11,29.32799,96.958335,2.850744,9.42456,0.097202,2026-12-30 00:00:00
