מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
662,2204,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,אגח CLN צמודות אשראי סדרה 3 בנק לאומי 22.12.24,IL0012150293,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-12-22,ilAAA,S&P מעלות,מנפיק,ILS,3.73,0.0369,0.037,חברת ציטוט,אי-תלות,2025-09-30,35726.42,1.0,103.39,36.93754,1.0,0.000552
662,9856,"בנק הפועלים בע""מ",520000118,ח.פ.,בנק הפועלים אג'ח צמודות אשראי אגח1 24.09.24 cln,IL0012117474,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-09-24,ilAAA,S&P מעלות,מנפיק,ILS,1.9,0.0675,0.0689,חברת ציטוט,אי-תלות,2025-09-30,1177220.92,1.0,101.09,1190.05263,0.15627,0.004696
662,9856,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,אגח CLN צמודות אשראי סדרה 3 בנק לאומי 22.12.24,IL0012150293,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-12-22,ilAAA,S&P מעלות,מנפיק,ILS,3.73,0.0369,0.037,חברת ציטוט,אי-תלות,2025-09-30,114646.48,1.0,103.39,118.533,0.015564,0.000467
662,9856,"בנק הפועלים בע""מ",520000118,ח.פ.,"בנק הפועלים בע""מ  CLN אשראי משיכה 1",10000504,טיקר,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-03-30,ilAAA,S&P מעלות,מנפיק,ILS,2.92,0.065,0.061,חברת ציטוט,אי-תלות,2025-09-30,3636064.86,1.0,100.5,3654.24518,0.479851,0.01442
662,9856,"בנק הפועלים בע""מ",520000118,ח.פ.,"בנק הפועלים בע""מ  CLN אשראי משיכה 2",10000504,טיקר,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-06-29,ilAAA,S&P מעלות,מנפיק,ILS,1.33,0.065,0.062,חברת ציטוט,אי-תלות,2025-09-30,2641962.57,1.0,100.4,2652.53042,0.348313,0.010468
662,9858,"בנק הפועלים בע""מ",520000118,ח.פ.,בנק הפועלים אג'ח צמודות אשראי אגח1 24.09.24 cln,IL0012117474,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-09-24,ilAAA,S&P מעלות,מנפיק,ILS,1.9,0.0675,0.0689,חברת ציטוט,אי-תלות,2025-09-30,1391901.34,1.0,101.09,1407.07307,0.152773,0.002613
662,9858,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,אגח CLN צמודות אשראי סדרה 3 בנק לאומי 22.12.24,IL0012150293,ISIN,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2024-12-22,ilAAA,S&P מעלות,מנפיק,ILS,3.73,0.0369,0.037,חברת ציטוט,אי-תלות,2025-09-30,195156.18,1.0,103.39,201.77198,0.021907,0.000374
662,9858,"בנק הפועלים בע""מ",520000118,ח.פ.,"בנק הפועלים בע""מ  CLN אשראי משיכה 2",10000504,טיקר,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-06-29,ilAAA,S&P מעלות,מנפיק,ILS,1.33,0.065,0.062,חברת ציטוט,אי-תלות,2025-09-30,3123756.28,1.0,100.4,3136.25131,0.340519,0.005826
662,9858,"בנק הפועלים בע""מ",520000118,ח.פ.,"בנק הפועלים בע""מ  CLN אשראי משיכה 1",10000504,טיקר,קרן לא מובטחת,ישראל,ישראל,כן,"ריבית ואג""ח",2025-03-30,ilAAA,S&P מעלות,מנפיק,ILS,2.92,0.065,0.061,חברת ציטוט,אי-תלות,2025-09-30,4404611.79,1.0,100.5,4426.63485,0.480622,0.008222
662,9858,"סופלנט בע""מ",515724847,ח.פ.,SUPPLANT LTD,12914005,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2024-06-06,NR,NR,NR,USD,"תא ללא תוכן, המשך בתא הבא",0.0,"תא ללא תוכן, המשך בתא הבא",מומחה בלתי תלוי,אי-תלות,2025-05-27,5896.75,3.306,100.0,19.49465,0.002116,3.6e-05
