מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,הגעת לשדה האחרון בשורה זו
214,2175,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,26080.04,1.0,464.5,121.1418,0.276395,1e-05,הגעת לשדה האחרון בשורה זו
214,2175,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,43614.3,1.0,149.2,65.07253,0.148468,5e-06,הגעת לשדה האחרון בשורה זו
214,2175,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,52804.33,1.0,169.8,89.66176,0.20457,7e-06,הגעת לשדה האחרון בשורה זו
214,2175,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,10094.23,1.0,1609.0,162.41612,0.370565,1.3e-05,הגעת לשדה האחרון בשורה זו
214,2177,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,29006.92,1.0,169.8,49.25376,0.20457,5e-06,הגעת לשדה האחרון בשורה זו
214,2177,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,23958.58,1.0,149.2,35.7462,0.148468,3e-06,הגעת לשדה האחרון בשורה זו
214,2177,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,14326.51,1.0,464.5,66.54664,0.276395,6e-06,הגעת לשדה האחרון בשורה זו
214,2177,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,5545.05,1.0,1609.0,89.2198,0.370565,9e-06,הגעת לשדה האחרון בשורה זו
214,9823,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,72262.68,1.0,464.5,335.66013,0.276395,8e-06,הגעת לשדה האחרון בשורה זו
214,9823,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,120846.66,1.0,149.2,180.30321,0.148468,4e-06,הגעת לשדה האחרון בשורה זו
214,9823,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,146310.44,1.0,169.8,248.43512,0.20457,6e-06,הגעת לשדה האחרון בשורה זו
214,9823,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,27969.12,1.0,1609.0,450.02317,0.370565,1.1e-05,הגעת לשדה האחרון בשורה זו
214,9827,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,19095.88,1.0,464.5,88.70036,0.276395,6e-06,הגעת לשדה האחרון בשורה זו
214,9827,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,31934.51,1.0,149.2,47.64629,0.148468,3e-06,הגעת לשדה האחרון בשורה זו
214,9827,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,7391.02,1.0,1609.0,118.92154,0.370565,9e-06,הגעת לשדה האחרון בשורה זו
214,9827,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,38663.48,1.0,169.8,65.65059,0.20457,5e-06,הגעת לשדה האחרון בשורה זו
214,9829,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,10280.38,1.0,169.8,17.45608,0.20457,3e-06,הגעת לשדה האחרון בשורה זו
214,9829,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,8491.19,1.0,149.2,12.66885,0.148468,2e-06,הגעת לשדה האחרון בשורה זו
214,9829,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,5077.47,1.0,464.5,23.58487,0.276395,4e-06,הגעת לשדה האחרון בשורה זו
