Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 54
,168,12155.0,,,,25000967.0,תאגיד,"ייזום נדל""ן לבניה של נכס ספציפי - לוגיסטיקה",ישראל,,"נדל""ן מניב בישראל",לא,לא,,2024-10-01,AA-,פנימי,מנפיק,ILS,0.73,משתנה,0.065,,,,0.0647,2026-06-30,החוב לא נחות,,,,,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,1173909.01,102.35,1.0,1201.49587,1201.49587,,,,,0.001014,4.2e-05,
,168,12155.0,,,,25000966.0,תאגיד,,ישראל,,בנייה,לא,לא,,2024-10-10,ilA,S&P מעלות,מנפיק,ILS,1.98,קבועה,0.04082,,,,0.0414,2027-10-21,החוב לא נחות,,,,2025-05-11 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,968001.56,103.79,1.0,1004.68882,1004.68882,,,,,0.000848,3.5e-05,
,168,12155.0,,,,25000965.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-09-19,A1.il,מידרוג Moodys,מנפיק,ILS,2.09,משתנה,0.067,,,,0.0602,2028-01-01,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,582209.85,100.51,1.0,585.17912,585.17912,,,,,0.000494,2e-05,
,168,12155.0,,,,25000964.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-09-19,A1.il,מידרוג Moodys,מנפיק,ILS,9.34,משתנה,0.067,,,,0.0528,2047-12-31,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,319499.16,104.77,1.0,334.73927,334.73927,,,,,0.000282,1.1e-05,
,168,12155.0,,,,25000963.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2024-09-15,A1.il,מידרוג Moodys,מנפיק,ILS,1.37,משתנה,0.066,,,,0.0563,2027-02-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,523617.82,100.85,1.0,528.06857,528.06857,,,,,0.000445,1.8e-05,
,168,12155.0,,,,25000982.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2024-12-16,A1.il,מידרוג Moodys,מנפיק,ILS,1.37,משתנה,0.066,,,,0.062,2027-02-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,547526.36,100.12,1.0,548.18339,548.18339,,,,,0.000462,1.9e-05,
,168,12155.0,,,,25000983.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-12-19,A1.il,מידרוג Moodys,מנפיק,ILS,9.34,משתנה,0.067,,,,0.0528,2047-12-31,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,489139.5,104.76,1.0,512.42254,512.42254,,,,,0.000432,1.8e-05,
,168,12155.0,,,,25000984.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-12-19,A1.il,מידרוג Moodys,מנפיק,ILS,2.09,משתנה,0.067,,,,0.062,2028-01-01,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,891338.28,100.2,1.0,893.12096,893.12096,,,,,0.000754,3.1e-05,
,168,12155.0,,,,25000985.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-12-26,A1.il,מידרוג Moodys,מנפיק,ILS,3.3,משתנה,0.069,,,,0.0649,2029-05-31,החוב לא נחות,,,,2024-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,801296.3,100.18,1.0,802.73863,802.73863,,,,,0.000677,2.8e-05,
,168,12155.0,,,,25001004.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2025-03-17,A1.il,מידרוג Moodys,מנפיק,ILS,2.26,משתנה,0.066,,,,0.0628,2028-02-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,413960.12,99.82,1.0,413.21499,413.21499,,,,,0.000348,1.4e-05,
,168,12155.0,,,,25001003.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2025-03-17,A1.il,מידרוג Moodys,מנפיק,ILS,3.11,משתנה,0.066,,,,0.0626,2029-02-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,88405.72,99.73,1.0,88.16702,88.16702,,,,,7.4e-05,3e-06,
,168,12155.0,,,,25001002.0,תאגיד,תשתיות - שלב הקמה,ישראל,,קלינטק,לא,כן,,2025-03-12,NR,NR,NR,ILS,7.79,קבועה,0.0481,,,,0.0511,2045-04-02,החוב לא נחות,,,,2024-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,3580482.18,101.11,1.0,3620.22554,3620.22554,,,,,0.003056,0.000128,
,168,12155.0,,,,25001001.0,תאגיד,"ייזום נדל""ן לבניה של נכס ספציפי - משרדים",ישראל,,בנייה,לא,כן,,2025-02-27,A3.il,מידרוג Moodys,מנפיק,ILS,0.41,משתנה,0.068,,,,0.071,2026-02-27,החוב לא נחות,,,,2024-12-08 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,11747504.49,100.5,1.0,11806.24201,11806.24201,,,,,0.009969,0.00042,
,168,12155.0,,,,25001000.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2025-02-18,A1.il,מידרוג Moodys,מנפיק,ILS,2.09,משתנה,0.067,,,,0.0648,2028-01-01,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,1965212.55,99.63,1.0,1957.94126,1957.94126,,,,,0.001653,6.9e-05,
,168,12155.0,,,,25000999.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2025-02-18,A1.il,מידרוג Moodys,מנפיק,ILS,9.26,משתנה,0.067,,,,0.0552,2047-12-31,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,1078449.15,102.73,1.0,1107.89081,1107.89081,,,,,0.000935,3.9e-05,
