Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 27
,168,2016.0,Blackstone Tactical Opportunities Management Associates (Cayman) - NQ L.P.,,,VIVA CO INVESTMENT,691239764.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2015-10-13,USD,דיווח מנהל הקרן,אי-תלות,2024-12-31,3.306,7.15323,23.64858,3.3e-05,1.1e-05,1e-06,
,168,2016.0,"Insight Associates XI, L.P.",,,Insight Partners XI,291231077.0,פנימי,פרייבט אקוויטי,,"חו""ל",,,"ארה""ב",לא,2020-01-29,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,5988.61973,19798.37685,0.000826,0.009507,0.00106,
,168,2016.0,"MRECS Investments, LLC",,,Mack Real Estate Finance A - Pen,291231071.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2019-12-12,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,1736.97988,5742.45549,0.001085,0.002757,0.000307,
,168,2016.0,"Francisco Partners VII GP Management, LLC",,,Francisco Partners VII,291231195.0,פנימי,פרייבט אקוויטי,,"חו""ל",,,"ארה""ב",לא,2022-05-08,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,1400.88819,4631.33637,0.000205,0.002224,0.000248,
,168,2016.0,Starlight Canadian Residential Growth Fund GP Inc,,,Starlight Canadian Residential Growth Fund,291231057.0,פנימי,"קרן נדל""ן",,"חו""ל",,,קנדה,לא,2019-04-28,CAD,דיווח מנהל הקרן,אי-תלות,2025-06-30,2.3745,4557.35744,10821.44524,0.009206,0.005196,0.000579,
,168,2016.0,"CSP IV General Partner, L.P.",,,Carlyle Strategic Partners IV,291231001.0,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2016-03-31,USD,דיווח מנהל הקרן,אי-תלות,2025-03-31,3.306,556.12369,1838.54493,0.000278,0.000882,9.8e-05,
,168,2016.0,"FRG -X- GP, LP",,,Faropoint,291231142.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2021-07-05,USD,דיווח מנהל הקרן,אי-תלות,2025-03-31,3.306,1372.40753,4537.1793,0.003431,0.002178,0.000243,
,168,2016.0,HarbourVest Partners,,,HarbourVest Partners Co-investment Fund IV,291231002.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2016-05-05,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,449.01075,1484.42954,0.000449,0.000712,7.9e-05,
,168,2016.0,"General Atlantic GP 2021, LLC",,,"General Atlantic Investment Partners 2021, L.P.",291231160.0,פנימי,פרייבט אקוויטי,,"חו""ל",,,"ארה""ב",לא,2021-11-22,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,4191.76569,13857.97739,0.000537,0.006654,0.000742,
,168,2016.0,Argo Series 3 Partnership GP LLC,,,Tier Point -Argo co-invest  -ACP 3 Inception,291231176.0,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,"ארה""ב",לא,2022-02-06,USD,דיווח מנהל הקרן,אי-תלות,2025-03-31,3.306,3084.21497,10196.4147,0.020561,0.004896,0.000546,
