Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 29
,168,2009.0,"דב לוסטרניק ובניו בע""מ",513064907.0,ח.פ.,טופ גאם כתב אופציה 04.02.2026,77179291.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2026-02-04,לא,2025-08-07,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1002.0,0.01,1648122.18,45.258,1.0,745.90714,0.183874,6e-06,
,168,2009.0,"טופ גאם תעשיות בע""מ",513561399.0,ח.פ.,טופ גאם כתב אופציה 01.02.2027,77179289.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2027-02-01,לא,2025-07-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1025.0,0.01,807903.03,122.036,1.0,985.93254,0.243042,9e-06,
,168,2009.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,9132.54,5612.81,1.0,512.59188,0.126359,4e-06,
,168,2009.0,"ארלדן החזקות (1982) בע""מ",520033580.0,ח.פ.,טלסיס כתב אופציה 24.05.2026,77179297.0,פנימי,ישראל,ישראל,לא סחיר,IL0003540197,אלקטרוניקה ואופטיקה,2026-05-24,לא,2025-08-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,231.68604,0.01,140376.38,1290.95,1.0,1812.18891,0.446723,1.6e-05,
,168,2012.0,"טופ גאם תעשיות בע""מ",513561399.0,ח.פ.,טופ גאם כתב אופציה 01.02.2027,77179289.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2027-02-01,לא,2025-07-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1025.0,0.01,23534.55,122.036,1.0,28.72062,0.243042,3e-06,
,168,2012.0,"ארלדן החזקות (1982) בע""מ",520033580.0,ח.פ.,טלסיס כתב אופציה 24.05.2026,77179297.0,פנימי,ישראל,ישראל,לא סחיר,IL0003540197,אלקטרוניקה ואופטיקה,2026-05-24,לא,2025-08-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,231.68604,0.01,4089.22,1290.95,1.0,52.78981,0.446723,6e-06,
,168,2012.0,"דב לוסטרניק ובניו בע""מ",513064907.0,ח.פ.,טופ גאם כתב אופציה 04.02.2026,77179291.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2026-02-04,לא,2025-08-07,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1002.0,0.01,48010.48,45.258,1.0,21.72858,0.183874,2e-06,
,168,2012.0,"לידר ושות' פיננסיים בע""מ",520037664.0,ח.פ.,פז אנרגיה אופציה 31.01.2026,77179281.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,לא,2025-07-24,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,658.81238,0.01,266.03,5612.81,1.0,14.93201,0.126359,1e-06,
,168,2013.0,"ארלדן החזקות (1982) בע""מ",520033580.0,ח.פ.,טלסיס כתב אופציה 24.05.2026,77179297.0,פנימי,ישראל,ישראל,לא סחיר,IL0003540197,אלקטרוניקה ואופטיקה,2026-05-24,לא,2025-08-31,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,231.68604,0.01,6732.13,1290.95,1.0,86.90847,0.446723,8e-06,
,168,2013.0,"דב לוסטרניק ובניו בע""מ",513064907.0,ח.פ.,טופ גאם כתב אופציה 04.02.2026,77179291.0,פנימי,ישראל,ישראל,לא סחיר,IL0011791428,פודטק,2026-02-04,לא,2025-08-07,ILS,גורם תלוי/פנימי,קיימת תלות,2025-09-30,1002.0,0.01,79040.2,45.258,1.0,35.77201,0.183874,3e-06,
