Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה,Unnamed: 18
,665,1645.0,התחייבות להשקעה,Accelmed Partners II GP,,,Accelmed Partners II L.P.,291231122.0,פנימי,USD,2021-03-10,245.0,809.97,48.49646,160.3293,0.197944,2030-03-31,
,665,1645.0,התחייבות להשקעה,"Faropoint Industrial Value Fund III -GP, LP",,,Faropoint 3 - QFPF - (F-6),291231202.0,פנימי,USD,2022-05-18,492.75,1629.0315,24.625299,81.41124,0.049975,2030-04-30,
,665,1645.0,התחייבות להשקעה,Bessemer,,,Bessemer Venture Partners XII Insti,291231217.0,פנימי,USD,2022-09-29,95.678,316.311468,62.854419,207.79671,0.656937,2032-06-30,
,665,1645.0,התחייבות להשקעה,Reality Fund Management III,,,ריאליטי השקעות בנדלן 3,691239753.0,פנימי,ILS,2015-04-01,279.685,279.685,48.94501,48.94501,0.175,2025-12-31,
,665,1645.0,התחייבות להשקעה,"NFX Capital Fund II GP, LLC",,,C2i Genomics (NFX C2-B),291231126.0,פנימי,USD,2021-04-09,20.772,68.672232,5.193018,17.16812,0.25,2029-05-30,
,665,1645.0,התחייבות להשקעה,"Fortissimo Capital Fund VI GP, L.P",,,פורטיסימו 6,291231213.0,פנימי,USD,2022-08-09,205.286,678.675516,115.986591,383.45167,0.565,2032-06-27,
,665,1645.0,התחייבות להשקעה,"Insight Associates XI, L.P.",,,Insight Partners XI,291231077.0,פנימי,USD,2020-01-29,323.018,1067.897508,9.6662,31.95646,0.029924,2029-11-26,
,665,1645.0,התחייבות להשקעה,EQT Infrastructure V (General Partner) S.a r.l.,,,EQT Infrastructure VI (NO 1) EUR SCSp,291231283.0,פנימי,EUR,2024-06-26,620.0,2406.034,348.290929,1351.61261,0.561759,2036-06-29,
,665,1645.0,התחייבות להשקעה,CVC Capital Partners VII Limited,,,CVC Capital Partners VII,291231017.0,פנימי,EUR,2017-05-24,120.597,468.000778,19.530218,75.79092,0.161946,2027-05-31,
,665,1645.0,התחייבות להשקעה,"SVB Strategic Investors X, LLC",,,Strategic Investors Fund X Cayman LP,291231114.0,פנימי,USD,2021-01-31,403.772,1334.870232,34.522489,114.13135,0.085499,2033-01-28,
,665,1645.0,התחייבות להשקעה,Warburg Pincus,,,"Warburg Pincus Capital Solutions Founders Fund, L.P.",291231275.0,פנימי,USD,2024-04-01,620.0,2049.72,486.7,1609.0302,0.785,2033-04-30,
,665,1645.0,התחייבות להשקעה,"TPG Asia GenPar VII, L.P.",,,"TPG ASIS VLL B, L.P.",291231046.0,פנימי,USD,2018-08-30,303.96,1004.89176,43.097199,142.47934,0.141785,2027-12-31,
,665,1645.0,התחייבות להשקעה,"NFX Capital Fund III GP, LP",,,"NFX CAPITAL FUND III, LP",291231141.0,פנימי,USD,2021-06-30,283.5,937.251,42.525,140.58765,0.15,2031-06-30,
,665,1645.0,התחייבות להשקעה,ICG North American Private Debt II (Offshore) GP LP,,,ICG - North American Private Debt II,291231036.0,פנימי,USD,2018-03-31,354.62,1172.37372,71.271751,235.62441,0.20098,2028-03-31,
,665,1645.0,התחייבות להשקעה,"Stage One Capital (GP) IV, L.P",,,Stage One Annex Fund L.P,291231184.0,פנימי,USD,2022-02-28,147.0,485.982,139.44888,461.018,0.948631,2031-12-31,
,665,1645.0,התחייבות להשקעה,Direct Lending Fund IV General Partner S.a r.l.,,,Arcmont Direct Lending IV (DLF IV),291231261.0,פנימי,EUR,2023-07-01,516.612,2004.816188,127.34387,494.18336,0.246498,2030-06-30,
,665,1645.0,התחייבות להשקעה,Genstar,,,"GENSTAR CAPITAL PARTNERS X, L.P",291231134.0,פנימי,USD,2021-05-11,253.302,837.416412,5.577011,18.4376,0.022017,2031-03-31,
,665,1645.0,התחייבות להשקעה,נוי אי. איי תשתיות ואנרגיה ג'י.פי,,,נוי 3 להשקעה בתשתיות ואנרגיה,291231044.0,פנימי,ILS,2018-05-31,1352.23,1352.23,1.59987,1.59987,0.001183,2028-05-29,
,665,1645.0,התחייבות להשקעה,Fu-Gen,,,Nordic Power 4 LP,291231227.0,פנימי,EUR,2022-10-31,34.567,134.144157,2.108449,8.18226,0.060996,2032-12-31,
,665,1645.0,התחייבות להשקעה,"COGITO CAPITAL LME GENERAL PARTNER, LIMITED PARTNERSHIP",,,קוגיטו קפיטל בי.אמ.אי (משלימה),291231012.0,פנימי,ILS,2016-12-27,195.369,195.369,211.78533,211.78533,1.084027,2028-12-31,
,665,1645.0,התחייבות להשקעה,"Kennedy Wilson Real Estate Parallel Fund VII B, LP",,,Kennedy Wilson VII - Pen,291231232.0,פנימי,USD,2022-11-15,696.836,2303.739816,174.209019,575.93502,0.25,2030-11-30,
,665,1645.0,התחייבות להשקעה,"TPG Growth GenPar V, L.P.",,,"TPG Growth VI, L.P.",291231282.0,פנימי,USD,2024-06-28,273.0,902.538,170.69055,564.30296,0.62524,2035-05-01,
,665,1645.0,התחייבות להשקעה,"Francisco Partners VII GP Management, LLC",,,Francisco Partners VII,291231195.0,פנימי,USD,2022-05-08,205.286,678.675516,132.204189,437.06705,0.644,2032-02-15,
