Unnamed: 0,מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה,Unnamed: 8
,168,13349.0,החזקה באפיק השקעה מובטח תשואה,,,914.20489,0.002693,
,168,13349.0,החזקה באפיק השקעה מובטח תשואה,,,1424.07244,0.004196,
,168,13349.0,החזקה באפיק השקעה מובטח תשואה,,,1846.44238,0.00544,
,168,13349.0,החזקה באפיק השקעה מובטח תשואה,,,261.42284,0.00077,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,22570.01075,0.003506,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,25316.40151,0.003933,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,31731.73556,0.004929,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,14330.47353,0.002226,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,16869.74494,0.00262,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,19715.28146,0.003062,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,19523.01385,0.003033,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,29459.5256,0.004576,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,37323.49795,0.005798,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,36517.44061,0.005673,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,22918.57314,0.00356,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,27097.89661,0.004209,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,35134.94347,0.005458,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,20710.48245,0.003217,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,15166.36801,0.002356,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,43987.98802,0.006833,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,15328.72091,0.002381,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,1610.00227,0.00025,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,4974.47239,0.000772,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,22588.32934,0.003509,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,10749.7255,0.00167,
,168,13350.0,החזקה באפיק השקעה מובטח תשואה,,,17395.90551,0.002702,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,59516.36325,0.003441,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,4245.52213,0.000245,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,115994.85277,0.006706,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,28346.66649,0.001639,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,59564.66877,0.003444,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,96295.26919,0.005567,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,40421.3242,0.002337,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,98420.8154,0.00569,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,54612.84934,0.003157,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,51988.53761,0.003005,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,39993.20505,0.002312,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,45872.42083,0.002652,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,13117.51727,0.000758,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,51481.53436,0.002976,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,77683.78343,0.004491,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,60435.51062,0.003494,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,71456.2468,0.004131,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,83675.52507,0.004838,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,92649.67047,0.005357,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,44484.95302,0.002572,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,37788.97926,0.002184,
,168,13887.0,החזקה באפיק השקעה מובטח תשואה,,,66758.50382,0.003859,
,168,14277.0,החזקה באפיק השקעה מובטח תשואה,,,1112.19966,0.002603,
