Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 26
,665,1619.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,207.58,1.0,1609.0,3.33999,0.969219,4e-06,
,665,1619.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,109.14,3.306,9.0,0.03247,0.009422,0.0,
,665,1619.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,261.92,3.306,8.5,0.0736,0.021357,0.0,
,665,1638.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,348.4,1.0,1609.0,5.60568,0.969218,5e-06,
,665,1638.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,183.17,3.306,9.0,0.0545,0.009423,0.0,
,665,1638.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,439.6,3.306,8.5,0.12353,0.021358,0.0,
,665,1645.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,601.26,1.0,1609.0,9.67428,0.969218,6e-06,
,665,1645.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,316.11,3.306,9.0,0.09406,0.009423,0.0,
,665,1645.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,758.67,3.306,8.5,0.21319,0.021358,0.0,
,665,1651.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,594.77,1.0,1609.0,9.56988,0.969218,7e-06,
,665,1651.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,750.48,3.306,8.5,0.21089,0.021358,0.0,
,665,1651.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,312.7,3.306,9.0,0.09304,0.009422,0.0,
,665,1652.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,373.17,1.0,1609.0,6.00429,0.969217,7e-06,
,665,1652.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,470.86,3.306,8.5,0.13232,0.021359,0.0,
,665,1652.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,196.19,3.306,9.0,0.05838,0.009423,0.0,
,665,1653.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,207.59,1.0,1609.0,3.34012,0.969218,8e-06,
,665,1653.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,109.14,3.306,9.0,0.03247,0.009421,0.0,
,665,1653.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,261.93,3.306,8.5,0.07361,0.021359,0.0,
,665,1666.0,נאוויטס פטרוליום שותפות מוגבלת,550263107,מספר שותפות,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,12000.0,0.01,101.47,1.0,1609.0,1.63267,0.969219,8e-06,
,665,1666.0,Taboola.com Ltd,513870683,ח.פ.,TBLAW US TABOOLA.COM LTD,IL0011754210,ISIN,"חו""ל",ישראל,סחיר,NASDAQ,IL0011754137,Interactive Media & Services,2026-06-29,לא,USD,11.5,1.0,128.04,3.306,8.5,0.03598,0.021359,0.0,
,665,1666.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CTV/WS US INNOVID CORP,US4576791168,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US4576791085,Media,2026-11-30,לא,USD,11.5,1.0,53.35,3.306,9.0,0.01587,0.009421,0.0,
