Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,תאריך פקיעת פיקדון,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,שווי מטבעי,שער חליפין,שער פיקדון,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 23
,168,12155.0,,,,,,,,,,,,,,,,,,,,,
,168,13303.0,,,,,,,,,,,,,,,,,,,,,
,168,13349.0,,,,,,,,,,,,,,,,,,,,,
,168,13350.0,,,,,,,,,,,,,,,,,,,,,
,168,13887.0,,,,,,,,,,,,,,,,,,,,,
,168,14277.0,,,,,,,,,,,,,,,,,,,,,
,168,14278.0,,,,,,,,,,,,,,,,,,,,,
,168,14348.0,,,,,,,,,,,,,,,,,,,,,
,168,15342.0,,,,,,,,,,,,,,,,,,,,,
,168,15661.0,,,,,,,,,,,,,,,,,,,,,
,168,2063.0,,,,,,,,,,,,,,,,,,,,,
,168,2182.0,,,,,,,,,,,,,,,,,,,,,
,665,12154.0,,,,,,,,,,,,,,,,,,,,,
,665,13307.0,,,,,,,,,,,,,,,,,,,,,
,665,13351.0,,,,,,,,,,,,,,,,,,,,,
,665,13352.0,,,,,,,,,,,,,,,,,,,,,
,665,13875.0,,,,,,,,,,,,,,,,,,,,,
,665,14308.0,,,,,,,,,,,,,,,,,,,,,
,665,14309.0,,,,,,,,,,,,,,,,,,,,,
,665,14677.0,,,,,,,,,,,,,,,,,,,,,
,665,15673.0,,,,,,,,,,,,,,,,,,,,,
,665,2213.0,,,,,,,,,,,,,,,,,,,,,
,סוף מידע טבלה,,,,,,,,,,,,,,,,,,,,,,
