Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 37
,168,2184.0,Oscar Health Inc,254900AE8KDLFDOPKZ19,LEI,OSCR 2 1/4 09/01/30,US687793AD18,ISIN,"אג""ח להמרה צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Insurance,לא,NR,NR,NR,USD,4.68,2030-09-01,0.0225,0.0017,החוב לא נחות,,185490.9,3.306,110.2325,,675.98258,,,,0.000452,0.003521,5.1e-05,
,168,2184.0,COOPERATIEVE RABOBANK UA,DG3RU1DBUFHT4ZF9WN62,LEI,RABOBK 4 5/8 PERP,XS1877860533,ISIN,"צמוד למט""ח","חו""ל",הולנד,סחיר,EURONEXT,Banks,לא,Baa3,Moodys,מנפיק,EUR,0.23,2025-12-29,0.04625,0.0307,החוב נחות,,422919.25,3.8807,101.5251,,1666.25298,,,,0.000422,0.008679,0.000126,
,168,2184.0,SolarEdge Technologies Inc,5493000K6Y58XXPDF853,LEI,SEDG 2 1/4 01/07/2029,US83417MAE49,ISIN,"אג""ח להמרה צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Semiconductors & Semiconductor Equipment,לא,NR,NR,NR,USD,3.71,2029-07-01,0.0225,-0.0529,החוב לא נחות,,278236.35,3.306,132.2832,,1216.80664,,,,0.000825,0.006339,9.3e-05,
,168,2184.0,BANCO SANTANDER SA,5493006QMFDDMYWIAM13,LEI,SANTAN 4 1/8 PERP,XS2342620924,ISIN,"אג""ח להמרה צמוד למט""ח","חו""ל",ספרד,סחיר,NYSE,Banks,לא,Ba1,Moodys,מנפיק,EUR,2.44,2027-11-12,0.04125,0.0433,החוב נחות,,70486.54,3.8807,100.042,,273.65201,,,,9.3e-05,0.001425,2e-05,
,168,2184.0,JBS USA/FOOD/FINANCE,529900RM0MTMZL9O5050,LEI,JBSSBZ 3 5/8 01/15/32,US46590XAU00,ISIN,"צמוד למט""ח","חו""ל",ברזיל,סחיר,אחר,Food Products,לא,BBB-,Fitch,מנפיק,USD,5.47,2027-01-15,0.03625,0.0487,החוב לא נחות,,176216.35,3.306,94.0692,,548.02018,,,,0.000188,0.002854,4.1e-05,
,168,2184.0,JBS USA/FOOD/FINANCE,529900RM0MTMZL9O5050,LEI,JBSSBZ 3 3/4 01/12/2031,US46590XAM83,ISIN,"צמוד למט""ח","חו""ל",ברזיל,לא חסום בהשאלה,אחר,Food Products,לא,Baa3,Moodys,מנפיק,USD,5.34,2026-12-01,0.0375,0.0479,החוב לא נחות,,333.88,3.306,95.7379,,1.05675,,,,0.0,5e-06,0.0,
,168,2184.0,SUZANO AUSTRIA GMBH,254900287ZNSGVP1R341,LEI,SUZANO 6 01/15/29,US86964WAF95,ISIN,"צמוד למט""ח","חו""ל",אוסטריה,סחיר,אחר,Paper & Forest Products,לא,BBB-,Fitch,מנפיק,USD,2.72,2028-10-15,0.06,0.0463,החוב לא נחות,,92745.45,3.306,105.0528,,322.10941,,,,5.3e-05,0.001678,2.4e-05,
,168,2184.0,"בנק לאומי לישראל בע""מ",520018078,ח.פ.,LUMIIT 3.275 29/01/31,IL0060404899,ISIN,"צמוד למט""ח","חו""ל",ישראל,סחיר,אחר,Banks,כן,BBB-,S&P,מנפיק,USD,0.31,2026-01-29,0.03275,0.0559,החוב נחות,,114674.42,3.306,99.8119,,378.40065,,,,0.000152,0.001971,2.8e-05,
,168,2184.0,CEMEX SAB DE CV,549300RIG2CXWN6IV731,LEI,CEMEX 5.2 09/17/30,USP2253TJQ33,ISIN,"צמוד למט""ח","חו""ל",מקסיקו,סחיר,אחר,Construction Materials,לא,BBB-,Fitch,מנפיק,USD,2.71,2030-09-17,0.052,0.0479,החוב לא נחות,,93227.73,3.306,101.3047,,312.23233,,,,0.000129,0.001626,2.3e-05,
,168,2184.0,UNITED RENTALS NORTH AM,NGIZXNT70J2LYT3FBI09,LEI,URI 3 7/8 15/02/31,US911363AM11,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,NYSE,Commercial Services & Supplies,לא,Ba2,Moodys,מנפיק,USD,4.73,2031-02-15,0.03875,0.0503,החוב לא נחות,,572239.42,3.306,95.0983,,1799.09344,,,,0.00052,0.009372,0.000137,
,168,2184.0,ATRIUM FINANCE ISSUER BV,254900S97VONWYW91C97,LEI,ATRFIN 2 5/8 09/05/27,XS2294495838,ISIN,"צמוד למט""ח","חו""ל",פולין,סחיר,אחר,Real Estate Management & Development,לא,B3,Moodys,מנפיק,EUR,1.78,2027-06-05,0.02625,0.0606,החוב לא נחות,,226558.58,3.8807,94.0939,,827.28,,,,0.001582,0.004309,6.3e-05,
,168,2184.0,UniCredit SpA,549300TRUWO2CD2G5692,LEI,UCGIM 3.875 PERP,XS2121441856,ISIN,"צמוד למט""ח","חו""ל",איטליה,סחיר,אחר,Banks,לא,Ba3,Moodys,מנפיק,EUR,1.57,2027-06-03,0.03875,0.0462,החוב נחות,,500825.43,3.8807,100.0703,,1944.92101,,,,0.0004,0.010132,0.000148,
,168,2184.0,SOCIETE GENERALE,529900T7KEXD7VGOFO59,LEI,SOCGEN 8.125 PERP,USF8500RAE20,ISIN,"צמוד למט""ח","חו""ל",צרפת,סחיר,FWB,Banks,לא,Ba2,Moodys,מנפיק,USD,3.39,2029-11-21,0.08125,0.0672,החוב נחות,,278236.35,3.306,107.9004,,992.52168,,,,0.000278,0.00517,7.5e-05,
,168,2184.0,assicurazioni generali,549300X5UKJVE386ZB61,LEI,ASSGEN 4 3/4 PERP,XS3195977510,ISIN,"צמוד למט""ח","חו""ל",איטליה,סחיר,אחר,Insurance,לא,Baa3,Moodys,מנפיק,EUR,4.79,2031-04-02,0.0475,0.0464,החוב נחות,,63066.91,3.8807,100.5009,,245.96991,,,,0.000126,0.001281,1.8e-05,
,168,2184.0,IQVIA INC,549300PLWY28YB00C717,LEI,IQV 2 1/4 03/15/29,XS2305744059,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,אחר,Aerospace & Defense,לא,Ba2,Moodys,מנפיק,EUR,3.28,2029-03-15,0.0225,0.0322,החוב לא נחות,,315334.53,3.8807,96.9217,,1186.04958,,,,0.00035,0.006178,9e-05,
,168,2212.0,"חברת החשמל לישראל בע""מ",520000472,ח.פ.,"חשמל אג""ח 35",IL0011967994,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,Aaa.il,מידרוג Moodys,מנפיק,ILS,9.81,2037-06-12,0.032,0.0281,החוב לא נחות,,8384262.0,1.0,112.97,,9471.70078,,,,0.001702,0.171621,0.001893,
,168,2212.0,"קבוצת עזריאלי בע""מ",510960719,ח.פ.,"עזריאלי אג""ח ט",IL0012092537,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa1.il,מידרוג Moodys,מנפיק,ILS,11.71,2046-01-02,0.0367,0.0308,החוב לא נחות,,14012579.0,1.0,112.94,,15825.80672,,,,0.002748,0.286754,0.003162,
,168,2212.0,"מקורות חברת מים בע""מ",520010869,ח.פ.,"מקורות אג""ח 11",IL0011584765,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,שירותים,לא,ilAAA,S&P מעלות,מנפיק,ILS,11.52,2053-12-31,0.0207,0.027,החוב לא נחות,,17406593.42,1.0,109.4,,19042.8132,,,,0.003183,0.345045,0.003805,
,168,2212.0,"חברת החשמל לישראל בע""מ",520000472,ח.פ.,"חשמל אג""ח 37",IL0012215971,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,Aaa.il,מידרוג Moodys,מנפיק,ILS,12.31,2041-05-11,0.0326,0.0289,החוב לא נחות,,10000000.0,1.0,108.49,,10849.0,,,,0.017462,0.196577,0.002168,
,168,8561.0,"קבוצת עזריאלי בע""מ",510960719,ח.פ.,"עזריאלי אג""ח ט",IL0012092537,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,Aa1.il,מידרוג Moodys,מנפיק,ILS,11.71,2046-01-02,0.0367,0.0308,החוב לא נחות,,6000000.0,1.0,112.94,,6776.4,,,,0.001176,0.291777,0.018316,
,168,8561.0,"חברת החשמל לישראל בע""מ",520000472,ח.פ.,"חשמל אג""ח 35",IL0011967994,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,Aaa.il,מידרוג Moodys,מנפיק,ILS,9.81,2037-06-12,0.032,0.0281,החוב לא נחות,,5195033.0,1.0,112.97,,5868.82878,,,,0.001054,0.252699,0.015863,
,168,8561.0,"מקורות חברת מים בע""מ",520010869,ח.פ.,"מקורות אג""ח 11",IL0011584765,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,שירותים,לא,ilAAA,S&P מעלות,מנפיק,ILS,11.52,2053-12-31,0.0207,0.027,החוב לא נחות,,9670329.68,1.0,109.4,,10579.34066,,,,0.001768,0.455523,0.028595,
,168,8812.0,"אשטרום נכסים בע""מ",520036617,ח.פ.,"אשטרום נכסים אג""ח 9",IL0025101705,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilA,S&P מעלות,מנפיק,ILS,2.35,2029-10-01,0.053,0.0481,החוב לא נחות,,11.19,1.0,101.25,0.0028,0.01413,,,,0.0,0.0,0.0,
,168,8812.0,"ביג מרכזי קניות בע""מ",513623314,ח.פ.,"ביג אג""ח יג",IL0011595167,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilAA,S&P מעלות,מנפיק,ILS,2.7,2029-03-25,0.0078,0.0271,החוב לא נחות,,118.47,1.0,111.71,,0.13234,,,,0.0,1e-06,0.0,
,168,8812.0,"מזרחי טפחות חברה להנפקות בע""מ",520032046,ח.פ.,מזרחי הנפקות 46,IL0023102259,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנקים,לא,Aaa.il,מידרוג Moodys,מנפיק,ILS,1.98,2027-09-28,0.0122,0.0258,החוב לא נחות,,678.92,1.0,116.7,,0.79229,,,,0.0,9e-06,0.0,
,168,8812.0,"חברת גב ים לקרקעות בע""מ",520001736,ח.פ.,"גב ים אג""ח יב",IL0012225871,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,מנפיק,ILS,6.56,2036-03-31,0.0328,0.0302,החוב לא נחות,,34.28,1.0,102.91,,0.03527,,,,0.0,0.0,0.0,
