Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 24
,665,13307.0,Global X Japan Mid & Small Cap,988400XS10PE37QW6R37,LEI,2837 JP Global X Japan Mid & Small Cap,JP3049420007,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",יפן,TSE,"NIKKEI 225 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אסיה יפן",לא,JPY,907.57,0.022332,271000.0,,54.92581,1e-06,0.008291,0.001176,
,665,13307.0,Franklin FTSE India ETF,549300NU5VJOW0B4VV12,LEI,FLIN US Franklin FTSE India ETF,US35473P7693,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",הודו,NYSE,Index Funds,לא,USD,1511.31,3.306,3729.0,,186.31598,2.3e-05,0.028126,0.003991,
,665,13307.0,Invesco KBW Bank ETF,ECPGFXU8A2SHKVVGJI15,LEI,KBWB US Invesco KBW Bank ETF,US46138E6288,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NASDAQ,"MSCI AC WORLD INDEX - מניות בחו""ל - מניות כללי בחו""ל - חשופת מט""ח-מניות כללי בחו""ל",לא,USD,500.04,3.306,7821.0,,129.2906,6e-06,0.019517,0.002769,
,665,13307.0,Financial Select Sector SPDR F,549300Y12KQ6ZG08NY28,LEI,XLF-SPDR Financial,US81369Y6059,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל","ארה""ב",NYSE,Index Funds,לא,USD,369.32,3.306,5387.0,,65.7739,0.0,0.009929,0.001409,
,665,13307.0,iShares MSCI Europe Financials,549300Q3F47BPOYQTW29,LEI,ESIN GY ISHARES MSCI EUROPE INDUSTRIAL,IE00BMW42520,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",אירופה,EURONEXT,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה - מדד אחר",לא,EUR,5.84,3.8807,856.8,,0.19405,0.0,2.9e-05,4e-06,
,665,13307.0,BlackRock inc,529900VBK42Y5HHRMD23,LEI,METL NA ISHARES ESSENTIAL METALS,IE000ROSD5J6,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",אירלנד,NYSE,Index Funds,לא,USD,5548.68,3.306,730.76,,134.05017,0.000141,0.020236,0.002871,
,665,13307.0,Industrial Select Sector SPDR,549300HQI51T8KP6U325,LEI,SPDR MSCI EUROPE INDUSTRIALS ETF,IE00BKWQOJ47,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",אירופה,EURONEXT,"מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-אירופה - מדד אחר",לא,EUR,29.6,3.8807,39550.0,,45.43334,1.2e-05,0.006858,0.000973,
,665,13307.0,Invesco EURO STOXX 50 UCITS ETF,635400HBSITNQELEBE97,LEI,SDJE50 GY Invesco EURO STOXX 50,IE00B60SWX25,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",אירופה,אחר,Index Funds,לא,EUR,314.3,3.8807,14074.0,,171.6594,4e-05,0.025913,0.003677,
,665,13307.0,SRCE STX 600 OPT INDUSTRIAL,63540039LSF8UUN5WP93,LEI,XNPS GY- Industrials DJ600 Sor,IE00B5MJYX09,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",אירופה,אחר,"MSCI AC WORLD INDEX - מניות בחו""ל - מניות כללי בחו""ל - חשופת מט""ח-מניות כללי בחו""ל",לא,EUR,27.64,3.8807,51610.0,,55.35031,0.000147,0.008355,0.001185,
,665,13307.0,iShares MSCI Europe Financials,549300Q3F47BPOYQTW29,LEI,iShares Msci Europe Consumer Discretionary,IE00BMW42298,ISIN,"עוקב אחר מדדי מניות בחו""ל","חו""ל",אירופה,EURONEXT,"מניות בחו""ל - מניות לפי ענפים בחו""ל - חשופת מט""ח-ענפים אחרים",לא,EUR,3435.47,3.8807,633.1,,84.40509,5.6e-05,0.012741,0.001808,
