Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 19
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8852 4.80% 2032,8288524.0,2017-07-02,5.786,צמוד למדד המחירים לצרכן,2032-07-02,0.048,0.0486,27293119.74,120.63798,38849.5657,32925.86844,עלות מופחתת,0.00288,0.001171,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8864 4.8% 2033,8288640.0,2018-07-01,6.4924,צמוד למדד המחירים לצרכן,2033-07-01,0.048,0.0486,61601298.75,120.057774,89086.31859,73957.14788,עלות מופחתת,0.006469,0.002631,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8787 4.8%,8287872.0,2012-02-01,1.3047,צמוד למדד המחירים לצרכן,2027-02-01,0.048,0.0486,78803159.58,123.489416,100793.18791,97313.56147,עלות מופחתת,0.008512,0.003461,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8827 4.80% 2030,8288276.0,2015-06-01,4.1754,צמוד למדד המחירים לצרכן,2030-06-01,0.048,0.0486,30871064.19,121.365112,42179.2694,37466.70157,עלות מופחתת,0.003277,0.001332,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8846 4.80% 2032,8288466.0,2017-01-01,5.4168,צמוד למדד המחירים לצרכן,2032-01-01,0.048,0.0486,104570860.6,121.498457,148292.47756,127051.98258,עלות מופחתת,0.011114,0.004519,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8821 4.80% 2029,8288219.0,2014-12-01,3.7726,צמוד למדד המחירים לצרכן,2029-12-01,0.048,0.0486,76618620.55,120.283162,102530.42316,92159.29972,עלות מופחתת,0.008061,0.003278,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8817 4.80% 2029,8288169.0,2014-07-01,3.4403,צמוד למדד המחירים לצרכן,2029-07-01,0.048,0.0486,40489743.17,120.161992,53604.55444,48653.28196,עלות מופחתת,0.004256,0.00173,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8881 4.8% 2034,8288810.0,2019-12-01,7.413,צמוד למדד המחירים לצרכן,2034-12-01,0.048,0.0486,49890727.58,119.323276,73684.00867,59531.25046,עלות מופחתת,0.005207,0.002117,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8898 4.8% 2036,8288980.0,2021-06-01,8.3474,צמוד למדד המחירים לצרכן,2036-06-01,0.048,0.0486,122876709.51,119.320049,186524.18112,146616.55001,עלות מופחתת,0.012825,0.005215,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8818 4.80% 2029,8288185.0,2014-09-01,3.6094,צמוד למדד המחירים לצרכן,2029-09-01,0.048,0.0486,86631419.87,118.746399,113892.50881,102871.69177,עלות מופחתת,0.008999,0.003659,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8901 4.8% 2036,8289010.0,2021-09-01,8.5984,צמוד למדד המחירים לצרכן,2036-09-01,0.048,0.0486,172513822.64,116.868163,258285.26872,201613.7353,עלות מופחתת,0.017636,0.007172,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8771 4.8% 2024,8287716.0,2010-10-01,0.0027,צמוד למדד המחירים לצרכן,2025-10-01,0.048,0.0486,45473028.79,129.491138,58880.11481,58883.54229,עלות מופחתת,0.005151,0.002094,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8786 % 4.8,8287864.0,2012-01-01,1.2198,צמוד למדד המחירים לצרכן,2027-01-01,0.048,0.0486,19285967.73,123.979453,24710.18929,23910.63735,עלות מופחתת,0.002091,0.00085,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8814 4.80% 2029,8288144.0,2014-05-01,3.2732,צמוד למדד המחירים לצרכן,2029-05-01,0.048,0.0486,47074824.24,121.349815,62634.18582,57125.21201,עלות מופחתת,0.004997,0.002032,
