Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25
,665,12154.0,NASDAQ INC,549300L8X1Q78ERXFD06,LEI,NVMI P230 20/02/2026,NVMI P230 02/20/26,טיקר,מניה,"חו""ל",ישראל,NASDAQ,Semiconductors & Semiconductor Equipment,מניות לרבות מדדי מניות,2026-02-20,לא,USD,230.0,-0.69,3.306,574.0,-1.31214,-0.034628,-1e-06,
,665,12154.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,CAMT C115 20/02/26,CAMT US 02/20/26 C115,טיקר,מניה,"חו""ל",ישראל,NYSE,Semiconductors & Semiconductor Equipment,מניות לרבות מדדי מניות,2026-02-20,לא,USD,115.0,-0.72,3.306,990.0,-2.34496,-0.061884,-2e-06,
,665,12154.0,NASDAQ INC,549300L8X1Q78ERXFD06,LEI,ALB US C120 16/01/26,ALB US 01/16/26 C120,טיקר,מניה,"חו""ל","ארה""ב",NASDAQD,Chemicals,מניות לרבות מדדי מניות,2026-01-16,לא,USD,120.0,-9.32,3.306,157.0,-4.83857,-0.127692,-6e-06,
,665,12154.0,CBOE GLOBAL MARKETS INC,529900RLNSGA90UPEH54,LEI,SPXW P6400 31/10/25,SPXW US 10/31/25 P6400,טיקר,מדד,"חו""ל","ארה""ב",CBOE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,6400.0,1.12,3.306,3470.0,12.84029,0.338861,1.6e-05,
,665,12154.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,RRC US C45 19/12/25,RRC US 12/19/25 C45,טיקר,מניה,"חו""ל","ארה""ב",NYSE,"Oil, Gas & Consumable Fuels",מניות לרבות מדדי מניות,2025-12-19,לא,USD,45.0,46.51,3.306,55.0,8.45747,0.223196,1e-05,
,665,12154.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,NICE US C185 17/10/25,NICE US 10/17/25 C185,טיקר,מניה,"חו""ל",ישראל,NYSE,Software,מניות לרבות מדדי מניות,2025-10-17,לא,USD,185.0,-2.92,3.306,35.0,-0.33739,-0.008903,0.0,
,665,12154.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,GRAB C6 17/04/26,GRAB US 04/17/26 C6 EQUITY,טיקר,מניה,"חו""ל","ארה""ב",NYSE,Insurance,מניות לרבות מדדי מניות,2026-04-17,לא,USD,6.0,-19.61,3.306,90.0,-5.8346,-0.153977,-7e-06,
,665,12154.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,KRE P54 16/01/26,KRE US 01/16/26 P54 EQUITY,טיקר,מניה,"חו""ל","ארה""ב",NYSE,Banks,מניות לרבות מדדי מניות,2026-01-16,לא,USD,54.0,-14.92,3.306,125.0,-6.16729,-0.162757,-7e-06,
,665,12154.0,NASDAQ INC,549300L8X1Q78ERXFD06,LEI,ALB US P60 16/01/26,ALB US 01/16/26 P60,טיקר,מניה,"חו""ל","ארה""ב",NASDAQD,Chemicals,מניות לרבות מדדי מניות,2026-01-16,לא,USD,60.0,-9.32,3.306,202.0,-6.22542,-0.164291,-7e-06,
,665,12154.0,NASDAQ INC,549300L8X1Q78ERXFD06,LEI,KWEB US P32 20/02/26,KWEB US 02/20/26 P32,טיקר,מניה,"חו""ל","ארה""ב",NASDAQ,Other,מניות לרבות מדדי מניות,2026-02-20,לא,USD,32.0,-18.65,3.306,48.0,-2.9603,-0.078123,-3e-06,
,665,12154.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,GRAB C7 17/04/26,GRAB US 04/17/26 C7 EQUITY,טיקר,מניה,"חו""ל","ארה""ב",NYSE,Insurance,מניות לרבות מדדי מניות,2026-04-17,לא,USD,7.0,-39.82,3.306,60.0,-7.89841,-0.208442,-9e-06,
,665,12154.0,NASDAQ INC,549300L8X1Q78ERXFD06,LEI,SEDG C35 20/03/2026,SEDG US 03/20/26 CALL 35,טיקר,מניה,"חו""ל","ארה""ב",NASDAQ,Semiconductors & Semiconductor Equipment,מניות לרבות מדדי מניות,2026-03-20,לא,USD,35.0,-5.67,3.306,1023.0,-19.17431,-0.506019,-2.3e-05,
,665,12154.0,New York stock exchange,5493000F4ZO33MV32P112,LEI,NICE US C165 17/10/25,NICE US 10/17/25 C165,טיקר,מניה,"חו""ל",ישראל,NYSE,Software,מניות לרבות מדדי מניות,2025-10-17,לא,USD,165.0,2.92,3.306,40.0,0.38558,0.010175,0.0,
