Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,ענף מסחר,בעל עניין/צד קשור,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,תשואה לפדיון,שיעור ריבית,נחיתות חוזית,האם סווג כחוב בעייתי,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 39
,168,12155.0,"כלל תעשיות בע""מ",520021874.0,ח.פ.,כלל תעשאג טז-רמ,IL0060802381,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2019-12-29,A2.il,מידרוג Moodys,מנפיק,ILS,1.47,2027-06-30,0.0537,0.0447,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,2906412.84,1.0,100.02,2906.99412,,,,0.034638,0.000103,
,168,12155.0,"מת""ם - מרכז תעשיות מדע חיפה בע""מ",510687403.0,ח.פ.,"מת""ם ב רצף",IL0012235367,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנייה,לא,2025-06-24,ilAA,S&P מעלות,מנפיק,ILS,5.24,2035-06-30,0.0351,0.034,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,3358594.87,1.0,102.03,3426.77435,,,,0.040831,0.000121,
,168,12155.0,י.ח.ק להשקעות,550016091.0,מספר שותפות,"י.ח.ק להשקעות אג""ח ב",IL0011817835,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2021-11-14,ilA+,S&P מעלות,מנפיק,ILS,1.66,2028-12-31,0.0518,0.0286,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,21483.21,1.0,98.48,21.15666,,,,0.000252,0.0,
,168,12155.0,"מימון ישיר נדל""ן ומשכנתאות בע""מ",516100153.0,ח.פ.,מימון משכנתאות הנפקות 1,IL0012152687,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,"אג""ח מובנות",לא,2024-12-26,Aa1.il,מידרוג Moodys,מנפיק,ILS,10.41,2054-02-20,0.048,0.05,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,2473423.29,1.0,106.71,2639.38999,,,,0.031449,9.3e-05,
,168,12155.0,אורמת טכנולוגיות אינק,2250.0,מספר מנפיק,"אורמת אג""ח ד רצף",IL0011672123,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,"ארה""ב",לא סחיר,קלינטק,לא,2020-07-02,ilAA-,S&P מעלות,מנפיק,ILS,2.95,2031-06-15,0.0524,0.0335,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,105609.6,1.0,95.91,101.29016,,,,0.001206,3e-06,
,168,12155.0,"תשתיות אנרגיה בע""מ",520027293.0,ח.פ.,"תשתיות אנרגיה אג""ח א רצף",IL0011680878,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,חשמל,לא,2020-08-17,Aaa.il,מידרוג Moodys,מנפיק,ILS,7.06,2040-12-31,0.0272,0.0083,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,4149313.35,1.0,104.54,4337.69217,,,,0.051685,0.000154,
,168,12155.0,"דרך ארץ (בי.וי. סראנטה) בע""מ",510984230.0,ח.פ.,"נתיבים אג""ח קונצרן (נסחר $ ) רצף",IL0010902810,ISIN,"צמוד למט""ח",ישראל,ישראל,לא סחיר,"נדל""ן מניב בישראל",לא,2004-04-30,Aa1.il,מידרוג Moodys,מנפיק,USD,1.0,2027-06-30,0.0456,0.0797,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,160719.11,3.306,105.33,559.65766,,,,0.006668,1.9e-05,
,168,12155.0,"וי.איי.די. חברה להתפלה בע""מ",513102384.0,ח.פ.,וי.אי.די התפלת מי אשקלון 0706 נשר,IL0010979974,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים פיננסיים,לא,2006-04-23,ilAA+,S&P מעלות,מנפיק,ILS,0.06,2025-10-22,0.0315,0.0775,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,63227.97,1.0,149.14,94.29819,,,,0.001123,3e-06,
,168,12155.0,"מקורות חברת מים בע""מ",520010869.0,ח.פ.,"מקורות אג""ח 6 רצף",IL0011009086,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2010-05-30,ilAAA,S&P מעלות,מנפיק,ILS,4.98,2036-12-25,0.0277,0.049,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,9205455.89,1.0,164.64,15155.86257,,,,0.180589,0.000539,
,168,12155.0,"מקורות חברת מים בע""מ",520010869.0,ח.פ.,"מקורות אג""ח 8 רצף",IL0011243461,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2011-07-14,ilAAA,S&P מעלות,מנפיק,ILS,9.44,2048-07-14,0.0281,0.041,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,18039354.64,1.0,139.55,25173.9194,,,,0.299959,0.000895,
,168,12155.0,"נתיבי הגז הטבעי לישראל בע""מ",513436394.0,ח.פ.,"נתיבי גז אג""ח א' רצף",IL0011030843,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2007-01-02,Aaa.il,מידרוג Moodys,מנפיק,ILS,0.59,2026-12-29,0.0295,0.056,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,182094.72,1.0,147.67,268.89927,,,,0.003204,9e-06,
,168,12155.0,"ביטוח ישיר - השקעות פיננסיות בע""מ",520044439.0,ח.פ.,"ביטוח ישיר סדרה י""א רצף",IL0011388258,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2016-07-21,A2.il,מידרוג Moodys,מנפיק,ILS,2.0,2028-06-24,0.0535,0.046,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,3031994.48,1.0,99.93,3029.87208,,,,0.036102,0.000107,
,168,12155.0,"רפאל מערכות לחימה מתקדמות בע""מ",520042185.0,ח.פ.,רפאל   אגח ד רצף,IL0011402844,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטחוניות,לא,2017-03-01,ilAAA,S&P מעלות,מנפיק,ILS,4.41,2034-09-15,0.0471,0.0374,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,110145.51,1.0,96.46,106.24636,,,,0.001265,3e-06,
,168,12155.0,"רפאל מערכות לחימה מתקדמות בע""מ",520042185.0,ח.פ.,רפאל אגח ה רצף,IL0011402927,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,ביטחוניות,לא,2017-03-02,ilAAA,S&P מעלות,מנפיק,ILS,0.46,2026-03-15,0.048,0.025,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,854466.46,1.0,99.16,847.28894,,,,0.010095,3e-05,
,168,12155.0,"גדות מסופים לכימקלים (1985) בע""מ",520040775.0,ח.פ.,גדות מסף אגא-רמ,IL0011623209,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,מסחר,לא,2020-01-14,A3.il,מידרוג Moodys,מנפיק,ILS,0.66,2026-06-30,0.0546,0.043,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,1363755.81,1.0,100.43,1369.61996,,,,0.016319,4.8e-05,
,168,12155.0,"נתיבי הגז הטבעי לישראל בע""מ",513436394.0,ח.פ.,"נתיבי גז אג""ח ג רצף",IL0011255093,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2012-01-01,Aaa.il,מידרוג Moodys,מנפיק,ILS,3.04,2031-12-31,0.0287,0.048,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,5764655.69,1.0,131.46,7578.21637,,,,0.090298,0.000269,
,168,13303.0,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,"לאומי אג""ח 1",IL0011986390,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,בנקים,כן,2023-08-07,Aaa.il,מידרוג Moodys,מנפיק,ILS,1.19,2026-12-24,0.0614,0.068,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,2726.84,1.0,100.51,2.74075,,,,0.001097,1e-06,
,168,13303.0,"ביטוח ישיר - השקעות פיננסיות בע""מ",520044439.0,ח.פ.,"ביטוח ישיר אג""ח יב - רמ",IL0012102443,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,השקעה ואחזקות,לא,2024-08-11,A2.il,מידרוג Moodys,מנפיק,ILS,5.55,2034-06-30,0.0424,0.047,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,55159.87,1.0,108.68,59.94774,,,,0.024006,2.4e-05,
,168,13303.0,"אגד חברה לתחבורה בע""מ",516041118.0,ח.פ.,אגד אגח 1-רמ,IL0011987877,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,לא סחיר,שירותים,לא,2023-08-15,ilAA-,S&P מעלות,מנפיק,ILS,2.3,2029-12-31,0.0337,0.0364,החוב לא נחות,,חברת ציטוט,אי-תלות,2025-09-30,2025-09-30,92691.52,1.0,108.84,100.88545,,,,0.0404,4.1e-05,
