Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 21
,665,1638.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,RBEZ5 DEC25 MSCIEM משתנה,RBEZ5 INDEX,טיקר,"חו""ל",אסיה,EUREX,מניות לרבות מדדי מניות,לא,USD,33.8,3.306,135700.0,29.328299999999814,0.07745962496645373,3.0463193514743536e-05,
,665,1638.0,Osaka Exchange Inc,3538001249AILNPRUX57,LEI,TPZ5 DEC25 TOPIX משתנה,TPZ5 INDEX,טיקר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,6.32,0.022332,314100.0,23.05614999999944,0.060894110199713934,2.3948335196889747e-05,
,665,1638.0,ASX Ltd,549300VSBVYUCBIQKT71,LEI,XPZ5 DEC25 ASX משתנה,XPZ5 INDEX,טיקר,"חו""ל",אוסטרליה,ASX,מניות לרבות מדדי מניות,לא,AUD,3.33,2.1849,887300.0,-9.650189999999943,-0.025487331289403836,-1.0023615600769327e-05,
,665,1638.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,SMZ5 DEC25 SMI משתנה,SMZ5 INDEX,טיקר,"חו""ל",שוויץ,EUREX,מניות לרבות מדדי מניות,לא,CHF,2.13,4.1427,1210600.0,0.6188599999998696,0.0016344849004793923,6.428075251047736e-07,
,665,1638.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,VGZ5 DEC25 EUROSTOXX משתנה,VGZ5 INDEX,טיקר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,32.77,3.8807,554100.0,118.99802000000048,0.3142883154138036,0.00012360279017642887,
,665,1638.0,ICE FUTURES US INC,5493004R83R1LVX2IL36,LEI,Z Z5 DEC25 FTSE משתנה,Z Z5 INDEX,טיקר,"חו""ל",בריטניה,ICE,מניות לרבות מדדי מניות,לא,GBP,9.91,4.4409,940750.0,44.0624299999997,0.1163742631830218,4.576747823160021e-05,
,665,1645.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,ESZ5 DEC25 S&P 500 משתנה,ESZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,16.37,3.306,673875.0,190.91916000000015,0.29562657485871746,0.00012763758504570212,
,665,1645.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,UXYZ5 DEC 25 US 10yr 6% משתנה,UXYZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,"ריבית ואג""ח",לא,USD,6.62,3.306,11507.8125,24.35834999999963,0.0377174065699311,1.6284593802413173e-05,
,665,1645.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,RBEZ5 DEC25 MSCIEM משתנה,RBEZ5 INDEX,טיקר,"חו""ל",אסיה,EUREX,מניות לרבות מדדי מניות,לא,USD,59.48,3.306,135700.0,51.621109999999405,0.07993211335994199,3.45109093177367e-05,
,665,1645.0,ASX Ltd,549300VSBVYUCBIQKT71,LEI,XPZ5 DEC25 ASX משתנה,XPZ5 INDEX,טיקר,"חו""ל",אוסטרליה,ASX,מניות לרבות מדדי מניות,לא,AUD,5.87,2.1849,887300.0,-16.985429999999702,-0.02630089349545857,-1.1355482949761463e-05,
,665,1645.0,Montreal Exchange Inc,549300DKBYNOI0B1NP44,LEI,PTZ5 TSX DEC25 משתנה,PTZ5 INDEX,טיקר,"חו""ל",קנדה,אחר,מניות לרבות מדדי מניות,לא,CAD,4.42,2.3745,177280.0,67.22333000000008,0.10409119125863153,4.494165750535621e-05,
,665,1645.0,Osaka Exchange Inc,3538001249AILNPRUX57,LEI,TPZ5 DEC25 TOPIX משתנה,TPZ5 INDEX,טיקר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,11.13,0.022332,314100.0,40.5814299999997,0.06283784798638704,2.7130413327301282e-05,
,665,1645.0,ICE FUTURES US INC,5493004R83R1LVX2IL36,LEI,Z Z5 DEC25 FTSE משתנה,Z Z5 INDEX,טיקר,"חו""ל",בריטניה,ICE,מניות לרבות מדדי מניות,לא,GBP,17.45,4.4409,940750.0,77.5548200000003,0.12008886798152911,5.184869833627045e-05,
,665,1645.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,SMZ5 DEC25 SMI משתנה,SMZ5 INDEX,טיקר,"חו""ל",שוויץ,EUREX,מניות לרבות מדדי מניות,לא,CHF,3.76,4.1427,1210600.0,1.0892600000000092,0.0016866521041188798,7.28216674988946e-07,
,665,1645.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,VGZ5 DEC25 EUROSTOXX משתנה,VGZ5 INDEX,טיקר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,57.67,3.8807,554100.0,209.44986999999918,0.32432023937620175,0.0001400261534512101,
,665,1651.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,VGZ5 DEC25 EUROSTOXX משתנה,VGZ5 INDEX,טיקר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,56.47,3.8807,554100.0,205.08873000000045,0.32830714589124016,0.00016192350145267226,
,665,1651.0,ICE FUTURES US INC,5493004R83R1LVX2IL36,LEI,Z Z5 DEC25 FTSE משתנה,Z Z5 INDEX,טיקר,"חו""ל",בריטניה,ICE,מניות לרבות מדדי מניות,לא,GBP,17.08,4.4409,940750.0,75.93998000000045,0.1215651298481294,5.995681704131645e-05,
,665,1651.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,RBEZ5 DEC25 MSCIEM משתנה,RBEZ5 INDEX,טיקר,"חו""ל",אסיה,EUREX,מניות לרבות מדדי מניות,לא,USD,58.24,3.306,135700.0,50.546259999999776,0.08091472581685227,3.990773849219845e-05,
,665,1651.0,Osaka Exchange Inc,3538001249AILNPRUX57,LEI,TPZ5 DEC25 TOPIX משתנה,TPZ5 INDEX,טיקר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,10.9,0.022332,314100.0,39.73645000000019,0.06361032362602276,3.137307993130123e-05,
,665,1651.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,SMZ5 DEC25 SMI משתנה,SMZ5 INDEX,טיקר,"חו""ל",שוויץ,EUREX,מניות לרבות מדדי מניות,לא,CHF,3.68,4.1427,1210600.0,1.0665900000000839,0.001707403028611882,8.421037441424447e-07,
,665,1651.0,ASX Ltd,549300VSBVYUCBIQKT71,LEI,XPZ5 DEC25 ASX משתנה,XPZ5 INDEX,טיקר,"חו""ל",אוסטרליה,ASX,מניות לרבות מדדי מניות,לא,AUD,5.75,2.1849,887300.0,-16.631759999999776,-0.02662421117312495,-1.313125696629188e-05,
,665,1651.0,Montreal Exchange Inc,549300DKBYNOI0B1NP44,LEI,PTZ5 TSX DEC25 משתנה,PTZ5 INDEX,טיקר,"חו""ל",קנדה,אחר,מניות לרבות מדדי מניות,לא,CAD,4.33,2.3745,177280.0,65.8236200000001,0.10537080615999493,5.1969657370690926e-05,
,665,1651.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,ESZ5 DEC25 S&P 500 משתנה,ESZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,16.04,3.306,673875.0,186.94386000000313,0.29926074006354453,0.00014759760024979726,
,665,1651.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,UXYZ5 DEC 25 US 10yr 6% משתנה,UXYZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,"ריבית ואג""ח",לא,USD,4.39,3.306,11507.8125,16.171820000000064,0.025887936738731986,1.2768120994568347e-05,
,665,1652.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,UXYZ5 DEC 25 US 10yr 6% משתנה,UXYZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,"ריבית ואג""ח",לא,USD,2.66,3.306,11507.8125,9.795709999999962,0.02522476741720554,1.293464271774689e-05,
,665,1652.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,RBEZ5 DEC25 MSCIEM משתנה,RBEZ5 INDEX,טיקר,"חו""ל",אסיה,EUREX,מניות לרבות מדדי מניות,לא,USD,36.23,3.306,135700.0,31.4435700000003,0.08096980617194997,4.151933282227322e-05,
,665,1652.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,SMZ5 DEC25 SMI משתנה,SMZ5 INDEX,טיקר,"חו""ל",שוויץ,EUREX,מניות לרבות מדדי מניות,לא,CHF,2.29,4.1427,1210600.0,0.6634899999999907,0.0017085418957524807,8.760984243916772e-07,
,665,1652.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,ESZ5 DEC25 S&P 500 משתנה,ESZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,9.97,3.306,673875.0,116.29313999999873,0.29946450116596973,0.0001535580592345944,
,665,1652.0,ASX Ltd,549300VSBVYUCBIQKT71,LEI,XPZ5 DEC25 ASX משתנה,XPZ5 INDEX,טיקר,"חו""ל",אוסטרליה,ASX,מניות לרבות מדדי מניות,לא,AUD,3.57,2.1849,887300.0,-10.346199999999953,-0.026642324921000292,-1.3661531475140932e-05,
,665,1652.0,Osaka Exchange Inc,3538001249AILNPRUX57,LEI,TPZ5 DEC25 TOPIX משתנה,TPZ5 INDEX,טיקר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,6.78,0.022332,314100.0,24.719049999999815,0.06365360826568695,3.264001078759172e-05,
,665,1652.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,VGZ5 DEC25 EUROSTOXX משתנה,VGZ5 INDEX,טיקר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,35.13,3.8807,554100.0,127.58059999999963,0.3285306488194869,0.00016846246762264097,
,665,1652.0,Montreal Exchange Inc,549300DKBYNOI0B1NP44,LEI,PTZ5 TSX DEC25 משתנה,PTZ5 INDEX,טיקר,"חו""ל",קנדה,אחר,מניות לרבות מדדי מניות,לא,CAD,2.69,2.3745,177280.0,40.94724000000022,0.10544254631634714,5.406835437940068e-05,
,665,1652.0,ICE FUTURES US INC,5493004R83R1LVX2IL36,LEI,Z Z5 DEC25 FTSE משתנה,Z Z5 INDEX,טיקר,"חו""ל",בריטניה,ICE,מניות לרבות מדדי מניות,לא,GBP,10.63,4.4409,940750.0,47.24037999999989,0.12164790486860165,6.23780652092188e-05,
,665,1653.0,ICE FUTURES US INC,5493004R83R1LVX2IL36,LEI,Z Z5 DEC25 FTSE משתנה,Z Z5 INDEX,טיקר,"חו""ל",בריטניה,ICE,מניות לרבות מדדי מניות,לא,GBP,5.56,4.4409,940750.0,24.73305000000028,0.12176515348591485,6.217528000043868e-05,
,665,1653.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,RBEZ5 DEC25 MSCIEM משתנה,RBEZ5 INDEX,טיקר,"חו""ל",אסיה,EUREX,מניות לרבות מדדי מניות,לא,USD,18.97,3.306,135700.0,16.462509999999778,0.08104783101612452,4.138434882717645e-05,
,665,1653.0,Osaka Exchange Inc,3538001249AILNPRUX57,LEI,TPZ5 DEC25 TOPIX משתנה,TPZ5 INDEX,טיקר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,3.55,0.022332,314100.0,12.941850000000093,0.0637150028662733,3.25339231301305e-05,
,665,1653.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,SMZ5 DEC25 SMI משתנה,SMZ5 INDEX,טיקר,"חו""ל",שוויץ,EUREX,מניות לרבות מדדי מניות,לא,CHF,1.2,4.1427,1210600.0,0.34738000000000463,0.0017102128131361554,8.732626492305815e-07,
,665,1653.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,UXYZ5 DEC 25 US 10yr 6% משתנה,UXYZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,"ריבית ואג""ח",לא,USD,1.34,3.306,11507.8125,4.932820000000007,0.024285140102752574,1.2400389951573338e-05,
,665,1653.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,ESZ5 DEC25 S&P 500 משתנה,ESZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,5.23,3.306,673875.0,60.886140000000594,0.29975317165755494,0.00015305887477063703,
,665,1653.0,Montreal Exchange Inc,549300DKBYNOI0B1NP44,LEI,PTZ5 TSX DEC25 משתנה,PTZ5 INDEX,טיקר,"חו""ל",קנדה,אחר,מניות לרבות מדדי מניות,לא,CAD,1.41,2.3745,177280.0,21.438229999999983,0.10554417536115897,5.389258312111885e-05,
,665,1653.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,VGZ5 DEC25 EUROSTOXX משתנה,VGZ5 INDEX,טיקר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,18.39,3.8807,554100.0,66.79577000000002,0.3288473191239971,0.00016791482257929598,
,665,1653.0,ASX Ltd,549300VSBVYUCBIQKT71,LEI,XPZ5 DEC25 ASX משתנה,XPZ5 INDEX,טיקר,"חו""ל",אוסטרליה,ASX,מניות לרבות מדדי מניות,לא,AUD,1.87,2.1849,887300.0,-5.416830000000075,-0.02666800642691095,-1.3617120491196077e-05,
,665,1666.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,VGZ5 DEC25 EUROSTOXX משתנה,VGZ5 INDEX,טיקר,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,9.36,3.8807,554100.0,33.98423999999999,0.3288030035570746,0.0001742965628949322,
,665,1666.0,ICE FUTURES US INC,5493004R83R1LVX2IL36,LEI,Z Z5 DEC25 FTSE משתנה,Z Z5 INDEX,טיקר,"חו""ל",בריטניה,ICE,מניות לרבות מדדי מניות,לא,GBP,2.83,4.4409,940750.0,12.583639999999898,0.1217487467037931,6.453830365802404e-05,
,665,1666.0,Montreal Exchange Inc,549300DKBYNOI0B1NP44,LEI,PTZ5 TSX DEC25 משתנה,PTZ5 INDEX,טיקר,"חו""ל",קנדה,אחר,מניות לרבות מדדי מניות,לא,CAD,0.72,2.3745,177280.0,10.90729999999993,0.10552988681512541,5.594078021058826e-05,
,665,1666.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,RBEZ5 DEC25 MSCIEM משתנה,RBEZ5 INDEX,טיקר,"חו""ל",אסיה,EUREX,מניות לרבות מדדי מניות,לא,USD,9.65,3.306,135700.0,8.375770000000019,0.08103692573684877,4.295720376852593e-05,
,665,1666.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,ESZ5 DEC25 S&P 500 משתנה,ESZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,2.65,3.306,673875.0,30.977549999999813,0.2997127928368972,0.00015887601111297105,
,665,1666.0,Osaka Exchange Inc,3538001249AILNPRUX57,LEI,TPZ5 DEC25 TOPIX משתנה,TPZ5 INDEX,טיקר,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,1.81,0.022332,314100.0,6.5845300000000275,0.06370638981515178,3.3770387311252884e-05,
,665,1666.0,CHICAGO MERCANTILE EXCHANGE INC,SNZ2OJLFK8MNNCLQOF39,LEI,UXYZ5 DEC 25 US 10yr 6% משתנה,UXYZ5 INDEX,טיקר,"חו""ל","ארה""ב",CME,"ריבית ואג""ח",לא,USD,0.69,3.306,11507.8125,2.523649999999994,0.024416720807256823,1.2943161917106125e-05,
,665,1666.0,ASX Ltd,549300VSBVYUCBIQKT71,LEI,XPZ5 DEC25 ASX משתנה,XPZ5 INDEX,טיקר,"חו""ל",אוסטרליה,ASX,מניות לרבות מדדי מניות,לא,AUD,0.95,2.1849,887300.0,-2.755969999999972,-0.026664454279783274,-1.4134672378771498e-05,
,665,1666.0,EUREX FRANKFURT AG,529900UT4DG0LG5R9O07,LEI,SMZ5 DEC25 SMI משתנה,SMZ5 INDEX,טיקר,"חו""ל",שוויץ,EUREX,מניות לרבות מדדי מניות,לא,CHF,0.61,4.1427,1210600.0,0.17673999999999068,0.0017099880076374906,9.064547133038343e-07,
,168,13350.0,,,,,,,,,,,,,,,,,,,
,168,14277.0,,,,,,,,,,,,,,,,,,,
,168,14278.0,,,,,,,,,,,,,,,,,,,
,168,14348.0,,,,,,,,,,,,,,,,,,,
,168,15342.0,,,,,,,,,,,,,,,,,,,
,168,15661.0,,,,,,,,,,,,,,,,,,,
,168,2212.0,,,,,,,,,,,,,,,,,,,
,168,8561.0,,,,,,,,,,,,,,,,,,,
,665,13352.0,,,,,,,,,,,,,,,,,,,
,665,14308.0,,,,,,,,,,,,,,,,,,,
,665,14309.0,,,,,,,,,,,,,,,,,,,
,665,15673.0,,,,,,,,,,,,,,,,,,,
,665,2213.0,,,,,,,,,,,,,,,,,,,
,סוף מידע טבלה,,,,,,,,,,,,,,,,,,,,
