מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,מספר עסקה (רגל 1),מטבע פעילות (רגל 1),שער חליפין,ערך נקוב (רגל 1),שווי הוגן במטבע הנסחר (רגל 1),שיעור מנכסי אפיק ההשקעה (רגל 1),שיעור מסך נכסי ההשקעה (רגל 1),מספר עסקה (רגל 2),מטבע פעילות (רגל 2),שער חליפין ,ערך נקוב (רגל 2),שווי הוגן במטבע הנסחר (רגל 2),שיעור מנכסי ההשקעה (רגל 2),שיעור מסך אפיק ההשקעה (רגל 2),"שווי הוגן (נטו  באלפי ש""ח)","ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סוג הנכס,פקטור מוביל,פקטור נוסף,טיקר,בעל עניין/צד קשור,מועד ההתקשרות בעסקה,מועד סיום חוזי,תדירות Reset,סוג הסליקה,נספח התחשבנות בטחונות - CSA,גורם מצטט,ריבית עוגן,תקופת ריבית עוגן,שיעור ריבית עוגן,שער נכס הבסיס במועד ההתקשרות בעסקה,שער הנגזר במועד ההתקשרות בעסקה,האם קיים קנס בגין יציאה מוקדמת,שיעור הקנס בגין יציאה מוקדמת,צד נגדי - Counterparty,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,1589,Unfunded Forward,777113291.0,USD,3.306,2986239.074,2986.239,0.11974,0.00288,777113291.0,ILS,1,-10012859.613,-10012.86,-0.00293,-0.12144,-144.994,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,21/07/2025,14/01/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.353,ריק במקור,ריק במקור,ריק במקור,POALILIT,-0.00176,-4e-05
163,1589,Unfunded Forward,484931464.0,USD,3.306,-11944956.294,-11944.956,-0.47894,-0.01154,484931464.0,ILS,1,40015603.585,40015.604,0.01169,0.48532,529.799,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,21/07/2025,14/01/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.35,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.00643,0.00015
163,1589,Unfunded Forward,777113606.0,USD,3.306,-11944956.294,-11944.956,-0.47894,-0.01154,777113606.0,ILS,1,39724146.651,39724.147,0.01161,0.48178,348.649,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,17/09/2025,15/07/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.326,ריק במקור,ריק במקור,ריק במקור,LUMIILITXXX,0.00423,0.0001
163,1589,Unfunded Forward,777113556.0,USD,3.306,-11944956.294,-11944.956,-0.47894,-0.01154,777113556.0,ILS,1,39740869.59,39740.87,0.01161,0.48198,364.942,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,15/09/2025,15/07/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.327,ריק במקור,ריק במקור,ריק במקור,LUMIILITXXX,0.00443,0.00011
163,1589,Unfunded Forward,485431464.0,USD,3.306,-12840828.016,-12840.828,-0.51486,-0.0124,485431464.0,ILS,1,42658514.752,42658.515,0.01246,0.51737,358.97,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,15/09/2025,16/09/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.322,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.00435,0.0001
163,1589,Unfunded Forward,484859715.0,USD,3.306,-31775823.421,-31775.823,-1.27408,-0.03069,484859715.0,ILS,1,106280596.597,106280.597,0.03105,1.28899,1273.445,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,14/07/2025,18/02/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.345,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.01544,0.00037
163,1589,Unfunded Forward,484783105.0,USD,3.306,-26067502.906,-26067.503,-1.0452,-0.02518,484783105.0,ILS,1,86518042.146,86518.042,0.02528,1.04931,413.739,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,7/07/2025,18/03/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.319,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.00502,0.00012
163,1589,Unfunded Forward,484198601.0,USD,3.306,-4561480.185,-4561.48,-0.1829,-0.00441,484198601.0,ILS,1,16385292.972,16385.293,0.00479,0.19872,1296.049,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,6/05/2025,19/11/2025,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.592,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.01572,0.00038
163,1589,Unfunded Forward,484929674.0,USD,3.306,-5101740.703,-5101.741,-0.20456,-0.00493,484929674.0,ILS,1,17090831.356,17090.831,0.00499,0.20728,227.078,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,21/07/2025,21/01/2026,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.35,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.00275,7e-05
163,1589,Unfunded Forward,484857966.0,EUR,3.881,-7883.671,-7.884,-0.00037,-1e-05,484857966.0,USD,3.306,9255.903,9.256,1e-05,0.00037,-0.034,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",ריק במקור,לא,14/07/2025,22/10/2025,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,1.174,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.0,0.0
