מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,שם נייר ערך,מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,דירוג,שם מדרג,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,סכום לקבל (במטבע הפעילות),ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14044,14050,האוצר - ממשלתית שקלית,ממשל שקלי 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,31/01/2042,0.055,0.04344,0.0,12500.0,1.0,117.0,14.625,,שווי הוגן,4e-07,0.0308,0.01342
14044,14050,האוצר - ממשלתית שקלית,ממשל שקלית 0229,IL0011948028,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.2,28/02/2029,0.0375,0.03907,0.0,27500.0,1.0,101.7,27.968,,שווי הוגן,7.9e-07,0.05889,0.02567
14044,14050,האוצר - ממשלתית שקלית,ממשל שקלית 0330,IL0011609851,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,4.392,31/03/2030,0.01,0.03922,0.0,22000.0,1.0,88.66,19.505,,שווי הוגן,5.8e-07,0.04107,0.0179
14044,14050,האוצר - ממשלתית שקלית,ממשל שקלית 0432,IL0011806606,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,6.288,30/04/2032,0.013,0.04018,0.0,55000.0,1.0,85.09,46.8,,שווי הוגן,1.42e-06,0.09855,0.04295
14044,14050,האוצר - ממשלתית שקלית,ממשל שקלית 0829,IL0012128935,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.664,31/08/2029,0.046,0.03934,0.0,50000.0,1.0,102.76,51.38,,שווי הוגן,2.71e-06,0.10819,0.04715
14044,14050,בנק ישראל - מקמ,מקמ 316,IL0082603171,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.425,4/03/2026,0.0,0.0407,0.0,94000.0,1.0,98.32,92.421,,שווי הוגן,1e-05,0.19461,0.08482
14036,14333,,,,,,,,,,,,,,,,,,,,,,,,
14036,14334,,,,,,,,,,,,,,,,,,,,,,,,
14044,14335,,,,,,,,,,,,,,,,,,,,,,,,
14044,14336,,,,,,,,,,,,,,,,,,,,,,,,
