מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14044,14050,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,מגדל MTF (00) תלגוב-,IL0011500100,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - מדינה-אג""ח מדינה צמוד מדד-צמודות מדד - ממשלתיות 2-5 שנים",לא,ILS,7400.0,1.0,379.37,0.0,28.073,0.00036,0.07523,0.02576
14044,14050,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,מגדל MTF (A4) תא בני,IL0011656530,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,1150.0,1.0,1940.0,0.0,22.31,0.00013,0.05979,0.02047
14044,14050,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל (4A) תא 35,IL0011943805,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,Large & Mid Cap מניות בארץ - מניות לפי שווי שוק-מניות,לא,ILS,245.0,1.0,9062.0,0.0,22.202,4e-05,0.0595,0.02038
14044,14050,"מור ניהול קרנות נאמנות (2013) בע""מ",514884485,ח.פ.,מור סל (4D) S&P500,IL0011658106,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"S&P 500 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,60.0,1.0,10950.0,0.0,6.57,9.7e-07,0.01761,0.00603
14044,14050,קסם קרנות נאמנות,510938608,ח.פ.,קסם A)EFT‏0) תל בונד,IL0011470817,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-חברות והמרה אחר",לא,ILS,450.0,1.0,4128.17,0.0,18.577,2e-05,0.04978,0.01705
14044,14050,קסם קרנות נאמנות,510938608,ח.פ.,קסם EFT‏(00) תל בונד,IL0011469272,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",לא,ILS,740.0,1.0,4036.9,0.0,29.873,0.00024,0.08005,0.02742
14044,14050,קסם קרנות נאמנות,510938608,ח.פ.,קסם ETF (A0) תלגוב כ,IL0011466468,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - מדינה-אג""ח ממשלתיות",לא,ILS,378.0,1.0,3741.91,0.0,14.144,7e-05,0.0379,0.01298
14044,14050,קסם קרנות נאמנות,510938608,ח.פ.,קסם ETF(00) תלבונד ת,IL0011469504,ISIN,עוקב אחר מדדים אחרים בישראל,ישראל,ישראל,TASE,"אג""ח בארץ - חברות והמרה-תל בונד צמוד מדד-תל בונד צמודות",לא,ILS,640.0,1.0,4397.21,0.0,28.142,7e-05,0.07542,0.02583
14044,14050,קסם קרנות נאמנות,510938608,ח.פ.,קסם MSCI WORLD מנוטר,IL0011473621,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,גלובלי,TASE,"מניות בחו""ל - מניות כללי בחו""ל - מניות כללי בחו""ל מוגנת מט""ח",לא,ILS,415.0,1.0,4341.0,0.0,18.015,7e-05,0.04828,0.01653
14044,14050,קסם קרנות נאמנות,510938608,ח.פ.,קסם NDX100 ETF,IL0011465056,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"NASDAQ 100 - מניות בחו""ל - מניות גיאוגרפי - חשופת מט""ח-ארה""ב",לא,ILS,27.0,1.0,77790.0,0.0,21.003,2e-05,0.05629,0.01928
14044,14050,מיטב קרנות נאמנות בעמ,513534974,ח.פ.,תכלית סל (4A) תא נפט,IL0011448078,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,מניות בארץ - מניות לפי ענפים,לא,ILS,715.0,1.0,3039.0,0.0,21.729,7e-05,0.05823,0.01994
14044,14050,מיטב קרנות נאמנות בעמ,513534974,ח.פ.,תכלית סל PHLX Semiconductor,IL0011707036,ISIN,"עוקב אחר מדדי מניות בחו""ל",ישראל,"ארה""ב",TASE,"מניות בחו""ל - מניות לפי ענפים בחו""ל",לא,ILS,150.0,1.0,7316.0,0.0,10.974,5e-05,0.02941,0.01007
14044,14335,"מגדל קרנות נאמנות בע""מ",511303661,ח.פ.,MTF סל (4A) תא 90,IL0011502593,ISIN,עוקב אחר מדדי מניות בישראל,ישראל,ישראל,TASE,"90 מניות בארץ - מניות כללי-ת""א",לא,ILS,525.0,1.0,4757.0,0.0,24.974,1e-05,0.04667,0.01994
