מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,מספר עסקה (רגל 1),מטבע פעילות (רגל 1),שער חליפין,ערך נקוב (רגל 1),שווי הוגן במטבע הנסחר (רגל 1),שיעור מנכסי אפיק ההשקעה (רגל 1),שיעור מסך נכסי ההשקעה (רגל 1),מספר עסקה (רגל 2),מטבע פעילות (רגל 2),שער חליפין.1,ערך נקוב (רגל 2),שווי הוגן במטבע הנסחר (רגל 2),שיעור מנכסי ההשקעה (רגל 2),שיעור מסך אפיק ההשקעה (רגל 2),"שווי הוגן (נטו  באלפי ש""ח)","ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סוג הנכס,פקטור מוביל,פקטור נוסף,טיקר,בעל עניין/צד קשור,מועד ההתקשרות בעסקה,מועד סיום חוזי,תדירות Reset,סוג הסליקה,נספח התחשבנות בטחונות - CSA,גורם מצטט,ריבית עוגן,תקופת ריבית עוגן,שיעור ריבית עוגן,שער נכס הבסיס במועד ההתקשרות בעסקה,שער הנגזר במועד ההתקשרות בעסקה,האם קיים קנס בגין יציאה מוקדמת,שיעור הקנס בגין יציאה מוקדמת,צד נגדי - Counterparty,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,12027,Unfunded Forward,180015262.0,USD,3.306,-2932848.83,-2916.06413,-0.519802,-0.000788,180015263.0,ILS,1.0,9980484.55,9924.13474,0.000811,0.535094,283.62672,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-06-25,2025-11-14,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.409,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",POALILIT,0.015292,2.3e-05
214,12027,Unfunded Forward,180016356.0,USD,3.306,-3000000.0,-2990.895,-0.533141,-0.000808,180016357.0,ILS,1.0,10242000.0,10211.01795,0.000834,0.550563,323.11908,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-21,2025-10-24,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.419,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.017422,2.6e-05
214,12027,Unfunded Interest Rate Swap,12536092.0,ILS,1.0,-5279492.04,-5284.21191,-0.284917,-0.000432,12537092.0,ILS,1.0,5279492.04,5333.5118,0.000436,0.287575,49.29989,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,SHIR,כן,2025-07-22,2035-07-22,שנתי,Delivery,קיים חוזה,גורם אחר,Shekel Overnight Risk Free Rate,יומי,"תא ללא תוכן, המשך בתא הבא",0.045,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.002658,4e-06
214,12027,Unfunded Forward,180016346.0,USD,3.306,-5000000.0,-4913.415,-0.875839,-0.001328,180016347.0,ILS,1.0,17037500.0,16758.97095,0.00137,0.903619,515.22096,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-21,2026-02-11,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.419,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.027779,4.2e-05
214,12027,Unfunded Interest Rate Swap,12536093.0,ILS,1.0,-5279492.04,-5281.70415,-0.284781,-0.000431,12537093.0,ILS,1.0,5279492.04,5351.1717,0.000437,0.288527,69.46755,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,SHIR,כן,2025-07-28,2035-07-30,שנתי,Delivery,קיים חוזה,גורם אחר,Shekel Overnight Risk Free Rate,יומי,"תא ללא תוכן, המשך בתא הבא",0.045,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.003745,5e-06
214,12027,Unfunded Forward,180016324.0,USD,3.306,755813.99,739.82323,0.131876,0.000199,180016325.0,ILS,1.0,-2562285.01,-2511.55945,-0.000205,-0.135419,-65.70384,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-20,2026-03-13,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.4,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",IDBLILIT,-0.003542,-5e-06
214,12027,Unfunded Forward,180015210.0,USD,3.306,-688190.41,-684.86714,-0.12208,-0.000185,180015211.0,ILS,1.0,2381826.99,2370.449,0.000192,0.12781,106.27826,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-06-23,2025-11-07,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.479,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.00573,8e-06
214,12027,Unfunded Forward,180016318.0,USD,3.306,200880.06,200.27039,0.035699,5.4e-05,180016319.0,ILS,1.0,-682670.78,-680.60571,-5.5e-05,-0.036697,-18.51182,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",USDILS,כן,2025-08-20,2025-10-24,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.4,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,-0.000998,-1e-06
214,12027,Unfunded Interest Rate Swap,12536094.0,ILS,1.0,-5279492.04,-5278.05074,-0.284584,-0.000431,12537094.0,ILS,1.0,5279492.04,5335.8031,0.000436,0.287698,57.75236,ישראל,ישראל,"ריבית ואג""ח",אחר,ריביות,SHIR,כן,2025-08-04,2035-08-06,שנתי,Delivery,קיים חוזה,גורם אחר,Shekel Overnight Risk Free Rate,יומי,"תא ללא תוכן, המשך בתא הבא",0.045,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",LUMIILIT,0.003113,4e-06
214,12027,Unfunded Forward,180016980.0,EUR,3.8807,-2129328.6,-2112.23009,-0.441966,-0.00067,180016981.0,ILS,1.0,8454499.2,8338.0723,0.000681,0.449576,141.14099,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",EURILS,כן,2025-09-17,2026-01-20,ללא,Delivery,קיים חוזה,גורם אחר,ללא,ללא,"תא ללא תוכן, המשך בתא הבא",3.9536,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",IDBLILIT,0.00761,1.1e-05
