מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
283,283,"קבוצת דלק בע""מ",520044322,ח.פ.,דלק קבוצה אגח מ,IL0012173899,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,לא חסום בהשאלה,TASE,חיפושי נפט וגז,לא,ilA-,S&P מעלות,נייר ערך,ILS,5.34,2033-06-30,0.0569,0.0547,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",217204.3,1.0,103.02,"תא ללא תוכן, המשך בתא הבא",223.76387,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.000138,0.000113,1.2e-05
283,283,"מיטב בית השקעות בע""מ",520043795,ח.פ.,מיטב דש אגח ג,IL0011217630,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,שירותים פיננסיים,כן,A1.il,מידרוג Moodys,נייר ערך,ILS,0.19,2025-12-10,0.0395,0.0476,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",172873.69,1.0,127.01,"תא ללא תוכן, המשך בתא הבא",219.56687,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.002121,0.000109,1.1e-05
283,283,"קבוצת מנרב בע""מ",520034505,ח.פ.,מנרב אגח ד,IL0015501690,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,Baa1.il,מידרוג Moodys,נייר ערך,ILS,3.28,2032-04-15,0.0207,0.0411,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",2502404.69,1.0,109.03,"תא ללא תוכן, המשך בתא הבא",2728.37183,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.005996,0.001393,0.000155
283,283,LIGHTSTONE ENTERPRISES,549300Z4RG3ZM30N2P20,LEI,לייטסטון אגח ו,IL0012165143,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,"ארה""ב",סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilAA,S&P מעלות,נייר ערך,ILS,3.46,2029-08-15,0.0553,0.0543,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",1585495.04,1.0,101.3,"תא ללא תוכן, המשך בתא הבא",1606.10648,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.001525,0.00082,9.1e-05
283,283,"מליסרון בע""מ",520037789,ח.פ.,מליסרון אגח כא,IL0011946386,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",כן,ilAA,S&P מעלות,נייר ערך,ILS,5.34,2037-01-01,0.0361,0.0293,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",26357665.42,1.0,113.95,"תא ללא תוכן, המשך בתא הבא",30034.55973,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.011996,0.015346,0.001713
283,283,"כלל ביטוח גיוסי הון בע""מ",513754069,ח.פ.,כלל הון אגח יג,IL0011979205,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,ביטוח,כן,ilAA-,S&P מעלות,נייר ערך,ILS,7.14,2034-07-31,0.0531,0.0487,החוב נחות,"תא ללא תוכן, המשך בתא הבא",14021574.98,1.0,104.46,"תא ללא תוכן, המשך בתא הבא",14646.9372,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.011011,0.007484,0.000834
283,283,"רבוע כחול נדל""ן בע""מ",513765859,ח.פ.,רבוע נדלן אגח ח,IL0011575698,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,נייר ערך,ILS,1.8,2028-10-31,0.0142,0.0289,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",1404060.31,1.0,116.29,"תא ללא תוכן, המשך בתא הבא",1632.78174,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.001382,0.000833,9.2e-05
283,283,"בזק החברה הישראלית לתקשורת בע""מ",520031931,ח.פ.,בזק אגח 14,IL0023003176,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,תקשורת ומדיה,כן,Aa2.il,מידרוג Moodys,נייר ערך,ILS,7.43,2035-06-01,0.0058,0.0274,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",45213159.41,1.0,99.05,"תא ללא תוכן, המשך בתא הבא",44783.63439,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.074145,0.022885,0.002555
283,283,"חברת החשמל לישראל בע""מ",520000472,ח.פ.,חשמל אגח 33,IL0060003923,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,אנרגיה,לא,ilAAA,S&P מעלות,נייר ערך,ILS,9.94,2036-05-30,0.0125,0.0278,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",91864805.0,1.0,101.02,"תא ללא תוכן, המשך בתא הבא",92801.82599,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.021404,0.047425,0.005296
283,283,"חברת גב-ים לקרקעות בע""מ",520001736,ח.פ.,גב ים אגח י,IL0075902846,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,S&P מעלות,נייר ערך,ILS,4.19,2035-06-30,0.0059,0.0292,החוב לא נחות,"תא ללא תוכן, המשך בתא הבא",9494857.1,1.0,104.71,"תא ללא תוכן, המשך בתא הבא",9942.06489,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",0.006779,0.00508,0.000566
