מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,תאריך פקיעת פיקדון,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,שווי מטבעי,שער חליפין,שער פיקדון,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,9827,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,31/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,34.252019999999995,1.0,173.01,34.252019999999995,0.15385114313192177,2.658859474884108e-06
214,9827,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,2034-02-11 00:00:00,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.08,"תא ללא תוכן, המשך בתא הבא",0.0219,62.780860000000004,1.0,172.97,62.780860000000004,0.28199525393845803,4.873449345538532e-06
214,9829,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,28/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,130.13735,1.0,173.02,130.13735,0.5641535989085352,2.257764266252397e-05
214,9829,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,31/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,35.48995,1.0,173.01,35.48995,0.15385116584580805,6.157182463073381e-06
214,9829,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,2034-02-11 00:00:00,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.08,"תא ללא תוכן, המשך בתא הבא",0.0219,65.04986,1.0,172.97,65.04986,0.28199523524565673,1.1285557100457415e-05
283,283,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,28/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,244.1264,1.0,173.02,244.1264,0.5641535960567409,1.3936937100792863e-05
283,283,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,31/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,66.57606999999999,1.0,173.01,66.57606999999999,0.1538511578502993,3.8007626377482426e-06
283,283,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,2034-02-11 00:00:00,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.08,"תא ללא תוכן, המשך בתא הבא",0.0219,122.02791,1.0,172.97,122.02791,0.2819952460929598,6.96645387885625e-06
662,12140,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,28/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,9.89024,1.0,173.02,9.89024,0.5641533455934362,2.9407581205107057e-05
662,12140,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,31/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,2.69718,1.0,173.01,2.69718,0.15385098042794756,8.019779082690678e-06
662,12140,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,2034-02-11 00:00:00,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.08,"תא ללא תוכן, המשך בתא הבא",0.0219,4.943700000000001,1.0,172.97,4.943700000000001,0.28199567397861636,1.4699568382939926e-05
662,2164,בנק לאומי,10-800,סימול בנק,צמוד למדד המחירים לצרכן,28/10/2034,ישראל,ישראל,לא,Aaa.il,מידרוג Moodys,ILS,4.06,"תא ללא תוכן, המשך בתא הבא",0.0219,42.66186999999999,1.0,173.02,42.66186999999999,0.5641535165548525,4.284607583385514e-05
