מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8903,9890300.0,2021-11-01,8.5622,צמוד למדד המחירים לצרכן,2036-11-01,0.048,0.0485,68088.72,118.150542,103.00764,80.4472,עלות מופחתת,0.016184,0.002724
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8825,9882500.0,2015-04-01,4.0082,צמוד למדד המחירים לצרכן,2030-04-01,0.048,0.0486,35845.74,123.422279,49.57578,44.24163,עלות מופחתת,0.0089,0.001498
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8878,9887800.0,2019-09-01,7.3369,צמוד למדד המחירים לצרכן,2034-09-01,0.048,0.0485,2327.27,118.381697,3.40147,2.75506,עלות מופחתת,0.000554,9.3e-05
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8809,9880900.0,2013-12-01,2.9355,צמוד למדד המחירים לצרכן,2028-12-01,0.048,0.0485,28006.06,119.915707,36.46398,33.58367,עלות מופחתת,0.006756,0.001137
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8880,9888000.0,2019-11-01,7.3302,צמוד למדד המחירים לצרכן,2034-11-01,0.048,0.0485,82030.95,120.268508,121.82858,98.6574,עלות מופחתת,0.019848,0.003341
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8772,9877200.0,2010-11-01,0.0876,צמוד למדד המחירים לצרכן,2025-11-01,0.048,0.0472,15291.57,128.607499,19.70907,19.66611,עלות מופחתת,0.003956,0.000666
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8865,9886500.0,2018-08-01,6.5773,צמוד למדד המחירים לצרכן,2033-08-01,0.048,0.0485,67856.11,119.449417,97.87576,81.05373,עלות מופחתת,0.016306,0.002745
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8904,9890400.0,2021-12-01,8.6449,צמוד למדד המחירים לצרכן,2036-12-01,0.048,0.0485,58212.76,117.5722,87.83265,68.44202,עלות מופחתת,0.013769,0.002318
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8832,9883200.0,2015-11-01,4.4883,צמוד למדד המחירים לצרכן,2030-11-01,0.048,0.0485,40789.53,121.704547,56.40235,49.64271,עלות מופחתת,0.009987,0.001681
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8810,9881000.0,2014-01-01,3.0202,צמוד למדד המחירים לצרכן,2029-01-01,0.048,0.0485,21722.96,119.911055,28.34725,26.04823,עלות מופחתת,0.00524,0.000882
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8795,9879500.0,2012-10-01,1.8882,צמוד למדד המחירים לצרכן,2027-10-01,0.048,0.0486,19362.28,122.834811,25.04648,23.78362,עלות מופחתת,0.004784,0.000805
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8773,9877300.0,2010-12-01,0.1698,צמוד למדד המחירים לצרכן,2025-12-01,0.048,0.0481,7749.9,127.745682,9.94348,9.90017,עלות מופחתת,0.001991,0.000335
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8850,9885000.0,2017-05-01,5.616,צמוד למדד המחירים לצרכן,2032-05-01,0.048,0.0485,51180.34,122.320595,73.52256,62.60409,עלות מופחתת,0.012594,0.00212
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8891,9889100.0,2020-11-01,7.96,צמוד למדד המחירים לצרכן,2035-11-01,0.048,0.0485,31064.43,121.109476,47.32851,37.62197,עלות מופחתת,0.007568,0.001274
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8797,9879700.0,2012-12-01,2.0553,צמוד למדד המחירים לצרכן,2027-12-01,0.048,0.0485,22433.42,122.104995,28.98868,27.39232,עלות מופחתת,0.00551,0.000927
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8887,9888700.0,2020-07-01,7.8136,צמוד למדד המחירים לצרכן,2035-07-01,0.048,0.0485,1161.77,120.159473,1.74827,1.39597,עלות מופחתת,0.00028,4.7e-05
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8802,9880200.0,2013-05-01,2.4158,צמוד למדד המחירים לצרכן,2028-05-01,0.048,0.0486,16065.7,122.903429,21.11429,19.7453,עלות מופחתת,0.003972,0.000668
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8888,9888800.0,2020-08-02,7.9013,צמוד למדד המחירים לצרכן,2035-08-02,0.048,0.0485,41210.73,119.788284,61.97293,49.36562,עלות מופחתת,0.009931,0.001671
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8848,9884800.0,2017-03-01,5.5815,צמוד למדד המחירים לצרכן,2032-03-01,0.048,0.0486,45606.55,120.763509,64.60447,55.07607,עלות מופחתת,0.01108,0.001865
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8782,9878200.0,2011-08-01,0.9087,צמוד למדד המחירים לצרכן,2026-09-01,0.048,0.0485,672.6,123.338825,0.85057,0.82957,עלות מופחתת,0.000166,2.8e-05
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8805,9880500.0,2013-08-01,2.6679,צמוד למדד המחירים לצרכן,2028-08-01,0.048,0.0485,26696.72,119.906269,34.47791,32.01105,עלות מופחתת,0.00644,0.001084
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8778,9877800.0,2011-05-01,0.5719,צמוד למדד המחירים לצרכן,2026-05-01,0.048,0.0487,8304.18,126.771646,10.68635,10.52735,עלות מופחתת,0.002117,0.000356
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8838,9883800.0,2016-05-01,4.8704,צמוד למדד המחירים לצרכן,2031-05-01,0.048,0.0486,46370.92,123.441472,65.77764,57.24095,עלות מופחתת,0.011516,0.001938
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8844,9884400.0,2016-11-01,5.2496,צמוד למדד המחירים לצרכן,2031-11-01,0.048,0.0485,26790.66,122.195775,38.03407,32.73705,עלות מופחתת,0.006586,0.001108
