מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,2175,"י.ח דמרי בניה ופיתוח בע""ם",511399388.0,ח.פ.,דמרי אופציה לס 14.12.25,10903152.0,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-14,לא,2024-10-13,ILS,אחר,אי-תלות,2025-09-30,36000.0,1.0,14435.45,4021.115,1.0,580.46595,0.315042,4.9e-05
214,2175,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה אופציה לס 31.01.26,11000071.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,כן,2025-07-24,ILS,אחר,אי-תלות,2025-09-30,67000.0,1.0,2578.65,6042.74,1.0,155.82124,0.08457,1.3e-05
214,2175,"אחים דוניץ בע""מ",520038605.0,ח.פ.,דוניץ אופציה לס 31.12.25,4000101.0,פנימי,ישראל,ישראל,לא סחיר,IL0004000100,בנייה,2025-12-31,לא,2025-01-23,ILS,אחר,אי-תלות,2025-09-30,27250.0,1.0,5613.79,1010.892,1.0,56.74931,0.0308,4e-06
214,2175,"אפי נכסים בע""מ",510560188.0,ח.פ.,אפי נכסים אופציה לס 20.11.25,10913541.0,פנימי,ישראל,ישראל,לא סחיר,IL0010913544,"נדל""ן מניב בחו""ל",2025-11-20,כן,2025-07-03,ILS,אחר,אי-תלות,2025-09-30,18600.0,1.0,40082.43,2618.27,1.0,1049.46614,0.569587,9e-05
214,2177,"י.ח דמרי בניה ופיתוח בע""ם",511399388.0,ח.פ.,דמרי אופציה לס 14.12.25,10903152.0,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-14,לא,2024-10-13,ILS,אחר,אי-תלות,2025-09-30,36000.0,1.0,7929.8,4021.115,1.0,318.86648,0.315042,3.2e-05
214,2177,"אחים דוניץ בע""מ",520038605.0,ח.פ.,דוניץ אופציה לס 31.12.25,4000101.0,פנימי,ישראל,ישראל,לא סחיר,IL0004000100,בנייה,2025-12-31,לא,2025-01-23,ILS,אחר,אי-תלות,2025-09-30,27250.0,1.0,3083.81,1010.892,1.0,31.17401,0.0308,3e-06
214,2177,"אפי נכסים בע""מ",510560188.0,ח.פ.,אפי נכסים אופציה לס 20.11.25,10913541.0,פנימי,ישראל,ישראל,לא סחיר,IL0010913544,"נדל""ן מניב בחו""ל",2025-11-20,כן,2025-07-03,ILS,אחר,אי-תלות,2025-09-30,18600.0,1.0,22018.42,2618.27,1.0,576.50164,0.569587,5.8e-05
214,2177,"פז קמעונאות ואנרגיה בע""מ",510216054.0,ח.פ.,פז אנרגיה אופציה לס 31.01.26,11000071.0,פנימי,ישראל,ישראל,לא סחיר,IL0011000077,אנרגיה,2026-01-31,כן,2025-07-24,ILS,אחר,אי-תלות,2025-09-30,67000.0,1.0,1416.53,6042.74,1.0,85.59705,0.08457,8e-06
214,9823,"י.ח דמרי בניה ופיתוח בע""ם",511399388.0,ח.פ.,דמרי אופציה לס 14.12.25,10903152.0,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-14,לא,2024-10-13,ILS,אחר,אי-תלות,2025-09-30,36000.0,1.0,39997.79,4021.115,1.0,1608.35716,0.315042,3.9e-05
214,9823,"אפי נכסים בע""מ",510560188.0,ח.פ.,אפי נכסים אופציה לס 20.11.25,10913541.0,פנימי,ישראל,ישראל,לא סחיר,IL0010913544,"נדל""ן מניב בחו""ל",2025-11-20,כן,2025-07-03,ILS,אחר,אי-תלות,2025-09-30,18600.0,1.0,111060.53,2618.27,1.0,2907.86459,0.569587,7.1e-05
