מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2105,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אגחא,IL0011821878,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ilA+,מעלות S&P,נייר ערך,ILS,3.42,31/12/2031,0.0075,0.0307,החוב לא נחות,ריק במקור,5127.115,1,107.17,0,5.495,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00082,0
163,2105,"קיסטון אינפרא בע""מ",515983476,ח.פ.,קיסטון אינ אגחא,IL0011821878,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,בהשאלה,TASE,השקעה ואחזקות,לא,ilA+,מעלות S&P,נייר ערך,ILS,3.42,31/12/2031,0.0075,0.0307,החוב לא נחות,ריק במקור,62.213,1,107.17,0,0.067,ריק במקור,ריק במקור,שווי הוגן,1.1e-07,1e-05,0
163,2105,"קרדיטו הנפקות בע""מ",516804499,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"אג""ח מובנות",לא,ilAAA,מעלות S&P,נייר ערך,ILS,8.79,12/09/2050,0.073,0.0561,החוב לא נחות,ריק במקור,9460.661,1,116.95,0,11.064,ריק במקור,ריק במקור,שווי הוגן,3e-05,0.00165,0
163,2105,קרדן אן.וי.,1154,מספר מנפיק,קרדן אןוי אגח ב,IL0011130346,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,NR,NR,NR,ILS,1.25,31/12/2026,0.068,4.3698,החוב לא נחות,ריק במקור,5164.591,1,27.03,0,1.396,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00021,0
163,2105,רבוע כחול נדלן בעמ,513765859,ח.פ.,רבוע נדלן אגח ו,IL0011406076,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA-,מעלות S&P,נייר ערך,ILS,0.65,30/11/2026,0.0215,0.0351,החוב לא נחות,ריק במקור,3489.724,1,120.13,0,4.192,ריק במקור,ריק במקור,שווי הוגן,2.49e-06,0.00063,0
163,2105,רבוע כחול נדלן בעמ,513765859,ח.פ.,רבוע נדלן אגח ח,IL0011575698,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,1.8,31/10/2028,0.0142,0.0288,החוב לא נחות,ריק במקור,20203.256,1,116.29,0,23.494,ריק במקור,ריק במקור,שווי הוגן,2e-05,0.0035,1e-05
163,2105,רותם שני,512287517,ח.פ.,רותם שני אגח ג,IL0012092958,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,NR,NR,NR,ILS,2.5,31/03/2029,0.065,0.0641,החוב לא נחות,ריק במקור,2690.104,1,100.48,0,2.703,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.0004,0
163,2105,ריט 1 בעמ,513821488,ח.פ.,ריט 1 אגח ה,IL0011367534,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,1.67,20/09/2028,0.04,0.0288,החוב לא נחות,ריק במקור,8033.214,1,121.74,0,9.78,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00146,0
163,2105,ריט אזורים - ה.פ ליווינג בעמ,516117181,ח.פ.,ריט אזור אג ב-ס,IL0011835811,ISIN,"אג""ח להמרה לא צמוד למדד המחירים לצרכן",ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilBBB+,מעלות S&P,נייר ערך,ILS,0.25,31/12/2025,0.01,0.0743,החוב לא נחות,ריק במקור,9348.576,1,98.7,0,9.227,ריק במקור,ריק במקור,שווי הוגן,4e-05,0.00138,0
163,2105,ריט 1 בעמ,513821488,ח.פ.,ריט 1 אגח ו,IL0011385445,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,3.04,20/09/2031,0.035,0.0286,החוב לא נחות,ריק במקור,5087.509,1,123.08,0,6.262,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00093,0
