מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי
170,12177,1840.0,פנימי,הלוואה לגורם  1840,2080841.0,2024-04-21,ישראל,,לא,A3,מידרוג Moodys,הלוואה,ILS,1.0,6.500%,משתנה,5186.217,5186.217,8.545%
170,12177,19780.0,פנימי,הלוואה לגורם  19780,2080853.0,2024-06-01,ישראל,,לא,NR,NR,NR,USD,3.306,9.300%,משתנה,2457.953,8125.991,1.008%
170,12177,19803.0,פנימי,הלוואה לגורם  19803,2080880.0,2024-08-07,ישראל,,לא,NR,NR,NR,ILS,1.0,4.990%,קבועה,13387.842,13387.842,67.262%
170,12177,19862.0,פנימי,הלוואה לגורם  19862,2080921.0,2024-11-14,ישראל,,לא,NR,NR,NR,USD,3.306,10.700%,משתנה,1728.427,5714.181,60.018%
170,12177,19977.0,פנימי,הלוואה לגורם  19977,2080948.0,2025-01-15,ישראל,,לא,NR,NR,NR,USD,3.306,8.990%,משתנה,3064.894,10132.54,33.723%
170,12177,203.0,פנימי,הלוואה לגורם 203,2081033.0,2025-08-07,ישראל,,לא,A1,מידרוג Moodys,הלוואה,ILS,1.0,6.600%,משתנה,9435.524,9435.524,0.480%
170,12177,20079.0,פנימי,הלוואה לגורם  20079,2081032.0,2025-08-07,ישראל,,לא,NR,NR,NR,ILS,1.0,11.000%,משתנה,3019.368,3019.368,0.487%
170,12177,18633.0,פנימי,הלוואה לגורם  18633,2081047.0,2025-09-15,ישראל,,לא,NR,NR,NR,USD,3.306,15.300%,משתנה,1388.909,4591.734,67.196%
170,12177,18880.0,פנימי,הלוואה לגורם  18880,2081049.0,2025-09-28,ישראל,,לא,A3,מידרוג Moodys,מנפיק,ILS,1.0,12.500%,משתנה,10236.789,10236.789,62.855%
170,9656,194.0,פנימי,הלוואה לגורם 194,2080645.0,2022-12-25,ישראל,,לא,NR,NR,NR,ILS,1.0,8.500%,משתנה,2676.789,2676.789,46.868%
