מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,נכס בסיס,תאריך רכישה,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",שיעור ריבית,תשואה לפדיון,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9648,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 1 רצף מוסדי,IL0011986390,ISIN,קרן לא מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2023-08-07,NR,NR,NR,ILS,1.19,6.800%,6.100%,חברת ציטוט,אי-תלות,2025-09-30,20379.120742792,1.0,100.51,20.48305,0.729%,0.006%
170,9648,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 2 רצף מוסדי,IL0012058975,ISIN,קרן לא מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2024-04-17,NR,NR,NR,ILS,4.24,6.800%,6.050%,חברת ציטוט,אי-תלות,2025-09-30,301069.989671827,1.0,101.46,305.46561,10.872%,0.085%
170,9648,"שפיר מגורים ובניין בע""מ",514103142.0,ח.פ.,שפיר הלוואה CLN,2080856,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,0.3,3.610%,3.950%,חברת ציטוט,אי-תלות,2025-09-30,127121.203838294,1.0,104.5,132.84166,4.728%,0.037%
170,9648,א.ק.מ דה וינצ'י בכנרית שותפות מוגבלת,550261952.0,מספר שותפות,א.ק.מ. דה וינצ'י הלוואה CLN,2080857,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,1.8,3.830%,3.740%,חברת ציטוט,אי-תלות,2025-09-30,195214.853004994,1.0,104.87,204.72182,7.286%,0.057%
170,9648,"מליסרון בע""מ",520037789.0,ח.פ.,קניון רמת אביב הלוואה CLN,2080858,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,AA,S&P מעלות,מנפיק,ILS,1.74,3.870%,4.410%,חברת ציטוט,אי-תלות,2025-09-30,476148.265511049,1.0,103.78,494.14667,17.587%,0.137%
170,9648,אקרו בניה ותשתית (ל.כ) 2017 שותפות מוגבלת,550277115.0,מספר שותפות,מגדל אקרו ONE הלוואה CLN,2080859,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,4.12,4.020%,3.630%,חברת ציטוט,אי-תלות,2025-09-30,241915.956483713,1.0,106.51,257.66469,9.170%,0.072%
170,9648,"אפריים רוגובין בע""מ",510597842.0,ח.פ.,מגדל אפריים ONE הלוואה CLN,2080860,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,4.12,4.020%,3.630%,חברת ציטוט,אי-תלות,2025-09-30,241915.956483713,1.0,106.51,257.66469,9.170%,0.072%
170,9648,"בנק הפועלים בע""מ",520000118.0,ח.פ.,פועלים אגח 1 רצף מוסדי,IL0012117474,ISIN,קרן מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2024-09-24,NR,NR,NR,ILS,1.91,6.750%,5.730%,חברת ציטוט,אי-תלות,2025-09-30,75176.647204297,1.0,101.09,75.99607,2.705%,0.021%
170,9648,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נדלן אגח 2 רצף מוסדי,IL0012151937,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2024-12-25,A3,מידרוג Moodys,מנפיק,ILS,2.07,7.000%,7.080%,חברת ציטוט,אי-תלות,2025-09-30,28940.745540054,1.0,101.55,29.9059,1.064%,0.008%
170,9648,"אושירה בע""מ",511113243.0,ח.פ.,אושירה מניבים CLN,2080967,פנימי,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-03-03,NR,NR,NR,ILS,2.13,3.970%,4.560%,חברת ציטוט,אי-תלות,2025-09-30,451785.484925426,1.0,101.7,459.46584,16.353%,0.128%
170,9648,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 4 רצף מוסדי,IL0012219288,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-05-21,NR,NR,NR,ILS,3.34,6.700%,6.490%,חברת ציטוט,אי-תלות,2025-09-30,384240.900503216,1.0,99.38,381.85861,13.591%,0.106%
170,9648,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נדלן אגח 3 רמ,IL0012253667,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-07-20,A3,מידרוג Moodys,מנפיק,ILS,3.89,6.850%,7.090%,חברת ציטוט,אי-תלות,2025-09-30,44056.392258856,1.0,101.29,44.29502,1.576%,0.012%
170,9648,"בנק הפועלים בע""מ",520000118.0,ח.פ.,פועלים אגח 2 רצף מוסדי,IL0012275454,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-08-27,AAA,S&P מעלות,מנפיק,ILS,2.87,6.750%,6.470%,חברת ציטוט,אי-תלות,2025-09-30,145740.717355173,1.0,99.52,145.04116,5.162%,0.040%
170,9648,"בנק מזרחי טפחות בע""מ",520000522.0,ח.פ.,ELAL C1 JUN 2026,IL0010878242,ISIN,קרן מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-06-04,AAA,S&P מעלות,מנפיק,ILS,0.0,0.000%,0.000%,אחר,אי-תלות,2025-09-30,10.769214683,1.0,1509.0,0.16251,0.006%,0.000%
170,14232,"בנק מזרחי טפחות בע""מ",520000522.0,ח.פ.,ELAL C1 JUN 2026,IL0010878242,ISIN,קרן מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-06-04,AAA,S&P מעלות,מנפיק,ILS,0.0,0.000%,0.000%,אחר,אי-תלות,2025-09-30,41312.255329686,1.0,1509.0,623.40193,100.000%,0.195%
170,15432,"בנק מזרחי טפחות בע""מ",520000522.0,ח.פ.,ELAL C1 JUN 2026,IL0010878242,ISIN,קרן מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-06-04,AAA,S&P מעלות,מנפיק,ILS,0.0,0.000%,0.000%,אחר,אי-תלות,2025-09-30,34369.928152852,1.0,1509.0,518.64222,100.000%,0.237%
170,15433,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,15092,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,14233,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,13347,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,13213,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,12176,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,9650,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,2004,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
170,9649,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
667,9633,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 1 רצף מוסדי,IL0011986390,ISIN,קרן לא מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2023-08-07,NR,NR,NR,ILS,1.19,6.800%,6.100%,חברת ציטוט,אי-תלות,2025-09-30,156023.684636471,1.0,100.51,156.81941,0.684%,0.009%
667,9633,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 2 רצף מוסדי,IL0012058975,ISIN,קרן לא מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2024-04-17,NR,NR,NR,ILS,4.24,6.800%,6.050%,חברת ציטוט,אי-תלות,2025-09-30,2305008.62696336,1.0,101.46,2338.66175,10.203%,0.131%
667,9633,"שפיר מגורים ובניין בע""מ",514103142.0,ח.פ.,שפיר הלוואה CLN,2080856,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,0.3,3.610%,3.950%,חברת ציטוט,אי-תלות,2025-09-30,973247.024177426,1.0,104.5,1017.04314,4.437%,0.057%
667,9633,א.ק.מ דה וינצ'י בכנרית שותפות מוגבלת,550261952.0,מספר שותפות,א.ק.מ. דה וינצ'י הלוואה CLN,2080857,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,1.8,3.830%,3.740%,חברת ציטוט,אי-תלות,2025-09-30,1494575.79873162,1.0,104.87,1567.36164,6.838%,0.088%
667,9633,"מליסרון בע""מ",520037789.0,ח.פ.,קניון רמת אביב הלוואה CLN,2080858,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,AA,S&P מעלות,מנפיק,ILS,1.74,3.870%,4.410%,חברת ציטוט,אי-תלות,2025-09-30,3645417.66820709,1.0,103.78,3783.21446,16.506%,0.212%
667,9633,אקרו בניה ותשתית (ל.כ) 2017 שותפות מוגבלת,550277115.0,מספר שותפות,מגדל אקרו ONE הלוואה CLN,2080859,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,4.12,4.020%,3.630%,חברת ציטוט,אי-תלות,2025-09-30,1852122.05076589,1.0,106.51,1972.6952,8.607%,0.111%
667,9633,"אפריים רוגובין בע""מ",510597842.0,ח.פ.,מגדל אפריים ONE הלוואה CLN,2080860,פנימי,קרן לא מובטחת,ישראל,ישראל,לא,אחר,2024-06-20,NR,NR,NR,ILS,4.12,4.020%,3.630%,חברת ציטוט,אי-תלות,2025-09-30,1852122.05076589,1.0,106.51,1972.6952,8.607%,0.111%
667,9633,"בנק הפועלים בע""מ",520000118.0,ח.פ.,פועלים אגח 1 רצף מוסדי,IL0012117474,ISIN,קרן מובטחת,ישראל,ישראל,לא,"ריבית ואג""ח",2024-09-24,NR,NR,NR,ILS,1.91,6.750%,5.730%,חברת ציטוט,אי-תלות,2025-09-30,575556.602439742,1.0,101.09,581.83017,2.538%,0.033%
667,9633,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נדלן אגח 2 רצף מוסדי,IL0012151937,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2024-12-25,A3,מידרוג Moodys,מנפיק,ILS,2.07,7.000%,7.080%,חברת ציטוט,אי-תלות,2025-09-30,221571.961434252,1.0,101.55,228.96125,0.999%,0.013%
667,9633,"אושירה בע""מ",511113243.0,ח.פ.,אושירה מניבים CLN,2080967,פנימי,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-03-03,NR,NR,NR,ILS,2.13,3.970%,4.560%,חברת ציטוט,אי-תלות,2025-09-30,3458894.86170656,1.0,101.7,3517.69607,15.347%,0.197%
667,9633,"בנק לאומי לישראל בע""מ",520018078.0,ח.פ.,לאומי אגח 4 רצף מוסדי,IL0012219288,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-05-21,NR,NR,NR,ILS,3.34,6.700%,6.490%,חברת ציטוט,אי-תלות,2025-09-30,2941769.75744906,1.0,99.38,2923.53078,12.755%,0.164%
667,9633,"מכלול מימון נדל""ן בע""מ",515759777.0,ח.פ.,מכלול נדלן אגח 3 רמ,IL0012253667,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-07-20,A3,מידרוג Moodys,מנפיק,ILS,3.89,6.850%,7.090%,חברת ציטוט,אי-תלות,2025-09-30,337298.195480181,1.0,101.29,339.12514,1.480%,0.019%
667,9633,"בנק הפועלים בע""מ",520000118.0,ח.פ.,פועלים אגח 2 רצף מוסדי,IL0012275454,ISIN,קרן מובטחת,ישראל,ישראל,לא,אחר,2025-08-27,AAA,S&P מעלות,מנפיק,ILS,2.87,6.750%,6.470%,חברת ציטוט,אי-תלות,2025-09-30,1115799.05778612,1.0,99.52,1110.44322,4.845%,0.062%
667,9633,"בנק מזרחי טפחות בע""מ",520000522.0,ח.פ.,ELAL C1 JUN 2026,IL0010878242,ISIN,קרן מובטחת,ישראל,ישראל,לא,מניות לרבות מדדי מניות,2025-06-04,AAA,S&P מעלות,מנפיק,ILS,0.0,0.000%,0.000%,אחר,אי-תלות,2025-09-30,93482.711925933,1.0,1509.0,1410.65412,6.154%,0.079%
667,2176,IDE,550275648.0,מספר שותפות,חוב מובנה IDE,2080200,פנימי,קרן מובטחת,ישראל,ישראל,לא,מדד המחירים לצרכן,2017-12-06,NR,NR,NR,ILS,4.25,7.000%,0.000%,מומחה בלתי תלוי,אי-תלות,2025-09-30,145928.96,1.0,185.836746,271.18964,1.434%,0.015%
