מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,Bridgepoint Capital,,,Bridgepoint Europe VII,89405,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2022-11-17,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-14,3.8807,7080.295,27476.50194,0.153%,0.386%,0.050%
170,2002,Pantheon Ventures,,,Pantheon Global Infrastructure Fund IV,89407,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2022-12-22,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,16149.845,53391.38592,0.791%,0.750%,0.096%
170,2002,GRIDIRON GP V LLC,,,Gridiron Capital Parallel Fund V,89409,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-01-05,USD,דיווח מנהל הקרן,אי-תלות,2025-08-19,3.306,6230.014,20596.42703,0.311%,0.289%,0.037%
170,2002,Lexington Capital Partners,,,Lexington Capital Partners X,89423,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2023-04-18,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,3168.886,10476.33651,0.024%,0.147%,0.019%
170,2002,Pantheon Ventures,,,Clal - Pantheon Infra Co-Investment Program 2022,89435,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-06-22,USD,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.306,13737.422,45415.91671,18.043%,0.638%,0.082%
170,2002,Apollo Management,,,Apollo CL Co-Invest AP Windsor Co-Invest,89439,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2023-07-26,USD,דיווח מנהל הקרן,אי-תלות,2025-08-13,3.306,810.577,2679.76814,0.087%,0.038%,0.005%
170,2002,Apollo Management,,,Apollo CL Co-Invest AP Arsenal Co-Invest,89440,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2023-08-14,USD,דיווח מנהל הקרן,אי-תלות,2025-08-13,3.306,737.06,2436.71981,1.187%,0.034%,0.004%
170,2002,Kelso & Company,,,Kelso Investment Associates XI L.P,89441,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-08-21,USD,דיווח מנהל הקרן,אי-תלות,2025-05-20,3.306,4069.428,13453.52856,0.210%,0.189%,0.024%
170,2002,HarbourVest GP LLC,,,HarbourVest Infrastructure Income Partnership,89447,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-09-28,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,22988.098,75998.65068,3.401%,1.068%,0.137%
170,2002,Silver Lake Partners,,,Silver Lake Partners VII,89442,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-11-27,USD,דיווח מנהל הקרן,אי-תלות,2025-08-19,3.306,6654.872,22001.00703,0.074%,0.309%,0.040%
170,2002,Signal Alpha III GP Limited,,,Signal Alpha III Fund,89454,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2023-12-01,EUR,דיווח מנהל הקרן,אי-תלות,2025-09-30,3.8807,2941.272,11414.1958,0.408%,0.160%,0.021%
170,2002,Bridgepoint Advisers Limited,,,Bridgepoint VII Negev Co-Investment L.P MIQ,89461,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2023-12-21,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-27,3.8807,655.747,2544.75651,0.046%,0.036%,0.005%
170,2002,Bridgepoint Advisers Limited,,,Bridgepoint VII Negev Co-Investment L.P Windar,89469,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2024-02-22,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-27,3.8807,599.07,2324.80947,0.075%,0.033%,0.004%
170,2002,Bridgepoint Advisers Limited,,,Bridgepoint VII Negev Co-Investment L.P Vivacy,89471,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2024-02-22,EUR,דיווח מנהל הקרן,אי-תלות,2025-08-27,3.8807,415.078,1610.79168,0.079%,0.023%,0.003%
170,2002,Pemba Capital Partners Holdings,,,Pemba Capital Fund III,89479,פנימי,קרן השקעה אחרת,,"חו""ל",,,אוסטרליה,לא,2024-05-19,AUD,דיווח מנהל הקרן,אי-תלות,2025-08-18,2.1849,1558.285,3404.69583,0.949%,0.048%,0.006%
170,2002,Francisco Partners GP VII L.P,,,Francisco Partners VII,89452,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2024-05-20,USD,דיווח מנהל הקרן,אי-תלות,2025-08-31,3.306,3489.587,11536.57615,0.076%,0.162%,0.021%
170,2002,Clearlake Capital Partners VIII GP LLC,,,Clearlake Canaf Co-Investment Alteryx,89487,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2024-06-20,USD,דיווח מנהל הקרן,אי-תלות,2025-09-03,3.306,4.612,15.24607,0.011%,0.000%,0.000%
170,2002,Blackstone Management Associates IX,,,Blackstone Capital Partners IX,89492,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2024-08-18,USD,דיווח מנהל הקרן,אי-תלות,2025-08-14,3.306,789.262,2609.30156,0.061%,0.037%,0.005%
