מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,שם נייר ערך,מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,דירוג,שם מדרג,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,סכום לקבל (במטבע הפעילות),ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
667,9634,מדינת ישראל,ממצמ 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.65,2027-05-31,0.750%,2.090%,0.0,16620903.524,1.0,117.66,19556.15509,,,0.068%,14.300%,2.116%
667,9634,מדינת ישראל,ממצמ 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.63,2029-05-31,0.500%,1.930%,0.0,6446275.747,1.0,113.0,7284.29159,,,0.022%,5.326%,0.788%
667,9634,מדינת ישראל,ממצמ 1151,IL0011683013,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,23.99,2051-11-30,0.500%,2.140%,0.0,467376.565,1.0,80.45,376.00445,,,0.001%,0.275%,0.041%
667,9634,מדינת ישראל,ממצמ 0726,IL0011695645,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.82,2026-07-31,0.100%,2.670%,0.0,2683828.016,1.0,116.31,3121.56037,,,0.013%,2.283%,0.338%
667,9634,מדינת ישראל,ממצמ 1131,IL0011722209,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,6.14,2031-11-30,0.100%,1.900%,0.0,14587623.564,1.0,106.54,15541.65415,,,0.043%,11.364%,1.681%
667,9634,מדינת ישראל,ממצמ 1028,IL0011973265,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.01,2028-10-31,1.100%,1.990%,0.0,31468559.159,1.0,105.65,33246.53275,,,0.093%,24.311%,3.597%
667,9634,מדינת ישראל,ממצמ 1033,IL0012043795,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,7.53,2033-10-31,1.600%,1.950%,0.0,4494.005,1.0,105.4,4.73668,,,0.000%,0.003%,0.001%
667,9634,JPM,ממשל צמודה 1028 ריפו 16/03/2026,99368137,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2026-03-16,0.000%,0.000%,0.0,-3295603.987,1.0,94.7355,-3122.10692,,,0.000%,-2.283%,-0.338%
667,9634,JPM,ממשל צמודה 1028 ריפו 08/10/2025,999999140,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2025-10-08,0.000%,0.000%,0.0,-1328607.767,1.0,93.21,-1238.3953,,,0.000%,-0.906%,-0.134%
667,9634,JPM,ממשל צמודה 0726 ריפו 27/08/2026,99368092,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2026-08-27,0.000%,0.000%,0.0,-2432324.04,1.0,107.3456,-2610.99283,,,0.000%,-1.909%,-0.282%
667,9634,JPM,ממשל צמודה 1028 ריפו 27/08/2026,99368093,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2026-08-27,0.000%,0.000%,0.0,-713048.863,1.0,97.2085,-693.1441,,,0.000%,-0.507%,-0.075%
667,9634,מדינת ישראל,מקמ 216,IL0082602181,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.34,2026-02-04,0.000%,4.240%,0.0,2161599.226,1.0,98.6,2131.33684,,,0.012%,1.558%,0.231%
667,9634,מדינת ישראל,מקמ 316,IL0082603171,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.42,2026-03-04,0.000%,4.150%,0.0,1091979.056,1.0,98.32,1073.63381,,,0.006%,0.785%,0.116%
667,9634,מדינת ישראל,מקמ 616,IL0082606141,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.67,2026-06-03,0.000%,4.200%,0.0,102089.225,1.0,97.3,99.33282,,,0.001%,0.073%,0.011%
667,9634,מדינת ישראל,מקמ 816,IL0082608121,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.84,2026-08-05,0.000%,4.100%,0.0,1332588.431,1.0,96.69,1288.47975,,,0.007%,0.942%,0.139%
667,9634,מדינת ישראל,ממשק 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,2042-01-31,5.500%,4.340%,0.0,2381627.788,1.0,117.0,2786.50451,,,0.008%,2.038%,0.301%
667,9634,מדינת ישראל,ממשק 0327,IL0011393449,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.47,2027-03-31,2.010%,3.960%,0.0,4831.376,1.0,98.22,4.74538,,,0.000%,0.003%,0.001%
667,9634,מדינת ישראל,ממשק 0347,IL0011401937,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,14.44,2047-03-31,3.750%,4.490%,0.0,913605.914,1.0,91.85,839.14703,,,0.003%,0.614%,0.091%
667,9634,מדינת ישראל,ממשק 0537,IL0011661803,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,10.55,2037-05-31,1.500%,4.210%,0.0,25690466.913,1.0,75.94,19509.34057,,,0.064%,14.266%,2.111%
667,9634,מדינת ישראל,ממשק 0226,IL0011746976,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.4,2026-02-27,0.500%,4.090%,0.0,3433775.351,1.0,98.89,3395.66044,,,0.014%,2.483%,0.367%
667,9634,מדינת ישראל,ממשק 0432,IL0011806606,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,6.28,2032-04-30,1.300%,4.020%,0.0,941.81,1.0,85.09,0.80139,,,0.000%,0.001%,0.000%
667,9634,מדינת ישראל,ממשק 1152,IL0011840761,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,17.25,2052-11-30,2.800%,4.610%,0.0,13771082.079,1.0,74.63,10277.35856,,,0.050%,7.515%,1.112%
667,9634,מדינת ישראל,ממשק 0335,IL0012023326,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,7.92,2035-03-31,4.000%,4.100%,0.0,22745636.628,1.0,101.25,23029.95709,,,0.064%,16.840%,2.492%
667,9634,מדינת ישראל,ממשק 0927,IL0012035791,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.96,2027-09-30,3.750%,3.970%,0.0,349011.256,1.0,99.62,347.68501,,,0.001%,0.254%,0.038%
667,9634,מדינת ישראל,ממשק 0829,IL0012128935,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.66,2029-08-31,4.600%,3.940%,0.0,701195.341,1.0,102.76,720.54833,,,0.004%,0.527%,0.078%
667,9634,מדינת ישראל,ממשק 1125,IL0012153263,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.16,2025-11-30,0.000%,4.120%,0.0,42579.373,1.0,99.36,42.30687,,,0.001%,0.031%,0.005%
667,9634,JPM,ממשל שקלית 0537 ריפו 09/10/2025,99368082,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2025-10-09,0.000%,0.000%,0.0,-3029766.711,1.0,65.0047,-1969.49076,,,0.000%,-1.440%,-0.213%
667,9634,JPM,ממשל שקלית 0537 ריפו 03/09/2026,99368091,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2026-09-03,0.000%,0.000%,0.0,-5273242.792,1.0,65.4186,-3449.68161,,,0.000%,-2.522%,-0.373%
667,9634,מדינת ישראל,ממשמ 0526,IL0011417958,לא צמוד למדד המחירים לצרכן ריבית משתנה,ישראל,ישראל,TASE,RF,אחר,ILS,0.65,2026-05-31,4.160%,4.340%,0.0,114377.816,1.0,100.25,114.66376,,,0.001%,0.084%,0.012%
667,9634,מדינת ישראל,ממשמ 1134,IL0012051459,לא צמוד למדד המחירים לצרכן ריבית משתנה,ישראל,ישראל,TASE,RF,אחר,ILS,7.64,2034-11-30,4.170%,4.610%,0.0,831281.355,1.0,96.78,804.5141,,,0.004%,0.588%,0.087%
667,9634,מדינת ישראל,Israel 5.5% 03/12/34,US46514BRL35,"צמוד מט""ח בריבית קבועה","חו""ל",ישראל,FOREIGN_GOV_SEC,Baa1,Moodys,USD,6.702,2034-03-12,5.500%,5.127%,0.0,315457.503,3.306,102.903,1073.17796,,,0.011%,0.785%,0.116%
667,9634,מדינת ישראל,Israel 5.625 02/19/35,US46514Y8B63,"צמוד מט""ח בריבית קבועה","חו""ל",ישראל,FOREIGN_GOV_SEC,Baa1,Moodys,USD,7.221,2035-02-19,5.630%,5.192%,0.0,621874.601,3.306,103.938,2136.87946,,,0.025%,1.563%,0.231%
667,9634,מדינת ישראל,Israel 5.625 02/19/35,US46514Y8B63,"צמוד מט""ח בריבית קבועה","חו""ל",ישראל,FOREIGN_GOV_SEC,Baa1,Moodys,USD,7.221,2035-02-19,5.630%,5.192%,0.0,63456.592,3.306,103.938,218.04892,,,0.003%,0.159%,0.024%
667,9634,ממשלת מקסיקו,MBONO 8.5 03/01/2029,MX0MGO0001F1,"צמוד מט""ח בריבית קבועה","חו""ל",מקסיקו,FOREIGN_GOV_SEC,BBB-,S&P,MXN,2.934,2029-03-01,8.590%,8.051%,0.0,31983.886,0.1808,10206.8,590.22725,,,0.000%,0.432%,0.064%
667,2206,מדינת ישראל,ממצמ 0841,IL0011205833,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,13.23,2041-08-30,2.750%,2.020%,0.0,5000000.0,1.0,139.93,6996.5,,,0.025%,6.411%,5.123%
667,2206,מדינת ישראל,ממצמ 0545,IL0011348658,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,17.67,2045-05-31,1.000%,2.070%,0.0,18000000.0,1.0,99.57,17922.6,,,0.079%,16.422%,13.123%
667,2206,מדינת ישראל,ממצמ 1151,IL0011683013,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,23.99,2051-11-30,0.500%,2.140%,0.0,1000000.0,1.0,80.45,804.5,,,0.003%,0.737%,0.589%
667,2206,מדינת ישראל,ממצמ 1131,IL0011722209,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,6.14,2031-11-30,0.100%,1.900%,0.0,25000000.0,1.0,106.54,26635.0,,,0.073%,24.405%,19.502%
667,2206,מדינת ישראל,ממצמ 1033,IL0012043795,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,7.53,2033-10-31,1.600%,1.950%,0.0,5000000.0,1.0,105.4,5270.0,,,0.019%,4.829%,3.859%
667,2206,מדינת ישראל,ממצמ 0431,IL0012207226,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,5.29,2031-04-30,2.000%,1.990%,0.0,50000000.0,1.0,103.02,51510.0,,,0.692%,47.197%,37.715%
667,9635,מדינת ישראל,ממצמ 0841,IL0011205833,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,13.23,2041-08-30,2.750%,2.020%,0.0,2869.246,1.0,139.93,4.01494,,,0.000%,0.004%,0.001%
667,9635,מדינת ישראל,ממצמ 0545,IL0011348658,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,17.67,2045-05-31,1.000%,2.070%,0.0,46342.374,1.0,99.57,46.1431,,,0.000%,0.042%,0.010%
667,9635,מדינת ישראל,ממצמ 1025,IL0011359127,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.08,2025-10-31,0.750%,9.560%,0.0,104733.765,1.0,119.27,124.91596,,,0.001%,0.115%,0.027%
667,9635,מדינת ישראל,ממצמ 0527,IL0011408478,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.65,2027-05-31,0.750%,2.090%,0.0,12854659.4,1.0,117.66,15124.79225,,,0.053%,13.888%,3.216%
667,9635,מדינת ישראל,ממצמ 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.63,2029-05-31,0.500%,1.930%,0.0,4985570.069,1.0,113.0,5633.69418,,,0.017%,5.173%,1.198%
667,9635,מדינת ישראל,ממצמ 1151,IL0011683013,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,23.99,2051-11-30,0.500%,2.140%,0.0,361470.515,1.0,80.45,290.80303,,,0.001%,0.267%,0.062%
667,9635,מדינת ישראל,ממצמ 0726,IL0011695645,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.82,2026-07-31,0.100%,2.670%,0.0,2075681.083,1.0,116.31,2414.22467,,,0.010%,2.217%,0.513%
667,9635,מדינת ישראל,ממצמ 1131,IL0011722209,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,6.14,2031-11-30,0.100%,1.900%,0.0,11282114.242,1.0,106.54,12019.96451,,,0.033%,11.037%,2.556%
667,9635,מדינת ישראל,ממצמ 1028,IL0011973265,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.01,2028-10-31,1.100%,1.990%,0.0,24337883.269,1.0,105.65,25712.97367,,,0.072%,23.610%,5.467%
667,9635,מדינת ישראל,ממצמ 1033,IL0012043795,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,7.53,2033-10-31,1.600%,1.950%,0.0,3475.678,1.0,105.4,3.66336,,,0.000%,0.003%,0.001%
667,9635,JPM,ממשל צמודה 1028 ריפו 16/03/2026,99368137,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2026-03-16,0.000%,0.000%,0.0,-2548830.556,1.0,94.7355,-2414.64737,,,0.000%,-2.217%,-0.513%
667,9635,JPM,ממשל צמודה 1028 ריפו 08/10/2025,999999140,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2025-10-08,0.000%,0.000%,0.0,-1027549.453,1.0,93.21,-957.77885,,,0.000%,-0.879%,-0.204%
667,9635,JPM,ממשל צמודה 0726 ריפו 27/08/2026,99368092,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2026-08-27,0.000%,0.000%,0.0,-1881167.112,1.0,107.3456,-2019.35012,,,0.000%,-1.854%,-0.429%
667,9635,JPM,ממשל צמודה 1028 ריפו 27/08/2026,99368093,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2026-08-27,0.000%,0.000%,0.0,-551474.248,1.0,97.2085,-536.07984,,,0.000%,-0.492%,-0.114%
667,9635,מדינת ישראל,מקמ 216,IL0082602181,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.34,2026-02-04,0.000%,4.240%,0.0,1783506.207,1.0,98.6,1758.53712,,,0.010%,1.615%,0.374%
667,9635,מדינת ישראל,מקמ 316,IL0082603171,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.42,2026-03-04,0.000%,4.150%,0.0,900977.11,1.0,98.32,885.84069,,,0.005%,0.813%,0.188%
667,9635,מדינת ישראל,מקמ 616,IL0082606141,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.67,2026-06-03,0.000%,4.200%,0.0,84232.435,1.0,97.3,81.95816,,,0.000%,0.075%,0.017%
667,9635,מדינת ישראל,מקמ 816,IL0082608121,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.84,2026-08-05,0.000%,4.100%,0.0,1099500.643,1.0,96.69,1063.10717,,,0.006%,0.976%,0.226%
667,9635,מדינת ישראל,ממשק 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,2042-01-31,5.500%,4.340%,0.0,1965048.79,1.0,117.0,2299.10708,,,0.006%,2.111%,0.489%
667,9635,מדינת ישראל,ממשק 0327,IL0011393449,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.47,2027-03-31,2.010%,3.960%,0.0,3986.302,1.0,98.22,3.91535,,,0.000%,0.004%,0.001%
667,9635,מדינת ישראל,ממשק 0347,IL0011401937,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,14.44,2047-03-31,3.750%,4.490%,0.0,753803.85,1.0,91.85,692.36884,,,0.003%,0.636%,0.147%
667,9635,מדינת ישראל,ממשק 0537,IL0011661803,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,10.55,2037-05-31,1.500%,4.210%,0.0,21196855.848,1.0,75.94,16096.89233,,,0.053%,14.780%,3.423%
667,9635,מדינת ישראל,ממשק 0226,IL0011746976,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.4,2026-02-27,0.500%,4.090%,0.0,2833161.475,1.0,98.89,2801.71338,,,0.011%,2.573%,0.596%
667,9635,מדינת ישראל,ממשק 0432,IL0011806606,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,6.28,2032-04-30,1.300%,4.020%,0.0,777.075,1.0,85.09,0.66121,,,0.000%,0.001%,0.000%
667,9635,מדינת ישראל,ממשק 1152,IL0011840761,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,17.25,2052-11-30,2.800%,4.610%,0.0,11362333.067,1.0,74.63,8479.70917,,,0.041%,7.786%,1.803%
667,9635,מדינת ישראל,ממשק 0335,IL0012023326,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,7.92,2035-03-31,4.000%,4.100%,0.0,18767116.316,1.0,101.25,19001.70527,,,0.053%,17.448%,4.040%
667,9635,מדינת ישראל,ממשק 0927,IL0012035791,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,1.96,2027-09-30,3.750%,3.970%,0.0,287964.454,1.0,99.62,286.87019,,,0.001%,0.263%,0.061%
667,9635,מדינת ישראל,ממשק 0829,IL0012128935,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.66,2029-08-31,4.600%,3.940%,0.0,578546.767,1.0,102.76,594.51466,,,0.003%,0.546%,0.126%
667,9635,מדינת ישראל,ממשק 1125,IL0012153263,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.16,2025-11-30,0.000%,4.120%,0.0,35131.663,1.0,99.36,34.90682,,,0.001%,0.032%,0.007%
667,9635,JPM,ממשל שקלית 0537 ריפו 09/10/2025,99368082,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2025-10-09,0.000%,0.000%,0.0,-2499819.425,1.0,65.0047,-1625.00012,,,0.000%,-1.492%,-0.346%
667,9635,JPM,ממשל שקלית 0537 ריפו 03/09/2026,99368091,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,AA,S&P,ILS,0.0,2026-09-03,0.000%,0.000%,0.0,-4350881.114,1.0,65.4186,-2846.28551,,,0.000%,-2.613%,-0.605%
667,9635,מדינת ישראל,ממשמ 0526,IL0011417958,לא צמוד למדד המחירים לצרכן ריבית משתנה,ישראל,ישראל,TASE,RF,אחר,ILS,0.65,2026-05-31,4.160%,4.340%,0.0,94371.585,1.0,100.25,94.60751,,,0.000%,0.087%,0.020%
667,9635,מדינת ישראל,ממשמ 1134,IL0012051459,לא צמוד למדד המחירים לצרכן ריבית משתנה,ישראל,ישראל,TASE,RF,אחר,ILS,7.64,2034-11-30,4.170%,4.610%,0.0,685878.972,1.0,96.78,663.79367,,,0.003%,0.610%,0.141%
