מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9654,מס לקבל מפעל מאושר שנת 2024,99368109,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-14,USD,2025-09-30,4.651,3.306,15.37757,,,-0.042%,0.000%
170,9654,מס לקבל דולר בוני בגין שנת 2025,99368111,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,27.183,3.306,89.86684,,,-0.243%,0.000%
170,9654,מס לקבל דולר בוני בגין שנת 2024,99368112,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,27.281,3.306,90.19068,,,-0.244%,0.000%
170,9654,מס לקבל אגח דולר בוני,99368113,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,356.468,3.306,1178.48255,,,-3.187%,0.003%
170,9654,חוז פנסיה וגמל בגין מס לקבל שנת 2023,99368094,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-30,USD,2025-09-30,55.384,3.306,183.0995,,,-0.495%,0.001%
170,9654,קרן יוזמה - אבן דרך,2081030,חייבים וזכאים,ישראל,ישראל,לא,2025-07-31,USD,2025-07-31,-690.23,3.306,-2281.89986,,,6.170%,-0.006%
170,2002,אול יר אגח ב,IL0011397812,אחר,ישראל,ישראל,לא,2017-01-11,ILS,2024-07-16,193.853,1.0,193.85337,,,-0.327%,0.000%
170,2002,אול יר אגח ד,IL0011412744,אחר,ישראל,ישראל,לא,2017-07-30,ILS,2024-07-16,48.606,1.0,48.60602,,,-0.082%,0.000%
170,2002,אול יר אגח ה,IL0011433047,אחר,ישראל,ישראל,לא,2007-03-27,ILS,2024-07-16,6.896,1.0,6.8957,,,-0.012%,0.000%
170,2002,"אגל""ס אלון חברה לדלק 22.01.07 עמיתים -חש",IL0011015679,אחר,ישראל,ישראל,לא,2015-06-30,ILS,2023-02-28,657.181,1.0,657.18052,,,-1.110%,0.001%
