מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,199.0,פנימי,הלוואה לגורם 199,2080410,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2019-12-23,NR,NR,NR,ILS,6.6,משתנה,8.448%,,,,6.640%,2047-06-30,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,2923284.79379628,109.75,1.0,3208.30506,3208.305,,,,,0.100%,0.006%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080496,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2020-10-01,NR,NR,NR,ILS,6.35,קבועה,4.870%,,,,5.900%,2049-01-15,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,3665633.43102347,94.41,1.0,3460.72452,3460.725,,,,,0.108%,0.006%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080497,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2020-10-01,NR,NR,NR,ILS,7.29,קבועה,4.930%,,,,5.980%,2049-01-15,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,2677713.99691183,114.4,1.0,3063.30481,3063.305,,,,,0.096%,0.006%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080498,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2020-10-01,NR,NR,NR,ILS,6.48,קבועה,3.800%,,,,7.500%,2048-05-15,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,106247.947747621,102.13,1.0,108.51103,108.511,,,,,0.003%,0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080500,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2020-10-01,NR,NR,NR,ILS,7.03,משתנה,7.770%,,,,6.810%,2049-01-15,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,4241685.31680951,105.28,1.0,4465.6463,4465.646,,,,,0.140%,0.008%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802613,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2020-11-24,NR,NR,NR,ILS,6.26,אחר,8.827%,,,,2.827%,2034-01-01,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-14.438610583,975.32,1.0,-0.14084,-0.141,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802614,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2020-11-24,NR,NR,NR,ILS,6.26,אחר,8.827%,,,,2.827%,2034-01-01,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-14.41845772,4355.78,1.0,-0.62807,-0.628,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802616,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2020-11-24,NR,NR,NR,ILS,6.26,אחר,8.827%,,,,2.827%,2034-01-01,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-14.467923839,5199.1,1.0,-0.75223,-0.752,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802618,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2021-05-25,NR,NR,NR,ILS,6.26,משתנה,6.500%,,,,6.500%,2034-01-01,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-26.6,18277.0,1.0,-4.86296,-4.863,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080614,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2022-05-30,NR,NR,NR,ILS,6.98,קבועה,4.520%,,,,6.380%,2052-03-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,12131577.3212165,87.84,1.0,10656.37752,10656.378,,,,,0.333%,0.019%
