מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9654,"שיכון ובינוי בע""מ - שכון ובינוי אחזקות",520036104,ח.פ.,שיכון ובינוי אופציה לא סחירה,99368125.0,פנימי,ישראל,ישראל,לא סחיר,IL0010819428,בנייה,2025-10-18,לא,2023-10-18,ILS,אחר,אי-תלות,2025-09-30,1100.0,1.0,1836463.82,412.45,1.0,7574.49502,38.456%,0.021%
170,9654,Mayers cars and trucks company limited,510485261,ח.פ.,Mayers cars and trucks Options,99368127.0,פנימי,ישראל,ישראל,לא סחיר,89430,מסחר,2026-05-16,לא,2023-12-31,ILS,אחר,אי-תלות,2025-09-30,515.4,1.0,15929.15,48.76,1.0,776.70535,3.943%,0.002%
170,9654,"אפריקה ישראל מגורים בע""מ",520034760,ח.פ.,אפריקה מגורים אופציה לא סחירה,99368129.0,פנימי,ישראל,ישראל,לא סחיר,IL0010979487,בנייה,2027-06-30,לא,2024-01-09,ILS,אחר,אי-תלות,2025-09-30,24000.0,1.0,46827.44,9386.45,1.0,4395.43424,22.316%,0.012%
170,9654,רוטשטיין,520039959,ח.פ.,רוטשטיין אופציה לא סחירה,99368132.0,פנימי,ישראל,ישראל,לא סחיר,IL0005390153,בנייה,2026-04-10,לא,2024-05-08,ILS,אחר,אי-תלות,2025-09-30,4500.0,1.0,63702.36160489,4693.5,1.0,2989.87034,15.180%,0.008%
170,9654,י.ח.דמרי בניה ופיתוח,511399388,ח.פ.,דמרי אופציה לא סחירה,99368055.0,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-13,לא,2024-10-14,ILS,אחר,אי-תלות,2025-09-30,36000.0,1.0,5962.541046218,2663.86,1.0,158.83375,0.806%,0.000%
170,9654,אלומיי קפיטל בעמ דואלי,520039868,ח.פ.,אלומיי אופציה לא סחירה,99368087.0,פנימי,ישראל,ישראל,לא סחיר,IL0010826357,אנרגיה מתחדשת,2027-08-16,לא,2025-06-23,ILS,אחר,אי-תלות,2025-09-30,6970.0,1.0,27979.0,742.34,1.0,207.6993,1.055%,0.001%
170,9654,איסתא,520042763,ח.פ.,איסתא אופציה לא סחירה,99368089.0,פנימי,ישראל,ישראל,לא סחיר,IL0010810740,מלונאות ותיירות,2029-07-10,לא,2025-07-15,ILS,אחר,אי-תלות,2025-09-30,16000.0,1.0,33675.361629363,911.57,1.0,306.97449,1.559%,0.001%
170,9654,אקסל סולושנס גרופ בעמ,520031345,ח.פ.,אקסל אופציה לא סחירה,99368099.0,פנימי,ישראל,ישראל,לא סחיר,IL0007700169,שירותי מידע,2027-06-24,לא,2025-08-24,ILS,אחר,אי-תלות,2025-09-30,220.0,1.0,1408158.03031846,15.3,1.0,215.44818,1.094%,0.001%
170,9654,"איילון חברה לביטוח בע""מ",520030677,ח.פ.,איילון אופציה לא סחירה,99368100.0,פנימי,ישראל,ישראל,לא סחיר,IL0002090152,ביטוח,2026-06-30,לא,2025-09-03,ILS,אחר,אי-תלות,2025-09-30,7500.0,1.0,66193.123943641,318.33,1.0,210.71257,1.070%,0.001%
170,9654,"אלקטריאון וירלס בע""מ",520038126,ח.פ.,אלקטריאון אופציה לא סחירה 5.2027,99368102.0,פנימי,ישראל,ישראל,לא סחיר,IL0003680191,קלינטק,2027-05-31,לא,2025-09-04,ILS,אחר,אי-תלות,2025-09-30,6000.0,1.0,7026.115675573,1073.73,1.0,75.44151,0.383%,0.000%
170,9654,A2Z Smart technologies corp,875500SPYFJB375QFG54,LEI,AZ US Non Tradable Option,999999487.0,פנימי,"חו""ל",קנדה,לא סחיר,CA00249W1005,"Technology Hardware, Storage & Peripherals",2025-12-28,לא,2021-03-09,USD,אחר,אי-תלות,2025-09-30,0.9,1.0,69646.174156796,2.63,3.306,6.05558,0.031%,0.000%
170,9654,Signature Top Ltd. Park Plaza,13414927,"מספר תאגיד או שותפות בחו""ל",Park Plaza Non Tradable Option,999999594.0,פנימי,"חו""ל",בריטניה,לא סחיר,GG00B1Z5FH87,Hotel & Resort REITs,2028-06-28,לא,2021-06-30,GBP,אחר,אי-תלות,2025-09-30,16.0,1.0,334786.48,135.19,4.4409,2009.94175,10.205%,0.006%
170,9654,BEYOND OIL LTD,984500E796XC5AD68C60,LEI,BOIL CN Option A,99368083.0,פנימי,"חו""ל",קנדה,לא סחיר,CA0886691066,תעשיה,2027-03-12,לא,2025-05-20,CAD,אחר,אי-תלות,2025-09-30,6.0,1.0,171996.376333204,0.17,2.3745,69.42892,0.352%,0.000%
170,9654,BEYOND OIL LTD,984500E796XC5AD68C60,LEI,BOIL CN Option B,99368084.0,פנימי,"חו""ל",קנדה,לא סחיר,CA0886691066,תעשיה,2028-03-12,לא,2025-05-20,CAD,אחר,אי-תלות,2025-09-30,7.75,1.0,171996.376333204,0.23,2.3745,93.93324,0.477%,0.000%
170,9655,"אלקטריאון וירלס בע""מ",520038126,ח.פ.,אלקטריאון אופציה לא סחירה 9.2027,99368019.0,פנימי,ישראל,ישראל,לא סחיר,IL0003680191,קלינטק,2027-09-01,לא,2023-06-28,ILS,אחר,אי-תלות,2025-09-30,9500.0,1.0,25206.150334837,908.47,1.0,228.99031,3.231%,0.001%
170,9655,"שיכון ובינוי בע""מ - שכון ובינוי אחזקות",520036104,ח.פ.,שיכון ובינוי אופציה לא סחירה,99368125.0,פנימי,ישראל,ישראל,לא סחיר,IL0010819428,בנייה,2025-10-18,לא,2023-10-18,ILS,אחר,אי-תלות,2025-09-30,1100.0,1.0,676987.33,412.45,1.0,2792.23424,39.403%,0.017%
170,9655,Mayers cars and trucks company limited,510485261,ח.פ.,Mayers cars and trucks Options,99368127.0,פנימי,ישראל,ישראל,לא סחיר,89430,מסחר,2026-05-16,לא,2023-12-31,ILS,אחר,אי-תלות,2025-09-30,515.4,1.0,4725.57,48.76,1.0,230.41879,3.252%,0.001%
170,9655,"אפריקה ישראל מגורים בע""מ",520034760,ח.פ.,אפריקה מגורים אופציה לא סחירה,99368129.0,פנימי,ישראל,ישראל,לא סחיר,IL0010979487,בנייה,2027-06-30,לא,2024-01-09,ILS,אחר,אי-תלות,2025-09-30,24000.0,1.0,17886.39,9386.45,1.0,1678.89705,23.692%,0.010%
170,9655,רוטשטיין,520039959,ח.פ.,רוטשטיין אופציה לא סחירה,99368132.0,פנימי,ישראל,ישראל,לא סחיר,IL0005390153,בנייה,2026-04-10,לא,2024-05-08,ILS,אחר,אי-תלות,2025-09-30,4500.0,1.0,24094.801701172,4693.5,1.0,1130.88952,15.959%,0.007%
170,9655,י.ח.דמרי בניה ופיתוח,511399388,ח.פ.,דמרי אופציה לא סחירה,99368055.0,פנימי,ישראל,ישראל,לא סחיר,IL0010903156,בנייה,2025-12-13,לא,2024-10-14,ILS,אחר,אי-תלות,2025-09-30,36000.0,1.0,2255.27343923,2663.86,1.0,60.07733,0.848%,0.000%
170,9655,אלומיי קפיטל בעמ דואלי,520039868,ח.פ.,אלומיי אופציה לא סחירה,99368087.0,פנימי,ישראל,ישראל,לא סחיר,IL0010826357,אנרגיה מתחדשת,2027-08-16,לא,2025-06-23,ILS,אחר,אי-תלות,2025-09-30,6970.0,1.0,11425.0,742.34,1.0,84.81234,1.197%,0.001%
170,9655,איסתא,520042763,ח.פ.,איסתא אופציה לא סחירה,99368089.0,פנימי,ישראל,ישראל,לא סחיר,IL0010810740,מלונאות ותיירות,2029-07-10,לא,2025-07-15,ILS,אחר,אי-תלות,2025-09-30,16000.0,1.0,12737.379592101,911.57,1.0,116.11013,1.639%,0.001%
170,9655,אקסל סולושנס גרופ בעמ,520031345,ח.פ.,אקסל אופציה לא סחירה,99368099.0,פנימי,ישראל,ישראל,לא סחיר,IL0007700169,שירותי מידע,2027-06-24,לא,2025-08-24,ILS,אחר,אי-תלות,2025-09-30,220.0,1.0,532622.145390476,15.3,1.0,81.49119,1.150%,0.000%
170,9655,"איילון חברה לביטוח בע""מ",520030677,ח.פ.,איילון אופציה לא סחירה,99368100.0,פנימי,ישראל,ישראל,לא סחיר,IL0002090152,ביטוח,2026-06-30,לא,2025-09-03,ILS,אחר,אי-תלות,2025-09-30,7500.0,1.0,25036.908447688,318.33,1.0,79.69999,1.125%,0.000%
170,9655,"אלקטריאון וירלס בע""מ",520038126,ח.פ.,אלקטריאון אופציה לא סחירה 5.2027,99368102.0,פנימי,ישראל,ישראל,לא סחיר,IL0003680191,קלינטק,2027-05-31,לא,2025-09-04,ILS,אחר,אי-תלות,2025-09-30,6000.0,1.0,2657.560248433,1073.73,1.0,28.53502,0.403%,0.000%
170,9655,A2Z Smart technologies corp,875500SPYFJB375QFG54,LEI,AZ US Non Tradable Option,999999487.0,פנימי,"חו""ל",קנדה,לא סחיר,CA00249W1005,"Technology Hardware, Storage & Peripherals",2025-12-28,לא,2021-03-09,USD,אחר,אי-תלות,2025-09-30,0.9,1.0,26342.991268702,2.63,3.306,2.29046,0.032%,0.000%
170,9655,Signature Top Ltd. Park Plaza,13414927,"מספר תאגיד או שותפות בחו""ל",Park Plaza Non Tradable Option,999999594.0,פנימי,"חו""ל",בריטניה,לא סחיר,GG00B1Z5FH87,Hotel & Resort REITs,2028-06-28,לא,2021-06-30,GBP,אחר,אי-תלות,2025-09-30,16.0,1.0,84969.45,135.19,4.4409,510.12706,7.199%,0.003%
170,9655,BEYOND OIL LTD,984500E796XC5AD68C60,LEI,BOIL CN Option A,99368083.0,פנימי,"חו""ל",קנדה,לא סחיר,CA0886691066,תעשיה,2027-03-12,לא,2025-05-20,CAD,אחר,אי-תלות,2025-09-30,6.0,1.0,65055.964593165,0.17,2.3745,26.26082,0.371%,0.000%
170,9655,BEYOND OIL LTD,984500E796XC5AD68C60,LEI,BOIL CN Option B,99368084.0,פנימי,"חו""ל",קנדה,לא סחיר,CA0886691066,תעשיה,2028-03-12,לא,2025-05-20,CAD,אחר,אי-תלות,2025-09-30,7.75,1.0,65055.964593165,0.23,2.3745,35.52934,0.501%,0.000%
170,9647,"אלקטריאון וירלס בע""מ",520038126,ח.פ.,אלקטריאון אופציה לא סחירה 9.2027,99368019.0,פנימי,ישראל,ישראל,לא סחיר,IL0003680191,קלינטק,2027-09-01,לא,2023-06-28,ILS,אחר,אי-תלות,2025-09-30,9500.0,1.0,16473.45289391,908.47,1.0,149.65638,3.588%,0.002%
170,9647,"שיכון ובינוי בע""מ - שכון ובינוי אחזקות",520036104,ח.פ.,שיכון ובינוי אופציה לא סחירה,99368125.0,פנימי,ישראל,ישראל,לא סחיר,IL0010819428,בנייה,2025-10-18,לא,2023-10-18,ILS,אחר,אי-תלות,2025-09-30,1100.0,1.0,361621.72,412.45,1.0,1491.50878,35.761%,0.017%
